user_idx,item_idx,label,edge_role
0,692,1,final_train
0,426,0,final_train
0,526,0,final_train
0,2062,1,final_train
0,1413,1,final_train
0,695,0,final_train
0,781,1,final_train
0,1711,1,final_train
0,400,1,final_train
0,531,1,final_train
0,401,1,final_train
0,1450,1,final_train
0,1773,1,final_train
0,610,1,final_train
0,1699,1,final_train
0,1631,0,final_train
0,1184,1,final_train
0,1903,1,final_train
0,1705,1,final_train
0,1388,0,final_train
0,447,0,final_train
0,764,1,final_train
0,358,1,final_train
0,1403,0,final_train
0,43,1,final_train
0,649,1,final_train
0,1013,1,final_train
0,458,0,final_train
0,1370,1,final_train
0,1949,1,final_train
0,926,1,final_train
0,395,1,final_train
0,1088,1,final_train
0,470,1,final_train
0,598,1,final_train
0,1681,1,final_train
0,95,1,final_train
0,0,1,final_train
0,1132,1,final_train
0,1133,1,final_train
0,1634,1,final_train
0,174,1,final_train
0,603,1,final_train
0,604,1,final_train
0,705,1,final_train
0,1194,1,final_train
0,361,1,final_train
0,1910,1,final_train
0,407,1,final_train
0,741,1,final_train
1,825,1,final_train
1,1872,1,final_train
1,916,1,final_train
1,422,0,final_train
1,1321,1,final_train
1,423,1,final_train
1,1353,1,final_train
1,1599,0,final_train
1,653,0,final_train
1,1771,0,final_train
1,2100,1,final_train
1,708,1,final_train
1,1042,0,final_train
1,997,0,final_train
6034,3,0,warm_a
6035,3,0,warm_a
6024,3,0,warm_a
5973,3,0,warm_a
5959,3,1,warm_a
5954,3,0,warm_a
5914,3,1,warm_a
5880,3,0,warm_a
5839,3,0,warm_a
5830,3,1,warm_a
5794,3,1,warm_a
5851,3,0,warm_a
5787,3,0,warm_a
5779,3,0,warm_a
5753,3,0,warm_a
5685,3,0,warm_a
5669,3,0,warm_a
5648,3,0,warm_a
5640,3,0,warm_a
5574,3,0,warm_a
5546,3,0,warm_b
5531,3,1,warm_b
5482,3,0,warm_b
5458,3,1,warm_b
5427,3,1,warm_b
5404,3,0,warm_b
5366,3,0,warm_b
5332,3,1,warm_b
5811,3,0,warm_b
5255,3,0,warm_b
5244,3,0,warm_b
5238,3,0,warm_b
5248,3,0,warm_b
5147,3,0,warm_b
5110,3,0,warm_b
5082,3,0,warm_b
5060,3,1,warm_b
5034,3,1,warm_b
4927,3,0,warm_b
4915,3,0,warm_b
5099,3,0,warm_c
4836,3,0,warm_c
4818,3,0,warm_c
4822,3,0,warm_c
4785,3,1,warm_c
4728,3,1,warm_c
4724,3,0,warm_c
4725,3,0,warm_c
4634,3,1,warm_c
4610,3,1,warm_c
4592,3,0,warm_c
4581,3,1,warm_c
4482,3,0,warm_c
4429,3,0,warm_c
4424,3,0,warm_c
4351,3,0,warm_c
4342,3,0,warm_c
4335,3,1,warm_c
4226,3,0,warm_c
4139,3,0,warm_c
