model_label,phase,seed_count,f1_report,roc_auc_report
DGD-Ablation:selected,Cold,5,0.6156 +/- 0.0008,0.7324 +/- 0.0022
DGD,Cold,5,0.6131 +/- 0.0031,0.7320 +/- 0.0022
EmerG,Cold,5,0.6129 +/- 0.0038,0.7380 +/- 0.0055
LightGCN,Cold,5,0.5798 +/- 0.0000,0.4968 +/- 0.0085
EmerG,Warm A,5,0.6785 +/- 0.0017,0.7930 +/- 0.0024
DGD,Warm A,5,0.6681 +/- 0.0020,0.7814 +/- 0.0026
DGD-Ablation:selected,Warm A,5,0.6508 +/- 0.0031,0.7663 +/- 0.0013
LightGCN,Warm A,5,0.5798 +/- 0.0000,0.4917 +/- 0.0105
EmerG,Warm B,5,0.6913 +/- 0.0016,0.8011 +/- 0.0004
DGD,Warm B,5,0.6876 +/- 0.0008,0.7962 +/- 0.0016
DGD-Ablation:selected,Warm B,5,0.6743 +/- 0.0021,0.7849 +/- 0.0012
LightGCN,Warm B,5,0.5797 +/- 0.0000,0.4896 +/- 0.0113
EmerG,Warm C,5,0.6942 +/- 0.0008,0.8039 +/- 0.0010
DGD,Warm C,5,0.6921 +/- 0.0014,0.8017 +/- 0.0018
DGD-Ablation:selected,Warm C,5,0.6851 +/- 0.0019,0.7958 +/- 0.0011
LightGCN,Warm C,5,0.5797 +/- 0.0000,0.4890 +/- 0.0117
