family,model_label,seed,bundle_id,source_status,artifact,present,verified,rows,sha256
dgd,DGD,2025,20260716T183942-s2025-05eb95bfbddd,PASS,evaluation_metrics,True,True,4,845b4bc42fe65373fe64f640b579f29191e4962fb55fb0b365904adb6158f187
dgd,DGD,2025,20260716T183942-s2025-05eb95bfbddd,PASS,validation_thresholds,True,True,4,82063b78c7ccd8204aac9fbe0bb1a0cf1516b489811ea1c721a11ccddea9793e
dgd,DGD,2025,20260716T183942-s2025-05eb95bfbddd,PASS,evaluation_predictions,True,True,230276,f1e7fa732e29d506980cb2f57b4636aa7fd49802ffe05a037afe46e7381aeb92
dgd,DGD,3407,20260716T184238-s3407-40504d8913cd,PASS,evaluation_metrics,True,True,4,02197b62e45c913f25e52072031820596263f996bf5988b73d2c05c3876af8d0
dgd,DGD,3407,20260716T184238-s3407-40504d8913cd,PASS,validation_thresholds,True,True,4,1d93bec51a3f5b54b8236ad2e6138530184297607fd4c425c14d6e0ccd651b5c
dgd,DGD,3407,20260716T184238-s3407-40504d8913cd,PASS,evaluation_predictions,True,True,230276,fa701b257ba7218d194fc562ac85eec32ec27d67a02ea2350092e9bd54863149
dgd,DGD,4517,20260716T184336-s4517-7fa86b77c92c,PASS,evaluation_metrics,True,True,4,588003713460ba450fd7ada908fa3f40c0e7d22741b1112850e979445494c2e3
dgd,DGD,4517,20260716T184336-s4517-7fa86b77c92c,PASS,validation_thresholds,True,True,4,a2678c35069092d171340166dcd450fd64bff164843a8f3874954c5f3ebe3f2d
dgd,DGD,4517,20260716T184336-s4517-7fa86b77c92c,PASS,evaluation_predictions,True,True,230276,f0488c86d35ff1d8503949cae666371be0aa93c69bd9ddbbd050e759657c25f8
dgd,DGD,7788,20260716T184042-s7788-390ea60260e2,PASS,evaluation_metrics,True,True,4,cac845bc7f53555e2d4eef2d058050a3454ce8f1660ffd230839a43b467c5d9b
dgd,DGD,7788,20260716T184042-s7788-390ea60260e2,PASS,validation_thresholds,True,True,4,4574054504eea3e06bea53a99ee9d1db6729f963e4e7db639a5d858f5a53c6ca
dgd,DGD,7788,20260716T184042-s7788-390ea60260e2,PASS,evaluation_predictions,True,True,230276,f567913d902ba8b70db78c18560a0cc6d572e189345163e47e331dd002a65900
dgd,DGD,9999,20260716T184140-s9999-cb03c21a79be,PASS,evaluation_metrics,True,True,4,0798c9df023b8d21308000ec93b58e1150d59df9ee46781c03b20619267208b6
dgd,DGD,9999,20260716T184140-s9999-cb03c21a79be,PASS,validation_thresholds,True,True,4,fb3b5c3ab77d8ae40dcf54c49a8d63ee062bd2e31f74371721d768b13ababd3e
dgd,DGD,9999,20260716T184140-s9999-cb03c21a79be,PASS,evaluation_predictions,True,True,230276,e3d4eec00def804e3d479397681e187954f00e836ac2953e93acd07841c59ccf
dgd_ablation,DGD-Ablation:selected,2025,20260716T184701786646-s2025-5c207281ada6,PASS,evaluation_metrics,True,True,16,e3269374e9bbe5bc96212b0fb8561b3c1211da8a64824beb885a5471853922d2
dgd_ablation,DGD-Ablation:selected,2025,20260716T184701786646-s2025-5c207281ada6,PASS,validation_thresholds,True,True,16,309f3dc5195d230d057d843f674692aeccd228737291256b29228fb127f3a3a1
dgd_ablation,DGD-Ablation:selected,2025,20260716T184701786646-s2025-5c207281ada6,PASS,evaluation_predictions,True,True,921104,29cd39dad162a8ff94f531fd4edf7c6084988b8efe772020aa0650d2de9fe201
dgd_ablation,DGD-Ablation:selected,3407,20260716T185304080234-s3407-bb86e78b7369,PASS,evaluation_metrics,True,True,16,da422c1d839bb0039342338122051f6def5128b1c999c34026ddde37a90c3233
dgd_ablation,DGD-Ablation:selected,3407,20260716T185304080234-s3407-bb86e78b7369,PASS,validation_thresholds,True,True,16,692a888a4aefb4ca8353fbcfca35a580698bdd52442d3e4d6e540770cb64466d
dgd_ablation,DGD-Ablation:selected,3407,20260716T185304080234-s3407-bb86e78b7369,PASS,evaluation_predictions,True,True,921104,4da04148c68524f468eb264f9badf39bdbfd4e0c44bc5d435d09c300a608ec74
dgd_ablation,DGD-Ablation:selected,4517,20260716T185504249041-s4517-b7f072a51da0,PASS,evaluation_metrics,True,True,16,8eb1545c0b12224f17fe71baa6c16bc85363acc3c14f0665ee7ef02b97a07372
dgd_ablation,DGD-Ablation:selected,4517,20260716T185504249041-s4517-b7f072a51da0,PASS,validation_thresholds,True,True,16,26d778ce10c78492d5f038ade817f0ff920d3593747192c988e97c557bd40e52
dgd_ablation,DGD-Ablation:selected,4517,20260716T185504249041-s4517-b7f072a51da0,PASS,evaluation_predictions,True,True,921104,54e033e7d3de123de9b0aff84a64bf7648228dd3c53c6647b7bea98c4a3286e6
dgd_ablation,DGD-Ablation:selected,7788,20260716T184901918664-s7788-13b5a43bc93d,PASS,evaluation_metrics,True,True,16,2897b512b904816ca77e03a9257e5205a06632347a1a120ed0107d886353df61
dgd_ablation,DGD-Ablation:selected,7788,20260716T184901918664-s7788-13b5a43bc93d,PASS,validation_thresholds,True,True,16,346d591100b6dd3ef7eca2fc8cbff5c7e262edc053d03f81ea29387ad940351a
dgd_ablation,DGD-Ablation:selected,7788,20260716T184901918664-s7788-13b5a43bc93d,PASS,evaluation_predictions,True,True,921104,38240e2c7f3c7687eb0cbf724bfe75689e966b7609bcf9af7d57e25e57d006aa
dgd_ablation,DGD-Ablation:selected,9999,20260716T185103544146-s9999-ad177796f59f,PASS,evaluation_metrics,True,True,16,ef5551b0619318cf6388f72a8b86035c5f074a25c132747fc3e21ef683c51ba1
dgd_ablation,DGD-Ablation:selected,9999,20260716T185103544146-s9999-ad177796f59f,PASS,validation_thresholds,True,True,16,90ec4549aa7c406544af51769e92eafd68a7702657896230d2bb6526fdfe26d2
dgd_ablation,DGD-Ablation:selected,9999,20260716T185103544146-s9999-ad177796f59f,PASS,evaluation_predictions,True,True,921104,035e7b2407cb6f96b7cf150cbc6ed8845185c473670383aa6759adf42044d32c
emerg,EmerG,2025,20260716T183549-s2025-cbe59f5ab1d1,PASS,evaluation_metrics,True,True,4,50de17e852dc48094a71122b981d26a07e2b06424a50f800f2c7a9b56ad5beec
emerg,EmerG,2025,20260716T183549-s2025-cbe59f5ab1d1,PASS,validation_thresholds,True,True,4,87274dfaa735f43785005bbe8dd17b583c48705babd68bd7afaabc43fa41ccb7
emerg,EmerG,2025,20260716T183549-s2025-cbe59f5ab1d1,PASS,evaluation_predictions,True,True,230276,b1ab94ff8157af57bd9a2ef220acada88131cddbd11226fe282c639bb510bd42
emerg,EmerG,3407,20260716T183743-s3407-f657f7e81b02,PASS,evaluation_metrics,True,True,4,ab4e799f1d19873da548ff252722ba10a94119e567c7f6f0d6c5cb91142dde4d
emerg,EmerG,3407,20260716T183743-s3407-f657f7e81b02,PASS,validation_thresholds,True,True,4,01bfc63024ef671f061c191f61bb2c9b0e55c5c53f320803a4f56269a4f040d5
emerg,EmerG,3407,20260716T183743-s3407-f657f7e81b02,PASS,evaluation_predictions,True,True,230276,43db55bbb8c0c5287120bc97f11edbff5375c1855a21c93b4cbfb0556e15dba0
emerg,EmerG,4517,20260716T183821-s4517-93c4e3d2a257,PASS,evaluation_metrics,True,True,4,1f1a1a742e9332ba37a4a259fd030e2627198e0b49a6ff0956d9930eac4059fa
emerg,EmerG,4517,20260716T183821-s4517-93c4e3d2a257,PASS,validation_thresholds,True,True,4,7a6f5a2abb6ccdcf9ab55e8bfb5e9fbfb3a33e2b09ddae15b27b4472b19ae81e
emerg,EmerG,4517,20260716T183821-s4517-93c4e3d2a257,PASS,evaluation_predictions,True,True,230276,da3274ee28926f01029847d3389b1a46be3bf06985b1de3d26f45a4dced5eba9
emerg,EmerG,7788,20260716T183628-s7788-61d13741e884,PASS,evaluation_metrics,True,True,4,7e5a9fce709b477280d44b78dfcf9d817d41c769793c085c69d88b30d560d5c3
emerg,EmerG,7788,20260716T183628-s7788-61d13741e884,PASS,validation_thresholds,True,True,4,81f358b5f95cb28976c528bc6a1ca06c7bf4e41b87609d2351fb71f43c725654
emerg,EmerG,7788,20260716T183628-s7788-61d13741e884,PASS,evaluation_predictions,True,True,230276,e338e666caaba0f600951fd86dbec18515059b1db45d7baaf568dfe737ae1a99
emerg,EmerG,9999,20260716T183705-s9999-3128f214418f,PASS,evaluation_metrics,True,True,4,c248ba7ff6c6a5cd8e8343f1a16842b22795c3b3f02a1ddb68e686088a40a35c
emerg,EmerG,9999,20260716T183705-s9999-3128f214418f,PASS,validation_thresholds,True,True,4,26a724d32859ca0abb6f34513ad6ddb4ddfa263b2a668992052939d7328c0097
emerg,EmerG,9999,20260716T183705-s9999-3128f214418f,PASS,evaluation_predictions,True,True,230276,7519b37ddb8d08d9059d329455fbb8766689b483d929e61fed0b481e898499d6
lightgcn,LightGCN,2025,20260716T183339-s2025-a370f5a1659c,WARN,evaluation_metrics,True,True,4,3a15fe51b08b3dee5c57abc35615e821dc5a0eac94e21e9b8aca8f343021dc63
lightgcn,LightGCN,2025,20260716T183339-s2025-a370f5a1659c,WARN,validation_thresholds,True,True,4,b70d77edf1971c8677423571d773ab3f13cbcc79431f0b8536faa7df3d7bf8f5
lightgcn,LightGCN,2025,20260716T183339-s2025-a370f5a1659c,WARN,evaluation_predictions,True,True,230276,ac5b996aa35c914b9b706fdfbea153d955c6ae664f4075c81c35d016a4b7d31c
lightgcn,LightGCN,3407,20260716T183408-s3407-d3c5f4a86f19,WARN,evaluation_metrics,True,True,4,66f67458866396e487e785943f6d4620f85dbbd407c79be435d4cd68678ab579
lightgcn,LightGCN,3407,20260716T183408-s3407-d3c5f4a86f19,WARN,validation_thresholds,True,True,4,96b4686e44a3c270691166a2ebe5ad401e367b2025b00a805a651649305902ae
lightgcn,LightGCN,3407,20260716T183408-s3407-d3c5f4a86f19,WARN,evaluation_predictions,True,True,230276,e7f5e75fb9d000f984c88874d94dadcd38e92cc412157c2b4cdf2677a6cc0fab
