phase,rank,family,model_label,seed_count,target_seed_count_observed,target_seed_count,target_seed_count_met,accuracy_mean,accuracy_std,accuracy_sem,precision_mean,precision_std,precision_sem,recall_mean,recall_std,recall_sem,f1_mean,f1_std,f1_sem,roc_auc_mean,roc_auc_std,roc_auc_sem,predicted_positive_rate_mean,predicted_positive_rate_std,predicted_positive_rate_sem
Cold,1,dgd_ablation,DGD-Ablation:selected,5,5,5,True,0.5119699838454723,0.0023234442881489726,0.0010390758740469422,0.45369653904326446,0.0011621243790197223,0.0005197178219595659,0.9576954172162887,0.0020918234561546544,0.0009354918889780716,0.6157066934984842,0.0008897674971405854,0.0003979161215552397,0.7323608829018324,0.0021673741300236972,0.000969279177481491,0.8617137695634804,0.003654841334103719,0.0016344947340063871
Cold,2,emerg,EmerG,5,5,5,True,0.503187479372579,0.010438613018516259,0.004668289660043325,0.4495954606088576,0.005159259248001811,0.002307290878415299,0.9662737755840176,0.006735333856587904,0.0030121328708972747,0.6136261879359902,0.0034841757319753475,0.0015581707564503928,0.7380108556930798,0.0055526317220750444,0.0024832123969163035,0.8775000434261495,0.015779202723563982,0.007056673984127777
Cold,3,dgd,DGD,5,5,5,True,0.5035383626604596,0.010457373145280025,0.004676679443785384,0.4496480481768071,0.005052768056636399,0.002259666569835699,0.9635164461086763,0.007515988078406549,0.003361252052279012,0.6131152373029196,0.0032250299688743158,0.0014422772479754,0.7319744381010729,0.0021891744333627943,0.0009790285695207583,0.8748979485486981,0.01648723393307209,0.007373315167058081
Cold,4,lightgcn,LightGCN,5,5,5,True,0.4082405461272559,3.2497154603814306e-05,1.4533169353889807e-05,0.408227078842547,1.1824939030932636e-05,5.288273500591172e-06,0.9999574486192078,6.017673981413661e-05,2.6911856177745502e-05,0.5797673528166194,1.4443651933951345e-05,6.459397513532302e-06,0.4968371712785304,0.008468941641347377,0.0037874258415062753,0.9999478886206118,7.055914124480926e-05,3.155500725148053e-05
Warm A,1,emerg,EmerG,5,5,5,True,0.66321805138182,0.004412411360118023,0.0019732903491832404,0.5559204851454576,0.004172494859252775,0.0018659964282115246,0.8705161482490105,0.006949175937875568,0.003107765956939125,0.6784999141624655,0.0021004378264549593,0.0009393443524930389,0.792929784945861,0.0025225675950524564,0.001128126524075091,0.6392885059667529,0.009274511268377377,0.004147687530835922
Warm A,2,dgd,DGD,5,5,5,True,0.650402126144279,0.005963635809616777,0.0026670190126710214,0.5453721855766172,0.005382347524524123,0.002407058988672731,0.8644568316241863,0.0078018626803143575,0.0034890990608603227,0.6687625364884614,0.002221243445702073,0.0009933702678331395,0.7814261156973792,0.002520090876932878,0.0011270189020597943,0.647157324254373,0.011960128587502424,0.005348732108258792
Warm A,3,dgd_ablation,DGD-Ablation:selected,5,5,5,True,0.6094981674164915,0.008634074365280344,0.0038612754407110397,0.5125920347562027,0.006395214494423126,0.002860026868044412,0.8911110165524871,0.008328502096468546,0.003724619367690636,0.6507600440386736,0.0030754277446622498,0.0013753730993907312,0.7663307821689701,0.0012550782397316009,0.0005612880522241273,0.709822995014678,0.015267484979573928,0.006827826851956858
Warm A,4,lightgcn,LightGCN,5,5,5,True,0.4082197015755007,3.3412746550503774e-05,1.4942634520379609e-05,0.40821793088148234,1.8319861877595763e-05,8.19289129934221e-06,0.9999489383430493,6.991905333875477e-05,3.1268751237577855e-05,0.579756697084162,2.9662190533468233e-05,1.3265334878877144e-05,0.4916664383470585,0.010512522051732302,0.004701342784527798,0.9999617849884487,3.3412746550564374e-05,1.494263452040671e-05
Warm B,1,emerg,EmerG,5,5,5,True,0.7030832566138026,0.0066022533315681945,0.002952617450812188,0.60114803481311,0.010191678285275774,0.004557857090137025,0.8126547806476321,0.02197321332666502,0.009826719736505455,0.690820599300069,0.0014601042114113973,0.0006529784541899217,0.8010034730459985,0.000378298605713307,0.00016918027963366895,0.5521825982733762,0.024451205515900395,0.010934911533074219
Warm B,2,dgd,DGD,5,5,5,True,0.7041324323854854,0.002396097368140118,0.0010715673191739284,0.6041361549145436,0.0034405692225713998,0.0015386693325926506,0.7985702736053785,0.005187988871710288,0.002320139156731328,0.6878580889911152,0.000726554022592513,0.00032492483676855536,0.7962291810175157,0.001556468001450448,0.0006960736512092885,0.5396341781166948,0.006502533658425624,0.002908021457244019
