family,model_label,selected_variant,prediction_scope,source_status,schema_version,seed,bundle_id,created_at_utc,protocol_schema_version,protocol_pointer_sha256,manifest_path
dgd,DGD,,active_model,PASS,dgd-model-v1,2025,20260716T183942-s2025-05eb95bfbddd,2026-07-16T18:40:42.227673+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-v1/generations/20260716T183942-s2025-05eb95bfbddd/manifest.json
dgd,DGD,,active_model,PASS,dgd-model-v1,3407,20260716T184238-s3407-40504d8913cd,2026-07-16T18:43:36.401281+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-v1/generations/20260716T184238-s3407-40504d8913cd/manifest.json
dgd,DGD,,active_model,PASS,dgd-model-v1,4517,20260716T184336-s4517-7fa86b77c92c,2026-07-16T18:44:35.092382+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-v1/generations/20260716T184336-s4517-7fa86b77c92c/manifest.json
dgd,DGD,,active_model,PASS,dgd-model-v1,7788,20260716T184042-s7788-390ea60260e2,2026-07-16T18:41:40.030297+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-v1/generations/20260716T184042-s7788-390ea60260e2/manifest.json
dgd,DGD,,active_model,PASS,dgd-model-v1,9999,20260716T184140-s9999-cb03c21a79be,2026-07-16T18:42:38.129831+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-v1/generations/20260716T184140-s9999-cb03c21a79be/manifest.json
dgd_ablation,DGD-Ablation:selected,full_dgd,all_variants,PASS,dgd-ablation-v1,2025,20260716T184701786646-s2025-5c207281ada6,2026-07-16T18:47:03.005425+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-ablation-v1/generations/20260716T184701786646-s2025-5c207281ada6/manifest.json
dgd_ablation,DGD-Ablation:selected,full_dgd,all_variants,PASS,dgd-ablation-v1,3407,20260716T185304080234-s3407-bb86e78b7369,2026-07-16T18:53:05.619498+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-ablation-v1/generations/20260716T185304080234-s3407-bb86e78b7369/manifest.json
dgd_ablation,DGD-Ablation:selected,full_dgd,all_variants,PASS,dgd-ablation-v1,4517,20260716T185504249041-s4517-b7f072a51da0,2026-07-16T18:55:05.457013+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-ablation-v1/generations/20260716T185504249041-s4517-b7f072a51da0/manifest.json
dgd_ablation,DGD-Ablation:selected,full_dgd,all_variants,PASS,dgd-ablation-v1,7788,20260716T184901918664-s7788-13b5a43bc93d,2026-07-16T18:49:03.127722+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-ablation-v1/generations/20260716T184901918664-s7788-13b5a43bc93d/manifest.json
dgd_ablation,DGD-Ablation:selected,full_dgd,all_variants,PASS,dgd-ablation-v1,9999,20260716T185103544146-s9999-ad177796f59f,2026-07-16T18:51:04.750821+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-ablation-v1/generations/20260716T185103544146-s9999-ad177796f59f/manifest.json
