phase,rank,family,model_label,seed_count,target_seed_count_observed,target_seed_count,target_seed_count_met,accuracy_mean,accuracy_std,accuracy_sem,precision_mean,precision_std,precision_sem,recall_mean,recall_std,recall_sem,f1_mean,f1_std,f1_sem,roc_auc_mean,roc_auc_std,roc_auc_sem,predicted_positive_rate_mean,predicted_positive_rate_std,predicted_positive_rate_sem
Cold,1,dgd_ablation,DGD-Ablation:selected,5,5,5,True,0.5109242821657489,0.001994715783419968,0.0008920640175037592,0.4531907875246051,0.0010070589667372466,0.00045037046139503656,0.9587166503553041,0.0016874720991858494,0.0007546604647827653,0.6154520348398652,0.0008157558573121328,0.00036481710999870955,0.7325058223873192,0.0022410236920748314,0.0010022162629333758,0.8635932533134152,0.0029785755029689202,0.0013320594601508263
Cold,2,dgd,DGD,5,5,5,True,0.503656481787073,0.010259701467076946,0.004588277981847674,0.4497005126203228,0.0049584206366502515,0.002217473120917549,0.9633887919662992,0.00752489619033323,0.003365235881042859,0.6131389376811237,0.003130076459098796,0.0013998127474633495,0.7319719862882136,0.002177986130022008,0.0009740250081561811,0.8746756066633085,0.01630144957133517,0.007290229874658049
Cold,3,emerg,EmerG,5,5,5,True,0.5004498949087182,0.010676494206871725,0.004774673361589575,0.4482983601461859,0.005162347391977549,0.00230867193838611,0.9684438960044254,0.00555491938293916,0.002484235469956629,0.6128564492391578,0.003767829983940888,0.0016850247943507532,0.7380002666842967,0.005499055148912765,0.002459252224997834,0.8820094147892096,0.015104674063911706,0.0067550155969769154
Cold,4,lightgcn,LightGCN,5,5,5,True,0.4082405461272559,3.2497154603814306e-05,1.4533169353889807e-05,0.408227078842547,1.1824939030932636e-05,5.288273500591172e-06,0.9999574486192078,6.017673981413661e-05,2.6911856177745502e-05,0.5797673528166194,1.4443651933951345e-05,6.459397513532302e-06,0.4968371712785304,0.008468941641347377,0.0037874258415062753,0.9999478886206118,7.055914124480926e-05,3.155500725148053e-05
Warm A,1,emerg,EmerG,5,5,5,True,0.6630895099793291,0.002766585884476105,0.0012372548206559901,0.5557531639076385,0.0026143483058348356,0.0011691721057416205,0.8709076209522999,0.005390724249270673,0.002410805173865149,0.6785089272294427,0.001678941767724048,0.0007508455845789267,0.7930473175850857,0.0024265118840284695,0.0010851691041797488,0.6397366638294917,0.00618873672902139,0.0027676872041883047
Warm A,2,dgd,DGD,5,5,5,True,0.6482481891295663,0.0067893503731503105,0.0030362897914855314,0.5434414066855802,0.006195959431533627,0.002770917294948029,0.8673162844134292,0.010183942072889637,0.0045543973507802685,0.6681360445045329,0.002037914975005114,0.0009113832832952439,0.781429189518799,0.0025625215622709307,0.0011459944814093523,0.6516458510656777,0.014883740394810151,0.006656211056451011
Warm A,3,dgd_ablation,DGD-Ablation:selected,5,5,5,True,0.6099602216470669,0.008129833558771941,0.0036357720966346185,0.5129229612419651,0.006036926887946612,0.002699795779328976,0.890481256116761,0.007883462980547649,0.003525591824521529,0.6508647775637184,0.002922313095729563,0.0013068981467178305,0.7663516801577825,0.001241686205314216,0.0005552989523612695,0.7088467751741389,0.014375693249124607,0.006429005465745488
Warm A,4,lightgcn,LightGCN,5,5,5,True,0.4082197015755007,3.3412746550503774e-05,1.4942634520379609e-05,0.40821793088148234,1.8319861877595763e-05,8.19289129934221e-06,0.9999489383430493,6.991905333875477e-05,3.1268751237577855e-05,0.579756697084162,2.9662190533468233e-05,1.3265334878877144e-05,0.4916664383470585,0.010512522051732302,0.004701342784527798,0.9999617849884487,3.3412746550564374e-05,1.494263452040671e-05
Warm B,1,emerg,EmerG,5,5,5,True,0.7050808594903507,0.004848558664424582,0.0021683413533097914,0.6037309685844193,0.008026578802720348,0.003589595165928314,0.809165567422663,0.017949053083062147,0.008027060565095827,0.6913441886609822,0.001609673595639024,0.0007198679162870734,0.8011108273519717,0.00043611583790672707,0.00019503693192474426,0.5473362399902726,0.01937830541969668,0.008666241641438872
Warm B,2,dgd,DGD,5,5,5,True,0.7036981708905834,0.004372948998012232,0.0019556422443389883,0.6036855916485547,0.006266566697404313,0.0028024938241864796,0.7988681332709247,0.009889621987722674,0.004422773407264898,0.6876265708101971,0.0007952007857072032,0.0003556246025205099,0.7961986269078595,0.00157073312634471,0.0007024532090035074,0.5403116260487415,0.012383836808966365,0.005538220185422574
