family,model_label,selected_variant,prediction_scope,source_status,schema_version,seed,bundle_id,created_at_utc,protocol_schema_version,protocol_pointer_sha256,manifest_path
dgd,DGD,,active_model,PASS,dgd-model-v1,2025,20260717T024736-s2025-fecdc89014c1,2026-07-17T02:48:36.549534+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-v1/generations/20260717T024736-s2025-fecdc89014c1/manifest.json
dgd,DGD,,active_model,PASS,dgd-model-v1,3407,20260717T025102-s3407-65cd6c13c536,2026-07-17T02:52:18.280755+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-v1/generations/20260717T025102-s3407-65cd6c13c536/manifest.json
dgd,DGD,,active_model,PASS,dgd-model-v1,4517,20260717T025218-s4517-dfc2daaf8a4d,2026-07-17T02:53:34.151458+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-v1/generations/20260717T025218-s4517-dfc2daaf8a4d/manifest.json
dgd,DGD,,active_model,PASS,dgd-model-v1,7788,20260717T024836-s7788-02b73960b948,2026-07-17T02:49:45.846425+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-v1/generations/20260717T024836-s7788-02b73960b948/manifest.json
dgd,DGD,,active_model,PASS,dgd-model-v1,9999,20260717T024945-s9999-a305b145acdf,2026-07-17T02:51:02.006853+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-v1/generations/20260717T024945-s9999-a305b145acdf/manifest.json
dgd_ablation,DGD-Ablation:selected,full_dgd,all_variants,PASS,dgd-ablation-v1,2025,20260717T092420073050-s2025-75f7b01c8e68,2026-07-17T09:24:21.337089+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-ablation-v1/generations/20260717T092420073050-s2025-75f7b01c8e68/manifest.json
dgd_ablation,DGD-Ablation:selected,full_dgd,all_variants,PASS,dgd-ablation-v1,3407,20260717T093052917408-s3407-4a9f13e76ffa,2026-07-17T09:30:54.174842+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-ablation-v1/generations/20260717T093052917408-s3407-4a9f13e76ffa/manifest.json
dgd_ablation,DGD-Ablation:selected,full_dgd,all_variants,PASS,dgd-ablation-v1,4517,20260717T093303293824-s4517-7c7a3b23ea6a,2026-07-17T09:33:04.572077+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-ablation-v1/generations/20260717T093303293824-s4517-7c7a3b23ea6a/manifest.json
dgd_ablation,DGD-Ablation:selected,full_dgd,all_variants,PASS,dgd-ablation-v1,7788,20260717T092630959985-s7788-c9f48749bb02,2026-07-17T09:26:32.220304+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-ablation-v1/generations/20260717T092630959985-s7788-c9f48749bb02/manifest.json
dgd_ablation,DGD-Ablation:selected,emerg_exact_topk,all_variants,PASS,dgd-ablation-v1,9999,20260717T092842016218-s9999-5acda38d290e,2026-07-17T09:28:43.268447+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-ablation-v1/generations/20260717T092842016218-s9999-5acda38d290e/manifest.json
