family,model_label,seed,bundle_id,source_status,artifact,present,verified,rows,sha256
dgd,DGD,2025,20260717T024736-s2025-fecdc89014c1,PASS,evaluation_metrics,True,True,4,1075f46cf44e6f166d8a464dcc056c4e58dc4ed42c78947a7629228c84d1f8f8
dgd,DGD,2025,20260717T024736-s2025-fecdc89014c1,PASS,validation_thresholds,True,True,4,85abd62dd99cba8c699ba23d270e93193871155ccab76f03dab0050f44a933d3
dgd,DGD,2025,20260717T024736-s2025-fecdc89014c1,PASS,evaluation_predictions,True,True,230276,1eb7e867dad10f825a5698d324dadbbfde60b89f0ea371f676fc40a727001c3d
dgd,DGD,3407,20260717T025102-s3407-65cd6c13c536,PASS,evaluation_metrics,True,True,4,75b8451a12f0f2b7f0d4c5ad32ed916b1a54269691ceeeffb805ff6ebd83eed1
dgd,DGD,3407,20260717T025102-s3407-65cd6c13c536,PASS,validation_thresholds,True,True,4,0b8498c9b607d5eeff3a9254354241ec40d51d260c6f2cb779c7e17508624cc0
dgd,DGD,3407,20260717T025102-s3407-65cd6c13c536,PASS,evaluation_predictions,True,True,230276,2352b044096383797b20c82c83e3651b406ca7555f8f4998cfb1146b585146dd
dgd,DGD,4517,20260717T025218-s4517-dfc2daaf8a4d,PASS,evaluation_metrics,True,True,4,bdcaaca83f15bab641b1783dfb511d32ab40e9c14d8c29936a7839c5b5a2712c
dgd,DGD,4517,20260717T025218-s4517-dfc2daaf8a4d,PASS,validation_thresholds,True,True,4,a24d3d27e9bca6a130375f9368fc89608c42113ddf0e348119d91feed2c2088a
dgd,DGD,4517,20260717T025218-s4517-dfc2daaf8a4d,PASS,evaluation_predictions,True,True,230276,b9d770e367c3c58b9a1160df1249c210a3709ba22d03d49ea1bbabf42706e33a
dgd,DGD,7788,20260717T024836-s7788-02b73960b948,PASS,evaluation_metrics,True,True,4,03c49d6250e30d599f2ac65c87fee120495308f9081d8b3ad1f384c7763cc410
dgd,DGD,7788,20260717T024836-s7788-02b73960b948,PASS,validation_thresholds,True,True,4,ffd2cc4c76cb2d15eeae2adacc224a04b019880e8aec3350340cefcb50978d80
dgd,DGD,7788,20260717T024836-s7788-02b73960b948,PASS,evaluation_predictions,True,True,230276,e961f9f9cf34bd15095d8d7f4039fac4d87372de0b5fc7edb363d31c3625b5a1
dgd,DGD,9999,20260717T024945-s9999-a305b145acdf,PASS,evaluation_metrics,True,True,4,d724daa1c6f1cdee45ec8dc741b2d772857c8315c3c12fbdbe7ffbfbaeff09db
