family,model_label,seed,bundle_id,schema_version,protocol_pointer_sha256,source_status,split,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn,config_name,variant
dgd,DGD,2025,20260717T024736-s2025-fecdc89014c1,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.3045884668827057,0.500495058104188,0.4481745202074991,0.9668524743627932,0.6124528301886792,0.7329295795831151,0.8806649412009936,0.5639934595304459,0.2006211427716185,22722,27977,779,6091,cfg02_G3_D32,
dgd,DGD,2025,20260717T024736-s2025-fecdc89014c1,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.3595522940158844,0.6569681599471938,0.5513870252211299,0.8567720522530956,0.6709653770535505,0.7821239150016159,0.6343170803731175,0.4764989795640736,0.2394495032765678,20135,16382,3366,17686,cfg02_G3_D32,
dgd,DGD,2025,20260717T024736-s2025-fecdc89014c1,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.3629944324493408,0.7043200333512828,0.6041539401343922,0.7995829964682354,0.688264596000293,0.7962576125541851,0.5402734110371902,0.4299577766979481,0.2646225579091067,18791,12312,4710,21756,cfg02_G3_D32,
dgd,DGD,2025,20260717T024736-s2025-fecdc89014c1,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.3681661486625671,0.714690197849537,0.6195108769085259,0.7803923237309051,0.6907070897278975,0.8014927444799775,0.5142350918028801,0.4148200329530382,0.2734724475792233,18340,11264,5161,22804,cfg02_G3_D32,
dgd,DGD,3407,20260717T025102-s3407-65cd6c13c536,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.3197981119155884,0.5055498619048446,0.4505872984272347,0.9630654014722778,0.6139344373465706,0.7334138725754862,0.8725181955566363,0.5689440514372006,0.1985499154968767,22633,27597,868,6471,cfg02_G3_D32,
dgd,DGD,3407,20260717T025102-s3407-65cd6c13c536,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.3636506795883178,0.6529208428147093,0.5476551500054153,0.8606442279051956,0.6693693842768025,0.7809790913845834,0.6415258211884869,0.481225483891834,0.2367783019608987,20226,16706,3275,17362,cfg02_G3_D32,
dgd,DGD,3407,20260717T025102-s3407-65cd6c13c536,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.3472635746002197,0.6962775104657021,0.5931096390763325,0.8153270073613889,0.6866880498862149,0.7955830523890532,0.5611700741718634,0.4334569471543356,0.2611168932133728,19161,13145,4340,20923,cfg02_G3_D32,
dgd,DGD,3407,20260717T025102-s3407-65cd6c13c536,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm C,57569,23501,0.3679551184177398,0.7139085271587139,0.6175949155377153,0.7856261435683588,0.6915499288336204,0.8010299944668217,0.5192898956035367,0.41840807729186,0.2704823677962298,18463,11432,5038,22636,cfg02_G3_D32,
dgd,DGD,4517,20260717T025218-s4517-dfc2daaf8a4d,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Cold,57569,23501,0.3320686519145965,0.518664559050878,0.4569693499907988,0.9509808093272628,0.6173074798364823,0.7296924553114452,0.8495370772464347,0.5575131818027184,0.2000098281567771,22349,26558,1152,7510,cfg02_G3_D32,
dgd,DGD,4517,20260717T025218-s4517-dfc2daaf8a4d,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm A,57569,23501,0.342690110206604,0.640813632336848,0.5367625992967834,0.876941406748649,0.6659234845547369,0.780500947284065,0.6669388038701385,0.4815799992567581,0.2351371732197867,20609,17786,2892,16282,cfg02_G3_D32,
dgd,DGD,4517,20260717T025218-s4517-dfc2daaf8a4d,dgd-model-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,PASS,evaluation,Warm B,57569,23501,0.3799679279327392,0.7067171568031406,0.6084576298967382,0.7897961788860048,0.6873680702144207,0.7961314384924187,0.5298858760791398,0.4342265030939807,0.2606229293933438,18561,11944,4940,22124,cfg02_G3_D32,
