family,model_label,seed,expected_seed,present
lightgcn,LightGCN,2025,True,True
lightgcn,LightGCN,7788,True,True
lightgcn,LightGCN,9999,True,True
lightgcn,LightGCN,3407,True,True
lightgcn,LightGCN,4517,True,True
emerg,EmerG,2025,True,True
emerg,EmerG,7788,True,True
emerg,EmerG,9999,True,True
emerg,EmerG,3407,True,True
emerg,EmerG,4517,True,True
dgd,DGD,2025,True,True
dgd,DGD,7788,True,True
dgd,DGD,9999,True,True
dgd,DGD,3407,True,True
dgd,DGD,4517,True,True
dgd_ablation,DGD-Ablation:selected,2025,True,True
dgd_ablation,DGD-Ablation:selected,7788,True,True
dgd_ablation,DGD-Ablation:selected,9999,True,True
dgd_ablation,DGD-Ablation:selected,3407,True,True
dgd_ablation,DGD-Ablation:selected,4517,True,True
