family,model_label,phase,seed_count,target_seed_count_observed,target_seed_count,target_seed_count_met,accuracy_mean,accuracy_std,accuracy_sem,precision_mean,precision_std,precision_sem,recall_mean,recall_std,recall_sem,f1_mean,f1_std,f1_sem,roc_auc_mean,roc_auc_std,roc_auc_sem,predicted_positive_rate_mean,predicted_positive_rate_std,predicted_positive_rate_sem
dgd,DGD,Cold,5,5,5,True,0.503656481787073,0.010259701467076946,0.004588277981847674,0.4497005126203228,0.0049584206366502515,0.002217473120917549,0.9633887919662992,0.00752489619033323,0.003365235881042859,0.6131389376811237,0.003130076459098796,0.0013998127474633495,0.7319719862882136,0.002177986130022008,0.0009740250081561811,0.8746756066633085,0.01630144957133517,0.007290229874658049
dgd,DGD,Warm A,5,5,5,True,0.6482481891295663,0.0067893503731503105,0.0030362897914855314,0.5434414066855802,0.006195959431533627,0.002770917294948029,0.8673162844134292,0.010183942072889637,0.0045543973507802685,0.6681360445045329,0.002037914975005114,0.0009113832832952439,0.781429189518799,0.0025625215622709307,0.0011459944814093523,0.6516458510656777,0.014883740394810151,0.006656211056451011
dgd,DGD,Warm B,5,5,5,True,0.7036981708905834,0.004372948998012232,0.0019556422443389883,0.6036855916485547,0.006266566697404313,0.0028024938241864796,0.7988681332709247,0.009889621987722674,0.004422773407264898,0.6876265708101971,0.0007952007857072032,0.0003556246025205099,0.7961986269078595,0.00157073312634471,0.0007024532090035074,0.5403116260487415,0.012383836808966365,0.005538220185422574
dgd,DGD,Warm C,5,5,5,True,0.7122340148343727,0.002937036052670455,0.001313482453227758,0.6144864256311595,0.004947120932823581,0.002212419739741139,0.7923237309050679,0.009714425251559689,0.004344423044965591,0.6921102592891251,0.0013623643202508174,0.0006092678460402242,0.8016740386171992,0.001754324989955566,0.0007845579864334561,0.526432628671681,0.010551981728755072,0.004718989688566417
dgd_ablation,DGD-Ablation:selected,Cold,5,5,5,True,0.5115878337299588,0.002236597631141556,0.001000236868309504,0.4535097379149605,0.0010972621736762569,0.0004907105618958581,0.9580188077103102,0.0024881826683484497,0.0011127491173727896,0.6156011017354409,0.0007687334921491773,0.00034378806900527224,0.7323647277390843,0.0021711833632991396,0.0009709827183906996,0.8623599506678943,0.003957652563244617,0.0017699160325482495
dgd_ablation,DGD-Ablation:selected,Warm A,5,5,5,True,0.6094912192325731,0.008642143295083716,0.0038648839758202423,0.5125873083505166,0.006400272225454355,0.0028622887541239596,0.8910939960001703,0.008305839878384022,0.003714484515659052,0.6507517557804449,0.003083011346041089,0.0013787645890302005,0.7663303264040631,0.0012560268573393004,0.0005617122869152212,0.7098160468307596,0.015259128829334776,0.006824089867963869
dgd_ablation,DGD-Ablation:selected,Warm B,5,5,5,True,0.6689398808386459,0.0071319372287574675,0.003189499290952633,0.5635896038870806,0.00759345786146897,0.0033958975925049593,0.8395047019275775,0.01113417678977667,0.004979355235088204,0.6743270833951485,0.0021106489509066513,0.0009439109061731777,0.7848526734255166,0.001210613099779208,0.000541402637111609,0.6082474943111744,0.016072544874815645,0.007187860582300726
dgd_ablation,DGD-Ablation:selected,Warm C,5,5,5,True,0.6924768538623217,0.008869107403953162,0.003966385410997191,0.5889659730988004,0.011220433887177358,0.005017930581754156,0.8193864090889749,0.017753785379528278,0.007939734193313426,0.6851073388025142,0.0018531844250225312,0.0008287692698388483,0.7957558773426496,0.0010838410518031968,0.0004847084537273638,0.5682850145043339,0.023263431975508477,0.010403723057435836
emerg,EmerG,Cold,5,5,5,True,0.5004498949087182,0.010676494206871725,0.004774673361589575,0.4482983601461859,0.005162347391977549,0.00230867193838611,0.9684438960044254,0.00555491938293916,0.002484235469956629,0.6128564492391578,0.003767829983940888,0.0016850247943507532,0.7380002666842967,0.005499055148912765,0.002459252224997834,0.8820094147892096,0.015104674063911706,0.0067550155969769154
emerg,EmerG,Warm A,5,5,5,True,0.6630895099793291,0.002766585884476105,0.0012372548206559901,0.5557531639076385,0.0026143483058348356,0.0011691721057416205,0.8709076209522999,0.005390724249270673,0.002410805173865149,0.6785089272294427,0.001678941767724048,0.0007508455845789267,0.7930473175850857,0.0024265118840284695,0.0010851691041797488,0.6397366638294917,0.00618873672902139,0.0027676872041883047
