family,model_label,selected_variant,prediction_scope,source_status,schema_version,seed,bundle_id,created_at_utc,protocol_schema_version,protocol_pointer_sha256,manifest_path
dgd,DGD,,active_model,PASS,dgd-model-v1,2025,20260717T024736-s2025-fecdc89014c1,2026-07-17T02:48:36.549534+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-v1/generations/20260717T024736-s2025-fecdc89014c1/manifest.json
dgd,DGD,,active_model,PASS,dgd-model-v1,3407,20260717T025102-s3407-65cd6c13c536,2026-07-17T02:52:18.280755+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-v1/generations/20260717T025102-s3407-65cd6c13c536/manifest.json
dgd,DGD,,active_model,PASS,dgd-model-v1,4517,20260717T025218-s4517-dfc2daaf8a4d,2026-07-17T02:53:34.151458+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-v1/generations/20260717T025218-s4517-dfc2daaf8a4d/manifest.json
dgd,DGD,,active_model,PASS,dgd-model-v1,7788,20260717T024836-s7788-02b73960b948,2026-07-17T02:49:45.846425+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-v1/generations/20260717T024836-s7788-02b73960b948/manifest.json
dgd,DGD,,active_model,PASS,dgd-model-v1,9999,20260717T024945-s9999-a305b145acdf,2026-07-17T02:51:02.006853+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-v1/generations/20260717T024945-s9999-a305b145acdf/manifest.json
dgd_ablation,DGD-Ablation:selected,full_dgd,all_variants,PASS,dgd-ablation-v1,2025,20260717T123348879045-s2025-f5e7acb856b6,2026-07-17T12:33:50.152201+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-ablation-v1/generations/20260717T123348879045-s2025-f5e7acb856b6/manifest.json
dgd_ablation,DGD-Ablation:selected,full_dgd,all_variants,PASS,dgd-ablation-v1,3407,20260717T124011847802-s3407-f49d7d5f0960,2026-07-17T12:40:13.114655+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-ablation-v1/generations/20260717T124011847802-s3407-f49d7d5f0960/manifest.json
dgd_ablation,DGD-Ablation:selected,full_dgd,all_variants,PASS,dgd-ablation-v1,4517,20260717T124219072077-s4517-bbe4defe524a,2026-07-17T12:42:20.316317+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-ablation-v1/generations/20260717T124219072077-s4517-bbe4defe524a/manifest.json
dgd_ablation,DGD-Ablation:selected,full_dgd,all_variants,PASS,dgd-ablation-v1,7788,20260717T123556602111-s7788-14eef65a00e7,2026-07-17T12:35:57.860269+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-ablation-v1/generations/20260717T123556602111-s7788-14eef65a00e7/manifest.json
dgd_ablation,DGD-Ablation:selected,full_dgd,all_variants,PASS,dgd-ablation-v1,9999,20260717T123805162399-s9999-13782db53d0d,2026-07-17T12:38:06.426552+00:00,ml1m-coldstart-v1,5256c3aeda7f7e619fd60d9530397af6a207c7a83d80c45cdd131e0d86fc2ee0,/workspace/HungPH/coldstart-recsys/.notebook/artifacts/models/ml-1m/dgd-ablation-v1/generations/20260717T123805162399-s9999-13782db53d0d/manifest.json
