split,variant,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn
evaluation,emerg_exact_topk,Cold,57569,23501,0.33563828468322754,0.5184734839931213,0.4569405330394678,0.9527679673205396,0.6176572003917079,0.7330092772401917,0.8511872709270615,0.5614842391722389,0.1939911694134077,22391,26611,1110,7457
evaluation,emerg_exact_topk,Warm A,57569,23501,0.38006025552749634,0.6091820250482031,0.512280013726163,0.8893238585592103,0.6500878707289383,0.7661013997755584,0.7086800187600966,0.5183059927688581,0.20960353224978717,20900,19898,2601,14170
evaluation,emerg_exact_topk,Warm B,57569,23501,0.3728746175765991,0.6575587555802602,0.5518951955490997,0.8568571550146802,0.6713676068547042,0.783923720502287,0.6337959665792353,0.4802364891100833,0.22499848083657004,20137,16350,3364,17718
evaluation,emerg_exact_topk,Warm C,57569,23501,0.38035011291503906,0.6924386388507704,0.5888612874536142,0.8170290625930812,0.6844300278035217,0.7951303950268452,0.5663985825704806,0.45527519117199894,0.23802576640062043,19201,13406,4300,20662
evaluation,mix_topk,Cold,57569,23501,0.33590731024742126,0.5188382636488388,0.4571206829646876,0.9523850048934088,0.6177412232280857,0.7330314647102044,0.8505098229950147,0.5611129088652165,0.19423175222636624,22382,26581,1119,7487
evaluation,mix_topk,Warm A,57569,23501,0.3814172148704529,0.6108322187288298,0.5135015384615385,0.8876643547083103,0.6506253313788479,0.7660673235736543,0.7056749292153763,0.517872286794728,0.20979798106334765,20861,19764,2640,14304
evaluation,mix_topk,Warm B,57569,23501,0.37887126207351685,0.6618492591498897,0.556015329926683,0.8519211948427726,0.6728730108050883,0.7839191197622626,0.6254755163369174,0.4801414187600066,0.22538638737851782,20021,15987,3480,18081
evaluation,mix_topk,Warm C,57569,23501,0.3791778087615967,0.6916917090795394,0.5879725926832252,0.8179226415897196,0.6841421529371986,0.7950972474662357,0.5678750716531467,0.45502936096869434,0.23825523407058646,19222,13470,4279,20598
evaluation,exact_sparsemax,Cold,57569,23501,0.3346768617630005,0.5163021765186124,0.4558408033010143,0.9542572656482703,0.6169633277394151,0.7329316342097854,0.8545745105872953,0.5634198412792246,0.19367842351516518,22426,26771,1075,7297
evaluation,exact_sparsemax,Warm A,57569,23501,0.39237180352211,0.6178846254060345,0.5188880790207857,0.878473256457172,0.6524143597522437,0.7659628467442301,0.691118483906269,0.5191034203124015,0.2097315047370046,20645,19142,2856,14926
evaluation,exact_sparsemax,Warm B,57569,23501,0.3805341124534607,0.6630478208758186,0.5572101843330823,0.8502191396110804,0.6732142857142858,0.7840704495738484,0.6228873178273029,0.4797552998114243,0.2256919343031033,19981,15878,3520,18190
evaluation,exact_sparsemax,Warm C,57569,23501,0.383554071187973,0.6945578349458911,0.5916483380316595,0.8126888217522659,0.6847728657990033,0.7953302202729157,0.5607358126769616,0.4540807282438136,0.2388917016740718,19099,13182,4402,20886
evaluation,full_dgd,Cold,57569,23501,0.3293842673301697,0.5119769320293908,0.4536820454912083,0.9573635164461087,0.6156266673963308,0.7327902134442109,0.8614358422067432,0.5643494536470859,0.19342252832911602,22499,27093,1002,6975
evaluation,full_dgd,Warm A,57569,23501,0.38772037625312805,0.6146884608035574,0.5164181333864423,0.8826858431556104,0.6516098633579394,0.7661123642377012,0.697753999548368,0.5190277738724214,0.20987885122792657,20744,19425,2757,14643
evaluation,full_dgd,Warm B,57569,23501,0.3754287362098694,0.6609807361600861,0.5550671753192901,0.8543891749287265,0.6729451193967324,0.7843459294213532,0.6283590126630652,0.47918316587617055,0.22602111251672852,20079,16095,3422,17973
evaluation,full_dgd,Warm C,57569,23501,0.39305925369262695,0.6995605273671595,0.5986392395002067,0.801199948938343,0.6852640390144484,0.795557293365871,0.546353071965815,0.4534776173233696,0.2393623527587104,18829,12624,4672,21444
