split,variant,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn
evaluation,emerg_exact_topk,Cold,57569,23501,0.3135059177875519,0.5054803800656603,0.45063200572382545,0.9648100080847624,0.6143300323773657,0.7338011503431311,0.8740120550990985,0.5614280903858775,0.19570158706066618,22674,27642,827,6426
evaluation,emerg_exact_topk,Warm A,57569,23501,0.36629870533943176,0.5984818218138234,0.5045928323259246,0.9022594783200715,0.6472231124948491,0.7657377002540947,0.7299414615504872,0.5178225691371854,0.2095039563663956,21204,20818,2297,13250
evaluation,emerg_exact_topk,Warm B,57569,23501,0.3883652985095978,0.6660355399607427,0.5603864734299517,0.8440491893961959,0.6735712587863765,0.7838837152348487,0.6148621654015182,0.48085326453304506,0.22397680944709375,19836,15561,3665,18507
evaluation,emerg_exact_topk,Warm C,57569,23501,0.367313027381897,0.6866195348190867,0.581032947462155,0.8329432790094039,0.6845482680841393,0.79525215632507,0.5852107905296253,0.4561850038862642,0.2368746680340487,19575,14115,3926,19953
evaluation,mix_topk,Cold,57569,23501,0.31541556119918823,0.5074085011030242,0.45157430856048975,0.9636185694225777,0.6149626612355737,0.733750901294151,0.8711111883131546,0.5601896014698773,0.1959270865636788,22646,27503,855,6565
evaluation,mix_topk,Warm A,57569,23501,0.36475709080696106,0.5990550469870938,0.5049875014879182,0.9025998893664099,0.6476353311147071,0.7659831838012264,0.7296461637339541,0.5167213281952964,0.21015835480100079,21212,20793,2289,13275
evaluation,mix_topk,Warm B,57569,23501,0.38419848680496216,0.6634647119109243,0.5577930261868086,0.8474532998595804,0.6727696517244873,0.7839809046969125,0.620212267018708,0.48081039178908574,0.22410813033496566,19916,15789,3585,18279
evaluation,mix_topk,Warm C,57569,23501,0.3621011972427368,0.6845350796435582,0.5785432723421781,0.8368580060422961,0.6841290547004087,0.795451028574089,0.5904914103076309,0.4559000246228729,0.23704724539971309,19667,14327,3834,19741
evaluation,exact_sparsemax,Cold,57569,23501,0.31607526540756226,0.5075474647813928,0.4516347822617646,0.9633632611378239,0.6149667255194893,0.7334237104277467,0.8707637791172332,0.5607753083425382,0.19576133723076422,22640,27489,861,6579
evaluation,exact_sparsemax,Warm A,57569,23501,0.37006717920303345,0.6033281800969271,0.5080018289894833,0.8982170971448024,0.6489685492052756,0.7658897994577953,0.72179471590613,0.5170158964782179,0.21052148667066448,21109,20444,2392,13624
evaluation,exact_sparsemax,Warm B,57569,23501,0.3753354549407959,0.6596605812155848,0.5538321670615461,0.8554104080677418,0.6723523804745899,0.7842995410720921,0.6305129496777779,0.4794905124490269,0.2253576807728528,20103,16195,3398,17873
evaluation,exact_sparsemax,Warm C,57569,23501,0.3653126358985901,0.686689016658271,0.5811549429657795,0.8324752138206885,0.684474766028164,0.7953220317425507,0.5847591585749274,0.45455425241798847,0.23849128075774975,19564,14100,3937,19968
evaluation,full_dgd,Cold,57569,23501,0.323817640542984,0.512984418697563,0.45430735756305907,0.9595336368665163,0.616650942751275,0.7332487961249137,0.8622001424377703,0.560346197783217,0.19565211213601447,22550,27086,951,6982
evaluation,full_dgd,Warm A,57569,23501,0.3668486475944519,0.6015911341173201,0.5067676017535875,0.9001319092804562,0.6484580957635951,0.7661082924547559,0.7250951032673835,0.5161782116163514,0.21093333039695208,21154,20589,2347,13479
evaluation,full_dgd,Warm B,57569,23501,0.38400474190711975,0.665358092028696,0.5596586107824911,0.845453384962342,0.6734911784146569,0.7846744367476423,0.6166860636801056,0.4787953388054021,0.22612098668243225,19869,15633,3632,18435
evaluation,full_dgd,Warm C,57569,23501,0.3506629467010498,0.6792892007851448,0.5725811098945427,0.8455810391047189,0.6828044736887317,0.795546702358667,0.6028591776824332,0.4540362444191218,0.23926127944905226,19872,14834,3629,19234
