split,variant,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn
evaluation,emerg_exact_topk,Cold,57569,23501,0.3234661817550659,0.5092497698414077,0.45231547463717203,0.9588102633930471,0.6146648844758449,0.7337849843656274,0.8653441956608592,0.5609718584334785,0.19536673857592837,22533,27284,968,6784
evaluation,emerg_exact_topk,Warm A,57569,23501,0.3726543188095093,0.6032413277979468,0.5079702444208289,0.8949406408237948,0.6480856636622757,0.7656456760860095,0.7192065173965155,0.5197167790774293,0.20891826177880943,21032,20372,2469,13696
evaluation,emerg_exact_topk,Warm B,57569,23501,0.37816697359085083,0.6590873560423144,0.553520620977321,0.8526445683162419,0.671267294227999,0.7829237605556414,0.6288280150775591,0.482792516454132,0.22246668228497044,20038,16163,3463,17905
evaluation,emerg_exact_topk,Warm C,57569,23501,0.3767023980617523,0.6876443919470548,0.5831349983430242,0.8236245266158887,0.6828235792147318,0.7935698604817812,0.5765776720109781,0.4584579189009205,0.2341878093701734,19356,13837,4145,20231
evaluation,mix_topk,Cold,57569,23501,0.3248426616191864,0.5097882540950859,0.4525666278088194,0.9581294413003701,0.614756671899529,0.7337701492116601,0.8642498566937067,0.5611319012602014,0.1953942129229576,22517,27237,984,6831
evaluation,mix_topk,Warm A,57569,23501,0.3709583282470703,0.6023033229689589,0.5072987425928602,0.8961320794859793,0.6478504960393755,0.7658327126861973,0.7211172679740833,0.5191552541738077,0.20908120466910163,21060,20454,2441,13614
evaluation,mix_topk,Warm B,57569,23501,0.37191036343574524,0.6564644166131077,0.5507993670540732,0.8590698268158802,0.6712326489901088,0.7832246528251726,0.6366968333651791,0.4821541664212123,0.22307824243413588,20189,16465,3312,17603
evaluation,mix_topk,Warm C,57569,23501,0.3741517663002014,0.6872969827511334,0.5826147050869865,0.8250712735628272,0.6829629107815858,0.7938068070238725,0.5781062724730324,0.4578094338148977,0.2348376067175292,19390,13891,4111,20177
evaluation,exact_sparsemax,Cold,57569,23501,0.33185309171676636,0.5142003508832879,0.4547315926046059,0.9544700225522318,0.6159908827527496,0.7333702364267528,0.8568500408205805,0.5614166204499398,0.19567870479901545,22431,26897,1070,7171
evaluation,exact_sparsemax,Warm A,57569,23501,0.3718830645084381,0.6033455505567232,0.5080493110949964,0.8943449214927024,0.6479937105948729,0.7655628365362952,0.7186159217634491,0.5191972705258842,0.20968116787803306,21018,20352,2483,13716
evaluation,exact_sparsemax,Warm B,57569,23501,0.3777722418308258,0.6604422519064079,0.5548281505728314,0.8510701672269265,0.6717380352644836,0.783190500433465,0.6261877051885564,0.4814802116580743,0.22369118341099156,20001,16048,3500,18020
evaluation,exact_sparsemax,Warm C,57569,23501,0.3702191114425659,0.687175389532561,0.5822254162175111,0.8273690481256116,0.6834806756067983,0.7940224216699748,0.5801038753495805,0.45654008637553156,0.23588198678986919,19444,13952,4057,20116
evaluation,full_dgd,Cold,57569,23501,0.33240336179733276,0.5136444961698137,0.45444417436396045,0.954640228075401,0.6157625327642757,0.7330116559857804,0.8575448592124234,0.5623439868081904,0.19539755304687706,22435,26933,1066,7135
evaluation,full_dgd,Warm A,57569,23501,0.3685370683670044,0.6017127273358925,0.506877314480835,0.8969405557210332,0.6477176701952772,0.7656610964026487,0.7223679410794004,0.5187361863928692,0.21010295937830661,21079,20507,2422,13561
evaluation,full_dgd,Warm B,57569,23501,0.38831964135169983,0.6670430266289149,0.5616797153024911,0.8394961916514191,0.6730460887660764,0.7835167620340683,0.6101374003369869,0.4802475796235637,0.22466734163225638,19729,15396,3772,18672
evaluation,full_dgd,Warm C,57569,23501,0.3764013946056366,0.6911705952856572,0.5872415685796182,0.8194544912982427,0.6841815436539657,0.7943451148399416,0.5696468585523459,0.4554885738792489,0.23697875621442513,19258,13536,4243,20532
