split,variant,item_id,item_idx,phase,base_graph_mean,graph_density_gt_1e_6,graph_row_sum_error,local_delta_norm,last_warm_loss,tuning_seconds,final_training_seconds,device
validation,emerg_exact_topk,1,0,Cold,-0.00602332130074501,0.4444444444444444,0.0,0.0,0.0,0.6177315340028144,,cuda
validation,emerg_exact_topk,1,0,Warm A,-0.005893194116652012,0.4444444444444444,1.1920928955078125e-07,0.16542643308639526,0.49883684515953064,0.6177315340028144,,cuda
validation,emerg_exact_topk,1,0,Warm B,-0.006314780097454786,0.4444444444444444,1.1920928955078125e-07,0.26696261763572693,0.384829044342041,0.6177315340028144,,cuda
validation,emerg_exact_topk,1,0,Warm C,-0.00515933008864522,0.4444444444444444,1.1920928955078125e-07,0.26812905073165894,0.5181746482849121,0.6177315340028144,,cuda
validation,emerg_exact_topk,5,4,Cold,-0.005995508749037981,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6177315340028144,,cuda
validation,emerg_exact_topk,5,4,Warm A,-0.005323871970176697,0.4444444444444444,5.960464477539063e-08,0.16508153080940247,0.5577157139778137,0.6177315340028144,,cuda
validation,emerg_exact_topk,5,4,Warm B,-0.005442132707685232,0.4444444444444444,1.1920928955078125e-07,0.24207143485546112,0.6338900923728943,0.6177315340028144,,cuda
validation,emerg_exact_topk,5,4,Warm C,-0.005021076649427414,0.4444444444444444,1.1920928955078125e-07,0.29373109340667725,0.5067451000213623,0.6177315340028144,,cuda
validation,emerg_exact_topk,7,6,Cold,-0.00599345937371254,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6177315340028144,,cuda
validation,emerg_exact_topk,7,6,Warm A,-0.005939806345850229,0.4444444444444444,5.960464477539063e-08,0.15205401182174683,0.6647425889968872,0.6177315340028144,,cuda
validation,emerg_exact_topk,7,6,Warm B,-0.005521366838365793,0.4444444444444444,1.1920928955078125e-07,0.22992655634880066,0.6763996481895447,0.6177315340028144,,cuda
validation,emerg_exact_topk,7,6,Warm C,-0.005209704395383596,0.4444444444444444,1.1920928955078125e-07,0.3294021785259247,0.6993259787559509,0.6177315340028144,,cuda
validation,emerg_exact_topk,11,10,Cold,-0.006024387665092945,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6177315340028144,,cuda
validation,emerg_exact_topk,11,10,Warm A,-0.00687678437680006,0.4444444444444444,5.960464477539063e-08,0.15845386683940887,0.5717065930366516,0.6177315340028144,,cuda
validation,emerg_exact_topk,11,10,Warm B,-0.006850461009889841,0.4444444444444444,5.960464477539063e-08,0.18456055223941803,0.6784726977348328,0.6177315340028144,,cuda
