split,variant,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn
evaluation,emerg_exact_topk,Cold,57569,23501,0.3184387683868408,0.5113168545571402,0.4533572320457566,0.9578741330156163,0.6154329847583896,0.7289064307126903,0.8625128107140996,0.5542549484299757,0.1940432616080671,22511,27143,990,6925
evaluation,emerg_exact_topk,Warm A,57569,23501,0.37337183952331543,0.6078792405634977,0.5112886334299422,0.8932811369728948,0.6503407682775713,0.7646800027999878,0.7132137087668711,0.5134910293854369,0.20922251477678222,20993,20066,2508,14002
evaluation,emerg_exact_topk,Warm B,57569,23501,0.39198583364486694,0.6681199951362713,0.5630324412701144,0.8352410535721884,0.6726406689054897,0.7838892471141938,0.6055863398704163,0.47726444391421685,0.22510385463905996,19629,15234,3872,18834
evaluation,emerg_exact_topk,Warm C,57569,23501,0.38241279125213623,0.6931681981622053,0.5896317680660913,0.8169439598314965,0.6849202668474189,0.7954014371305447,0.5655995414198614,0.4534785016941762,0.2385759025159217,19199,13362,4302,20706
evaluation,mix_topk,Cold,57569,23501,0.3205985426902771,0.5124633049036807,0.4539216082024785,0.956980554018978,0.615767930236697,0.7285579903851666,0.860636801056124,0.5541637703264115,0.19368240059707137,22490,27056,1011,7012
evaluation,mix_topk,Warm A,57569,23501,0.37548789381980896,0.6097552502214734,0.5126735728454926,0.8907706055061487,0.6507911835110517,0.7647529426712896,0.7092879848529591,0.512919827908483,0.2092438852927546,20934,19899,2567,14169
evaluation,mix_topk,Warm B,57569,23501,0.3883059620857239,0.6666608765134013,0.5614260066683765,0.8383047529892345,0.672480884762425,0.7838943174831713,0.6095468047039205,0.4771205450954523,0.2254176671241624,19701,15390,3800,18678
evaluation,mix_topk,Warm C,57569,23501,0.389577180147171,0.6964859559832549,0.59437625250501,0.807710310199566,0.6848133917780543,0.7952825679223231,0.5547430040473171,0.4531943794825803,0.23887409588309783,18982,12954,4519,21114
evaluation,exact_sparsemax,Cold,57569,23501,0.3156856298446655,0.5079817262762946,0.45171751141004085,0.9602144589591932,0.6144002613774044,0.7286548644714042,0.867758689572513,0.5551945268449071,0.19321034697602035,22566,27390,935,6678
evaluation,exact_sparsemax,Warm A,57569,23501,0.3712977170944214,0.6070801994128785,0.5106982392228294,0.8947704353006255,0.6502566639866412,0.7648664067750032,0.7152286821032152,0.5131608236630719,0.20945824954647368,21028,20147,2473,13921
evaluation,exact_sparsemax,Warm B,57569,23501,0.3911794126033783,0.6688148135281141,0.5636974693361675,0.8350282966682269,0.6730459237918853,0.7842388109290671,0.6047178168806129,0.47620801614648656,0.2259636326682368,19624,15189,3877,18879
evaluation,exact_sparsemax,Warm C,57569,23501,0.3784826099872589,0.6924560093105665,0.5885426214482127,0.8196672482022042,0.6851380910885455,0.7956668861532536,0.5685351491253974,0.4522909442401151,0.23974515880900144,19263,13467,4238,20601
evaluation,full_dgd,Cold,57569,23501,0.3170742690563202,0.5079643558164985,0.4516891283016601,0.9597889451512701,0.6142868814510198,0.7285968315723271,0.8674286508363876,0.5558551533955306,0.19306437327087472,22556,27381,945,6687
evaluation,full_dgd,Warm A,57569,23501,0.3715471923351288,0.607931351942886,0.5113188257631079,0.8938343049231947,0.6505117445767462,0.7652831924788703,0.7136132293421806,0.5126413332593831,0.21018841784068512,21006,20076,2495,13992
evaluation,full_dgd,Warm B,57569,23501,0.39372554421424866,0.67175042123365,0.5667169023881289,0.8320497000127655,0.674217739850013,0.7849193757250303,0.5993503448036269,0.47507351736876496,0.22739409285295356,19554,14950,3947,19118
evaluation,full_dgd,Warm C,57569,23501,0.3721580505371094,0.6911358543660651,0.5865617433414043,0.8246457597549041,0.6855202419483207,0.7960264258363431,0.5739199916621793,0.45039585613688954,0.24142358309726303,19380,13660,4121,20408
