split,variant,item_id,item_idx,phase,base_graph_mean,graph_density_gt_1e_6,graph_row_sum_error,local_delta_norm,last_warm_loss,tuning_seconds,final_training_seconds,device
validation,emerg_exact_topk,1,0,Cold,-0.007400225847959518,0.4444444444444444,0.0,0.0,0.0,0.614355074998457,,cuda
validation,emerg_exact_topk,1,0,Warm A,-0.007204629015177488,0.4444444444444444,5.960464477539063e-08,0.15405072271823883,0.4915078282356262,0.614355074998457,,cuda
validation,emerg_exact_topk,1,0,Warm B,-0.007367236539721489,0.4444444444444444,1.1920928955078125e-07,0.24929703772068024,0.38015082478523254,0.614355074998457,,cuda
validation,emerg_exact_topk,1,0,Warm C,-0.006926966365426779,0.4444444444444444,5.960464477539063e-08,0.2549501359462738,0.5053450465202332,0.614355074998457,,cuda
validation,emerg_exact_topk,5,4,Cold,-0.007577624637633562,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.614355074998457,,cuda
validation,emerg_exact_topk,5,4,Warm A,-0.008054997771978378,0.4444444444444444,1.1920928955078125e-07,0.16086573898792267,0.5679568648338318,0.614355074998457,,cuda
validation,emerg_exact_topk,5,4,Warm B,-0.00759282149374485,0.4444444444444444,5.960464477539063e-08,0.23201611638069153,0.6727551817893982,0.614355074998457,,cuda
validation,emerg_exact_topk,5,4,Warm C,-0.007886533625423908,0.4444444444444444,1.1920928955078125e-07,0.32268181443214417,0.49476489424705505,0.614355074998457,,cuda
validation,emerg_exact_topk,7,6,Cold,-0.007554810028523207,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.614355074998457,,cuda
validation,emerg_exact_topk,7,6,Warm A,-0.008724898099899292,0.4444444444444444,1.1920928955078125e-07,0.16911379992961884,0.7276514172554016,0.614355074998457,,cuda
validation,emerg_exact_topk,7,6,Warm B,-0.009175516664981842,0.4444444444444444,1.1920928955078125e-07,0.2231152504682541,0.7036727070808411,0.614355074998457,,cuda
validation,emerg_exact_topk,7,6,Warm C,-0.010672166012227535,0.4444444444444444,5.960464477539063e-08,0.3177716135978699,0.6896171569824219,0.614355074998457,,cuda
validation,emerg_exact_topk,11,10,Cold,-0.007571801543235779,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.614355074998457,,cuda
validation,emerg_exact_topk,11,10,Warm A,-0.0075269644148647785,0.4444444444444444,1.1920928955078125e-07,0.15206587314605713,0.5263392329216003,0.614355074998457,,cuda
validation,emerg_exact_topk,11,10,Warm B,-0.008240951225161552,0.4444444444444444,5.960464477539063e-08,0.21693624556064606,0.6885215640068054,0.614355074998457,,cuda
validation,emerg_exact_topk,11,10,Warm C,-0.008009254932403564,0.4444444444444444,5.960464477539063e-08,0.27863043546676636,0.579120934009552,0.614355074998457,,cuda
validation,emerg_exact_topk,17,16,Cold,-0.007524065673351288,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.614355074998457,,cuda
validation,emerg_exact_topk,17,16,Warm A,-0.008314448408782482,0.4444444444444444,0.0,0.1643323451280594,0.5947062969207764,0.614355074998457,,cuda
validation,emerg_exact_topk,17,16,Warm B,-0.008203452453017235,0.4444444444444444,1.1920928955078125e-07,0.28107506036758423,0.37198302149772644,0.614355074998457,,cuda
validation,emerg_exact_topk,17,16,Warm C,-0.007690735626965761,0.4444444444444444,1.1920928955078125e-07,0.353026807308197,0.3705930709838867,0.614355074998457,,cuda
validation,emerg_exact_topk,41,36,Cold,-0.007700805086642504,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.614355074998457,,cuda
validation,emerg_exact_topk,41,36,Warm A,-0.0086649339646101,0.4444444444444444,1.1920928955078125e-07,0.15966713428497314,0.7219334244728088,0.614355074998457,,cuda
validation,emerg_exact_topk,41,36,Warm B,-0.00885144155472517,0.4444444444444444,5.960464477539063e-08,0.27426305413246155,0.5006107687950134,0.614355074998457,,cuda
validation,emerg_exact_topk,41,36,Warm C,-0.009825845248997211,0.4444444444444444,1.1920928955078125e-07,0.38192829489707947,0.6975868940353394,0.614355074998457,,cuda
