split,variant,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn
evaluation,emerg_exact_topk,Cold,57569,23501,0.3146646320819855,0.5111778908787715,0.45336120939208746,0.959618739628101,0.6157963000887432,0.734587891250941,0.864076152095746,0.5534451663373491,0.19678755493716316,22552,27192,949,6876
evaluation,emerg_exact_topk,Warm A,57569,23501,0.3786507844924927,0.6185273324184891,0.5191857278118304,0.8866431215692949,0.6548911762394909,0.7685140741826993,0.6971460334555055,0.5112200976320148,0.21254308781942263,20837,19297,2664,14771
evaluation,emerg_exact_topk,Warm B,57569,23501,0.389347106218338,0.6745818061804096,0.5690889591002638,0.8354112590953576,0.677,0.7867685072539463,0.5992634925046466,0.474310861155669,0.22851339817487598,19633,14866,3868,19202
evaluation,emerg_exact_topk,Warm C,57569,23501,0.3915848731994629,0.7034167694418871,0.6029868922859981,0.8006042296072508,0.6878838841766598,0.797285647818943,0.5420104570167973,0.4498441503243688,0.24178918359911505,18815,12388,4686,21680
evaluation,mix_topk,Cold,57569,23501,0.31737661361694336,0.5124111935242925,0.45394617478076804,0.9581719926811625,0.616036987388176,0.734657959640957,0.8616616581840921,0.5531053798369203,0.19682887042411898,22518,27087,983,6981
evaluation,mix_topk,Warm A,57569,23501,0.38780516386032104,0.6254407754173253,0.5246426936574945,0.8778349857452874,0.6567658341690146,0.7684256627852183,0.683041220101096,0.5110442049454633,0.21257328948545742,20630,18692,2871,15376
evaluation,mix_topk,Warm B,57569,23501,0.39085811376571655,0.6755024405496014,0.570184635098142,0.8331134845325731,0.6770172375041063,0.7867341812494075,0.5964668484774792,0.4742245248501946,0.22856391298221365,19579,14759,3922,19309
evaluation,mix_topk,Warm C,57569,23501,0.39222556352615356,0.7035731035800518,0.6033132143315783,0.7996255478490277,0.6877344507676261,0.7971810529577739,0.5410550817280133,0.4499177089498648,0.24171825828546445,18792,12356,4709,21712
evaluation,exact_sparsemax,Cold,57569,23501,0.3156762421131134,0.5106741475446855,0.45309517590564785,0.9595761882473086,0.615542089747789,0.7344453794723595,0.8645451545102398,0.5539898066954642,0.19648797971886445,22551,27220,950,6848
evaluation,exact_sparsemax,Warm A,57569,23501,0.383482962846756,0.6217234970209662,0.5216789899904432,0.882643291774818,0.6557703555000554,0.7684091452105064,0.6906842224113672,0.511727216448476,0.21244394389277318,20743,19019,2758,15049
evaluation,exact_sparsemax,Warm B,57569,23501,0.3987126648426056,0.6797929441192309,0.5750777893021188,0.825752095655504,0.6779862348461028,0.786656803009794,0.5861661658184092,0.4744676517028197,0.2286545562355631,19406,14339,4095,19729
evaluation,exact_sparsemax,Warm C,57569,23501,0.38675907254219055,0.7016449825426879,0.6001520093739114,0.8063912173950045,0.6881513489959694,0.797303343837584,0.5485070089805277,0.44971416571128475,0.24207092005729527,18951,12626,4550,21442
evaluation,full_dgd,Cold,57569,23501,0.3194020986557007,0.5132797165140961,0.45435998949643486,0.9571507595421471,0.61620644312952,0.7341569173819303,0.8599593531240772,0.5529673094993298,0.19651570482449143,22494,27013,1007,7055
evaluation,full_dgd,Warm A,57569,23501,0.3824020028114319,0.6215671628828016,0.5215782983970407,0.8819624696821412,0.6555028462998103,0.768488965270874,0.6902847018360576,0.5106777996844644,0.21259458322649433,20727,19012,2774,15056
evaluation,full_dgd,Warm B,57569,23501,0.3973535895347595,0.6796887213604544,0.5749355918149782,0.8261350580826348,0.6780164134800071,0.7868237167587446,0.5865830568535149,0.47401689718622203,0.22889479885354522,19415,14354,4086,19714
evaluation,full_dgd,Warm C,57569,23501,0.38671261072158813,0.7013670551859508,0.6000190240654428,0.8052423301136122,0.6876453488372094,0.7973202361162481,0.547846931508277,0.44982612047589504,0.2421653991302754,18924,12615,4577,21453
