split,variant,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn
evaluation,emerg_exact_topk,Cold,57569,23501,0.3352974057197571,0.5183345203147527,0.456880022845021,0.953108378366878,0.6176734181753002,0.733125641552494,0.8516041619621671,0.5616323891188174,0.19405678727652206,22399,26627,1102,7441
evaluation,emerg_exact_topk,Warm A,57569,23501,0.38074663281440735,0.6099984366586183,0.512880332015422,0.8886855878473257,0.6504001743950671,0.7660010958991466,0.7073424933557991,0.5181670002514404,0.20978611319232118,20885,19836,2616,14232
evaluation,emerg_exact_topk,Warm B,57569,23501,0.37550824880599976,0.6593479129392555,0.5536078496224023,0.8546870345942725,0.671963601692789,0.7839549645668202,0.6302350223210408,0.48019711005420124,0.2251541047087212,20086,16196,3415,17872
evaluation,emerg_exact_topk,Warm C,57569,23501,0.37617412209510803,0.6899894040195244,0.5858644150164014,0.8207735841028041,0.6837040319007532,0.7950894355133424,0.5719050183258351,0.45512952390566347,0.2380765454286865,19289,13635,4212,20433
evaluation,mix_topk,Cold,57569,23501,0.33544889092445374,0.5184213726137331,0.4569160766389847,0.9528530700821242,0.617652737553441,0.7330371983051771,0.8513088641456339,0.5611796152023241,0.19406252861530232,22393,26616,1108,7452
evaluation,mix_topk,Warm A,57569,23501,0.3802095651626587,0.6098247320606577,0.5127519084906355,0.8888557933704949,0.6503424657534246,0.7660238903895615,0.7076551616321284,0.5179230048603469,0.20986060827314054,20889,19850,2612,14218
evaluation,mix_topk,Warm B,57569,23501,0.37335455417633057,0.6580451284545502,0.5523276547883577,0.8567295008723033,0.6716482636688127,0.7837815003682815,0.6332053709461689,0.4803338803255931,0.2252497792381709,20134,16319,3367,17749
evaluation,mix_topk,Warm C,57569,23501,0.3904985189437866,0.6966249196616234,0.5947209842445547,0.8063061146334198,0.6845366038690099,0.7950985757917456,0.5534575900224079,0.45531009764676883,0.2382046797448706,18949,12913,4552,21155
evaluation,exact_sparsemax,Cold,57569,23501,0.33581382036209106,0.5171533290486199,0.4562756992224077,0.953789200459555,0.6172635521224888,0.7329239346680778,0.8533412079417743,0.5633986956349981,0.19372322310366466,22415,26711,1086,7357
evaluation,exact_sparsemax,Warm A,57569,23501,0.3869554102420807,0.6137851968941618,0.5157363936706659,0.8834517680098719,0.6512751341008186,0.765937225112497,0.6992826000104223,0.5191076043659008,0.2097396983626052,20762,19495,2739,14573
evaluation,exact_sparsemax,Warm B,57569,23501,0.3769862949848175,0.6610154770796783,0.5551710774000664,0.8533679417897111,0.6727044025157233,0.7840425634812319,0.6274904896732616,0.4797619430217207,0.2256742725766006,20055,16069,3446,17999
evaluation,exact_sparsemax,Warm C,57569,23501,0.3800661861896515,0.6933766436797582,0.5899375711166467,0.8162631377388196,0.6848870006069477,0.7953462013964697,0.5648352411888342,0.4540752614682092,0.23888123161416683,19183,13334,4318,20734
evaluation,full_dgd,Cold,57569,23501,0.3293842673301697,0.5120290434087791,0.45370762498235423,0.9573209650653164,0.615641418563923,0.7327968944156756,0.8613489899077629,0.5643426783873524,0.19342826260711746,22498,27089,1003,6979
evaluation,full_dgd,Warm A,57569,23501,0.38772037625312805,0.6147058312633535,0.5164334445495742,0.8825581890132335,0.6515872641879898,0.7661244677998583,0.6976324063297955,0.5190124295756873,0.2098788530174461,20741,19421,2760,14647
evaluation,full_dgd,Warm B,57569,23501,0.3754287660121918,0.6610675884590665,0.5551408586989577,0.8544317263095187,0.6730124681592706,0.7843642418279954,0.6283069012836769,0.47917767393510385,0.22601511633434063,20080,16091,3421,17977
evaluation,full_dgd,Warm C,57569,23501,0.39305925369262695,0.6995084159877712,0.5985758789497108,0.8012425003191354,0.6852380865736276,0.7955506392481896,0.5464399242647953,0.4535131780208234,0.23935454721591629,18830,12628,4671,21440
