split,variant,item_id,item_idx,phase,base_graph_mean,graph_density_gt_1e_6,graph_row_sum_error,local_delta_norm,last_warm_loss,tuning_seconds,final_training_seconds,device
validation,emerg_exact_topk,1,0,Cold,-0.007132592611014843,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6510582549963146,,cuda
validation,emerg_exact_topk,1,0,Warm A,-0.008027832955121994,0.4444444444444444,5.960464477539063e-08,0.15759043395519257,0.5160347819328308,0.6510582549963146,,cuda
validation,emerg_exact_topk,1,0,Warm B,-0.00832122191786766,0.4444444444444444,5.960464477539063e-08,0.275598406791687,0.41864487528800964,0.6510582549963146,,cuda
validation,emerg_exact_topk,1,0,Warm C,-0.009033218957483768,0.4444444444444444,0.0,0.26276350021362305,0.534362256526947,0.6510582549963146,,cuda
validation,emerg_exact_topk,5,4,Cold,-0.00720201525837183,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6510582549963146,,cuda
validation,emerg_exact_topk,5,4,Warm A,-0.0064761945977807045,0.4444444444444444,1.1920928955078125e-07,0.16369670629501343,0.5574032664299011,0.6510582549963146,,cuda
validation,emerg_exact_topk,5,4,Warm B,-0.006852969527244568,0.4444444444444444,1.1920928955078125e-07,0.252297967672348,0.6484205722808838,0.6510582549963146,,cuda
validation,emerg_exact_topk,5,4,Warm C,-0.008023090660572052,0.4444444444444444,5.960464477539063e-08,0.3660489618778229,0.5066790580749512,0.6510582549963146,,cuda
validation,emerg_exact_topk,7,6,Cold,-0.007182730361819267,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6510582549963146,,cuda
validation,emerg_exact_topk,7,6,Warm A,-0.00792926736176014,0.4444444444444444,5.960464477539063e-08,0.16613101959228516,0.7022292017936707,0.6510582549963146,,cuda
validation,emerg_exact_topk,7,6,Warm B,-0.008784509263932705,0.4444444444444444,1.1920928955078125e-07,0.26318591833114624,0.7079960107803345,0.6510582549963146,,cuda
validation,emerg_exact_topk,7,6,Warm C,-0.00814782828092575,0.4444444444444444,5.960464477539063e-08,0.29220232367515564,0.6367935538291931,0.6510582549963146,,cuda
validation,emerg_exact_topk,11,10,Cold,-0.007157007232308388,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6510582549963146,,cuda
validation,emerg_exact_topk,11,10,Warm A,-0.007294769864529371,0.4444444444444444,1.1920928955078125e-07,0.156347393989563,0.5628976225852966,0.6510582549963146,,cuda
validation,emerg_exact_topk,11,10,Warm B,-0.007670481223613024,0.4444444444444444,1.1920928955078125e-07,0.18809083104133606,0.6308146715164185,0.6510582549963146,,cuda
validation,emerg_exact_topk,11,10,Warm C,-0.00787422526627779,0.4444444444444444,5.960464477539063e-08,0.26935875415802,0.5751180648803711,0.6510582549963146,,cuda
validation,emerg_exact_topk,17,16,Cold,-0.007115285377949476,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6510582549963146,,cuda
validation,emerg_exact_topk,17,16,Warm A,-0.008208384737372398,0.4444444444444444,0.0,0.15302768349647522,0.537095844745636,0.6510582549963146,,cuda
validation,emerg_exact_topk,17,16,Warm B,-0.009069201536476612,0.4444444444444444,5.960464477539063e-08,0.2964150309562683,0.41452500224113464,0.6510582549963146,,cuda
validation,emerg_exact_topk,17,16,Warm C,-0.010042915120720863,0.4444444444444444,1.1920928955078125e-07,0.3935461938381195,0.34858202934265137,0.6510582549963146,,cuda
validation,emerg_exact_topk,41,36,Cold,-0.007066471502184868,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6510582549963146,,cuda
validation,emerg_exact_topk,41,36,Warm A,-0.005707084201276302,0.4444444444444444,5.960464477539063e-08,0.16481207311153412,0.7454066872596741,0.6510582549963146,,cuda
validation,emerg_exact_topk,41,36,Warm B,-0.005259090568870306,0.4444444444444444,1.1920928955078125e-07,0.27634987235069275,0.484839528799057,0.6510582549963146,,cuda
validation,emerg_exact_topk,41,36,Warm C,-0.00547820096835494,0.4444444444444444,5.960464477539063e-08,0.3386794328689575,0.6868289113044739,0.6510582549963146,,cuda
validation,emerg_exact_topk,104,76,Cold,-0.007193509954959154,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6510582549963146,,cuda
validation,emerg_exact_topk,104,76,Warm A,-0.007289552595466375,0.4444444444444444,0.0,0.1654517501592636,0.6570450663566589,0.6510582549963146,,cuda
validation,emerg_exact_topk,104,76,Warm B,-0.006479939445853233,0.4444444444444444,1.1920928955078125e-07,0.16532982885837555,0.5838143229484558,0.6510582549963146,,cuda
validation,emerg_exact_topk,104,76,Warm C,-0.0057065412402153015,0.4444444444444444,1.1920928955078125e-07,0.22177371382713318,0.606860339641571,0.6510582549963146,,cuda
validation,emerg_exact_topk,107,78,Cold,-0.007203780580312014,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6510582549963146,,cuda
validation,emerg_exact_topk,107,78,Warm A,-0.0072116246446967125,0.4444444444444444,5.960464477539063e-08,0.15075887739658356,0.7462306618690491,0.6510582549963146,,cuda
validation,emerg_exact_topk,107,78,Warm B,-0.0070809051394462585,0.4444444444444444,1.1920928955078125e-07,0.22126497328281403,0.5492379069328308,0.6510582549963146,,cuda
validation,emerg_exact_topk,107,78,Warm C,-0.008244575001299381,0.4444444444444444,1.1920928955078125e-07,0.3399476706981659,0.6022583842277527,0.6510582549963146,,cuda
validation,emerg_exact_topk,110,79,Cold,-0.0071098217740654945,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6510582549963146,,cuda
validation,emerg_exact_topk,110,79,Warm A,-0.0067504532635211945,0.4444444444444444,0.0,0.15511763095855713,0.5492264628410339,0.6510582549963146,,cuda
validation,emerg_exact_topk,110,79,Warm B,-0.00707252137362957,0.4444444444444444,1.1920928955078125e-07,0.17438070476055145,0.48365354537963867,0.6510582549963146,,cuda
validation,emerg_exact_topk,110,79,Warm C,-0.007897219620645046,0.4444444444444444,5.960464477539063e-08,0.27989888191223145,0.5118755102157593,0.6510582549963146,,cuda
validation,emerg_exact_topk,111,80,Cold,-0.007074423134326935,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6510582549963146,,cuda
validation,emerg_exact_topk,111,80,Warm A,-0.007259573321789503,0.4444444444444444,0.0,0.16458530724048615,0.6948730945587158,0.6510582549963146,,cuda
validation,emerg_exact_topk,111,80,Warm B,-0.005476989783346653,0.4444444444444444,1.1920928955078125e-07,0.2218405306339264,0.366353839635849,0.6510582549963146,,cuda
validation,emerg_exact_topk,111,80,Warm C,-0.004290997516363859,0.4444444444444444,1.1920928955078125e-07,0.3269813358783722,0.3054422438144684,0.6510582549963146,,cuda
validation,emerg_exact_topk,158,103,Cold,-0.00724355224519968,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6510582549963146,,cuda
validation,emerg_exact_topk,158,103,Warm A,-0.006827474571764469,0.4444444444444444,0.0,0.16628451645374298,0.471403032541275,0.6510582549963146,,cuda
validation,emerg_exact_topk,158,103,Warm B,-0.006758121773600578,0.4444444444444444,5.960464477539063e-08,0.25586456060409546,0.6022791266441345,0.6510582549963146,,cuda
validation,emerg_exact_topk,158,103,Warm C,-0.006542024668306112,0.4444444444444444,5.960464477539063e-08,0.33046457171440125,0.5038215517997742,0.6510582549963146,,cuda
validation,emerg_exact_topk,160,105,Cold,-0.007217023056000471,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6510582549963146,,cuda
validation,emerg_exact_topk,160,105,Warm A,-0.007783213630318642,0.4444444444444444,5.960464477539063e-08,0.15868228673934937,0.7036249041557312,0.6510582549963146,,cuda
validation,emerg_exact_topk,160,105,Warm B,-0.007951785810291767,0.4444444444444444,5.960464477539063e-08,0.30212754011154175,0.5134878158569336,0.6510582549963146,,cuda
validation,emerg_exact_topk,160,105,Warm C,-0.008057358674705029,0.4444444444444444,0.0,0.42287003993988037,0.37799137830734253,0.6510582549963146,,cuda
validation,emerg_exact_topk,163,108,Cold,-0.007192710414528847,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6510582549963146,,cuda
validation,emerg_exact_topk,163,108,Warm A,-0.007498847786337137,0.4444444444444444,5.960464477539063e-08,0.16017428040504456,0.7121606469154358,0.6510582549963146,,cuda
validation,emerg_exact_topk,163,108,Warm B,-0.007985652424395084,0.4444444444444444,5.960464477539063e-08,0.1882787048816681,0.5324029326438904,0.6510582549963146,,cuda
validation,emerg_exact_topk,163,108,Warm C,-0.0073722717352211475,0.4444444444444444,1.1920928955078125e-07,0.22682492434978485,0.515037477016449,0.6510582549963146,,cuda
validation,emerg_exact_topk,173,117,Cold,-0.007251051254570484,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6510582549963146,,cuda
validation,emerg_exact_topk,173,117,Warm A,-0.007234970573335886,0.4444444444444444,1.1920928955078125e-07,0.15791241824626923,0.5730977654457092,0.6510582549963146,,cuda
validation,emerg_exact_topk,173,117,Warm B,-0.007869628258049488,0.4444444444444444,5.960464477539063e-08,0.305663138628006,0.44913551211357117,0.6510582549963146,,cuda
validation,emerg_exact_topk,173,117,Warm C,-0.008640415966510773,0.4444444444444444,0.0,0.4527854025363922,0.41485127806663513,0.6510582549963146,,cuda
validation,emerg_exact_topk,186,125,Cold,-0.007190648932009935,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6510582549963146,,cuda
validation,emerg_exact_topk,186,125,Warm A,-0.006550611462444067,0.4444444444444444,1.1920928955078125e-07,0.15975625813007355,0.5971848368644714,0.6510582549963146,,cuda
validation,emerg_exact_topk,186,125,Warm B,-0.006307538133114576,0.4444444444444444,5.960464477539063e-08,0.2488674372434616,0.5529896020889282,0.6510582549963146,,cuda
validation,emerg_exact_topk,186,125,Warm C,-0.007213165517896414,0.4444444444444444,5.960464477539063e-08,0.35114964842796326,0.3514910340309143,0.6510582549963146,,cuda
validation,emerg_exact_topk,193,130,Cold,-0.00705572497099638,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6510582549963146,,cuda
validation,emerg_exact_topk,193,130,Warm A,-0.006828556302934885,0.4444444444444444,5.960464477539063e-08,0.1689104437828064,0.7414565086364746,0.6510582549963146,,cuda
validation,emerg_exact_topk,193,130,Warm B,-0.00709358137100935,0.4444444444444444,5.960464477539063e-08,0.3064018487930298,0.6961267590522766,0.6510582549963146,,cuda
validation,emerg_exact_topk,193,130,Warm C,-0.008807695470750332,0.4444444444444444,5.960464477539063e-08,0.42199835181236267,0.5003170967102051,0.6510582549963146,,cuda
validation,emerg_exact_topk,194,131,Cold,-0.007057678420096636,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6510582549963146,,cuda
validation,emerg_exact_topk,194,131,Warm A,-0.007156791631132364,0.4444444444444444,1.1920928955078125e-07,0.16370657086372375,0.6867789626121521,0.6510582549963146,,cuda
validation,emerg_exact_topk,194,131,Warm B,-0.008238363079726696,0.4444444444444444,5.960464477539063e-08,0.23162855207920074,0.6088802218437195,0.6510582549963146,,cuda
validation,emerg_exact_topk,194,131,Warm C,-0.008507504127919674,0.4444444444444444,5.960464477539063e-08,0.28056204319000244,0.780082643032074,0.6510582549963146,,cuda
validation,emerg_exact_topk,198,134,Cold,-0.007217508740723133,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6510582549963146,,cuda
validation,emerg_exact_topk,198,134,Warm A,-0.00820176862180233,0.4444444444444444,1.1920928955078125e-07,0.16485227644443512,0.7307537198066711,0.6510582549963146,,cuda
validation,emerg_exact_topk,198,134,Warm B,-0.007932762615382671,0.4444444444444444,5.960464477539063e-08,0.21782898902893066,0.6838251948356628,0.6510582549963146,,cuda
validation,emerg_exact_topk,198,134,Warm C,-0.008518609218299389,0.4444444444444444,1.1920928955078125e-07,0.23351919651031494,0.5261333584785461,0.6510582549963146,,cuda
