split,variant,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn
evaluation,emerg_exact_topk,Cold,57569,23501,0.3246966004371643,0.5102225155899877,0.4527998391474817,0.9582570954427471,0.6149980883718391,0.7337256275125867,0.8639198179575813,0.5607112126279667,0.1952555395839061,22520,27215,981,6853
evaluation,emerg_exact_topk,Warm A,57569,23501,0.37333375215530396,0.6038666643506053,0.5084184043736998,0.8943023701119102,0.6482826693810825,0.7657453779380718,0.7180600670499748,0.5195716350422198,0.20886237111340056,21017,20321,2484,13747
evaluation,emerg_exact_topk,Warm B,57569,23501,0.3796099126338959,0.6599558790321179,0.5543824645994403,0.851282924130888,0.6714774786869839,0.7830244972151178,0.626847782660807,0.48283842705213087,0.22236962684406,20006,16081,3495,17987
evaluation,emerg_exact_topk,Warm C,57569,23501,0.3701491951942444,0.6846045614827424,0.5793962084744756,0.8297093740691885,0.6823200069985128,0.7936611408625216,0.5845854539769668,0.4583655023309415,0.2342224388962736,19499,14155,4002,19913
evaluation,mix_topk,Cold,57569,23501,0.32450854778289795,0.5099619586930466,0.45265760694757157,0.9581294413003701,0.6148406034541607,0.7337197927475471,0.864076152095746,0.5610285159024743,0.19556421277178293,22517,27227,984,6841
evaluation,mix_topk,Warm A,57569,23501,0.37061572074890137,0.6019038023936494,0.5070164881453845,0.8963022850091485,0.6476647295759924,0.7658131150449997,0.7216557522277615,0.5192144963905262,0.20917481560475654,21064,20481,2437,13587
evaluation,mix_topk,Warm B,57569,23501,0.3771057724952698,0.6592958015598673,0.5536330270165852,0.8536658014552573,0.6716662760721818,0.7832220586248114,0.6294533516302177,0.4821063020877309,0.2231353541336625,20062,16175,3439,17893
evaluation,mix_topk,Warm C,57569,23501,0.3748670220375061,0.6877659851656274,0.5831227436823104,0.824773413897281,0.6832096720184698,0.7938403074307037,0.5773940836213934,0.45778749821098585,0.23490360500715954,19383,13857,4118,20211
evaluation,exact_sparsemax,Cold,57569,23501,0.33190280199050903,0.5142003508832879,0.4547297571260593,0.9544274711714396,0.6159803369629395,0.7333697049716474,0.8568152999009884,0.5614148804091552,0.19568207227750606,22430,26896,1071,7172
evaluation,exact_sparsemax,Warm A,57569,23501,0.3718598484992981,0.6032760687175389,0.5080001933581476,0.8943449214927024,0.6479537572254335,0.7655602685652106,0.7186854036026333,0.5192050051758983,0.20968156262714516,21018,20356,2483,13712
evaluation,exact_sparsemax,Warm B,57569,23501,0.37776851654052734,0.6604248814466119,0.5548158011540169,0.8510276158461342,0.671715729903105,0.7831869869594081,0.6261703347287603,0.48149187733608373,0.22368882746536395,20000,16048,3501,18020
evaluation,exact_sparsemax,Warm C,57569,23501,0.36746516823768616,0.6852646389549931,0.5800321199143469,0.8298795795923578,0.6828183807439825,0.7939999662866364,0.5840643401830846,0.456492226811307,0.23586471381138593,19503,14121,3998,19947
evaluation,full_dgd,Cold,57569,23501,0.3323286473751068,0.5136444961698137,0.4544478651867455,0.9547253308369856,0.6157836235642831,0.733011652238741,0.8576143410516076,0.5623439872247934,0.19539755324711136,22437,26935,1064,7133
evaluation,full_dgd,Warm A,57569,23501,0.3684878945350647,0.6016779864163004,0.5068529383476003,0.8969405557210332,0.6476977676719569,0.7656610957781421,0.7224026819989925,0.5187361871489409,0.21010295946094035,21079,20509,2422,13559
evaluation,full_dgd,Warm B,57569,23501,0.3882889151573181,0.6670603970887109,0.5616921938165461,0.8395387430322114,0.673068722602214,0.7835167639075881,0.610154770796783,0.4802475801163951,0.22466734154299767,19730,15396,3771,18672
evaluation,full_dgd,Warm C,57569,23501,0.3764045834541321,0.6911705952856572,0.5872415685796182,0.8194544912982427,0.6841815436539657,0.794345120460501,0.5696468585523459,0.455488577270312,0.23697875800718826,19258,13536,4243,20532
