split,variant,item_id,item_idx,phase,base_graph_mean,graph_density_gt_1e_6,graph_row_sum_error,local_delta_norm,last_warm_loss,tuning_seconds,final_training_seconds,device
validation,emerg_exact_topk,1,0,Cold,-0.0073610711842775345,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6704687589663081,,cuda
validation,emerg_exact_topk,1,0,Warm A,-0.007373433094471693,0.4444444444444444,1.1920928955078125e-07,0.15402843058109283,0.49158674478530884,0.6704687589663081,,cuda
validation,emerg_exact_topk,1,0,Warm B,-0.007661068346351385,0.4444444444444444,1.1920928955078125e-07,0.2659841477870941,0.38038140535354614,0.6704687589663081,,cuda
validation,emerg_exact_topk,1,0,Warm C,-0.007387821096926928,0.4444444444444444,1.1920928955078125e-07,0.2478678971529007,0.5049890279769897,0.6704687589663081,,cuda
validation,emerg_exact_topk,5,4,Cold,-0.007522253319621086,0.4444444444444444,0.0,0.0,0.0,0.6704687589663081,,cuda
validation,emerg_exact_topk,5,4,Warm A,-0.007681394927203655,0.4444444444444444,1.1920928955078125e-07,0.16144752502441406,0.5672304034233093,0.6704687589663081,,cuda
validation,emerg_exact_topk,5,4,Warm B,-0.007534723728895187,0.4444444444444444,5.960464477539063e-08,0.24133126437664032,0.6726438403129578,0.6704687589663081,,cuda
validation,emerg_exact_topk,5,4,Warm C,-0.00770369591191411,0.4444444444444444,0.0,0.33974698185920715,0.4947281777858734,0.6704687589663081,,cuda
validation,emerg_exact_topk,7,6,Cold,-0.00750009948387742,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6704687589663081,,cuda
validation,emerg_exact_topk,7,6,Warm A,-0.008810855448246002,0.4444444444444444,1.1920928955078125e-07,0.1695704609155655,0.7276625037193298,0.6704687589663081,,cuda
validation,emerg_exact_topk,7,6,Warm B,-0.008746208623051643,0.4444444444444444,0.0,0.21309861540794373,0.7035562992095947,0.6704687589663081,,cuda
validation,emerg_exact_topk,7,6,Warm C,-0.01037548016756773,0.4444444444444444,5.960464477539063e-08,0.30415117740631104,0.6896082758903503,0.6704687589663081,,cuda
