split,variant,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn
evaluation,emerg_exact_topk,Cold,57569,23501,0.314790815114975,0.5112821136375479,0.45341589931239695,0.959618739628101,0.6158467483171535,0.7345321346783726,0.8639719293369695,0.5533780584439857,0.19676148783187153,22552,27186,949,6882
evaluation,emerg_exact_topk,Warm A,57569,23501,0.37859001755714417,0.6183188869009363,0.5190333831589437,0.886515467426918,0.6547351550101349,0.7685233231252486,0.6972502562142819,0.5110040852551623,0.21240553605954426,20834,19306,2667,14762
evaluation,emerg_exact_topk,Warm B,57569,23501,0.3923918604850769,0.6762146294012402,0.5709655756372449,0.8320922513935577,0.6772294372294373,0.7867164746141545,0.594920877555629,0.4741260751898224,0.22840333900169285,19555,14694,3946,19374
evaluation,emerg_exact_topk,Warm C,57569,23501,0.3903694748878479,0.7026872101304521,0.6019674853875883,0.8019658737926045,0.6877212187557015,0.7972978725353779,0.5438517257551807,0.44982239954536846,0.24172881840778793,18847,12462,4654,21606
evaluation,mix_topk,Cold,57569,23501,0.31737828254699707,0.5121506366273515,0.4538201160541586,0.9584273009659163,0.6159736370721836,0.7345748453083446,0.862130660598586,0.5533534337435849,0.19665440586145363,22524,27108,977,6960
evaluation,mix_topk,Warm A,57569,23501,0.39007750153541565,0.6266914485226424,0.5256390632175111,0.8767286498446875,0.6572353626054642,0.7683358262637064,0.6808872830863832,0.5113888422034057,0.2121836023033479,20604,18594,2897,15474
evaluation,mix_topk,Warm B,57569,23501,0.39086949825286865,0.6755024405496014,0.5702173533010897,0.8327730734862346,0.6769278660740535,0.7864670473079277,0.5961889211207421,0.4741732418154315,0.2282385606295232,19571,14751,3930,19317
evaluation,mix_topk,Warm C,57569,23501,0.3926246464252472,0.7034515103614792,0.6032572034306639,0.79911493127952,0.6875091521452628,0.7970795231749324,0.5407597839114802,0.4498213732057928,0.24136634000259313,18780,12351,4721,21717
evaluation,exact_sparsemax,Cold,57569,23501,0.31560033559799194,0.5105699247859091,0.4530405609016212,0.9595761882473086,0.6154916891836567,0.7344453800968662,0.8646493772690164,0.5539898065626792,0.19648797943431456,22551,27226,950,6842
evaluation,exact_sparsemax,Warm A,57569,23501,0.3835624158382416,0.6217408674807622,0.5216942928289358,0.8825581890132335,0.6557589553890416,0.7684091470840261,0.6905973701123869,0.5117272158996057,0.21244394368290215,20741,19016,2760,15052
evaluation,exact_sparsemax,Warm B,57569,23501,0.3987148404121399,0.6797929441192309,0.575082239279258,0.8257095442747117,0.6779749842778283,0.7866568036343006,0.5861314248988171,0.4744676512307602,0.22865455615623784,19405,14338,4096,19730
evaluation,exact_sparsemax,Warm C,57569,23501,0.3866732120513916,0.7015755007035036,0.6000569854687055,0.8065188715373814,0.688135347081034,0.7973033457111038,0.5486807135784885,0.4497141647925321,0.2420709199095954,18954,12633,4547,21435
evaluation,full_dgd,Cold,57569,23501,0.31940221786499023,0.513244975594504,0.4543416348542689,0.9571507595421471,0.6161895630735517,0.7341562441638299,0.8599940940436693,0.5529857160009963,0.19650236052472642,22494,27015,1007,7053
evaluation,full_dgd,Warm A,57569,23501,0.3824021816253662,0.6215150515034132,0.5215400100654253,0.8819199183013489,0.6554608560901947,0.7684879616887891,0.6903020722958537,0.5107125024392601,0.21258129838129866,20726,19014,2775,15054
evaluation,full_dgd,Warm B,57569,23501,0.39735352993011475,0.6796713509006583,0.5749185667752443,0.8261350580826348,0.6780045747411431,0.7868095910442598,0.586600427313311,0.474032913854014,0.22888476329402632,19415,14355,4086,19713
evaluation,full_dgd,Warm C,57569,23501,0.38671278953552246,0.7015755007035036,0.6002219755826859,0.8054125356367814,0.6878406860963733,0.7973367374537889,0.5477774496690927,0.44988358080425683,0.2421840110103406,18928,12607,4573,21461
