split,variant,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn
evaluation,emerg_exact_topk,Cold,57569,23501,0.3145197927951813,0.5072521669648595,0.4515126150902786,0.9640440832305008,0.614992060152825,0.7336578473147044,0.8716149316472407,0.5607743224021307,0.19590393141028203,22656,27522,845,6546
evaluation,emerg_exact_topk,Warm A,57569,23501,0.3660031259059906,0.5982386353766784,0.5044249892943807,0.9022169269392791,0.6470740825513085,0.7656488616941084,0.7301499070680401,0.517680556377203,0.20962318156315934,21203,20831,2298,13237
evaluation,emerg_exact_topk,Warm B,57569,23501,0.38904067873954773,0.6660529104205388,0.5604843272603824,0.8430279562571805,0.6733164539754286,0.7838165770297375,0.6140110128715107,0.4809245123489134,0.22410200480024708,19812,15536,3689,18532
evaluation,emerg_exact_topk,Warm C,57569,23501,0.36327698826789856,0.6842050409074328,0.5781925055106539,0.8371133143270499,0.6839689879358898,0.7951894458716585,0.591029894561309,0.4562119696874991,0.23693686196405336,19673,14352,3828,19716
evaluation,mix_topk,Cold,57569,23501,0.31868892908096313,0.5101704042105994,0.4529465966908377,0.9621718224756394,0.6159377851626874,0.7338755334491548,0.8671680939394466,0.5599531744114657,0.19611598420770793,22612,27310,889,6758
evaluation,mix_topk,Warm A,57569,23501,0.3663678765296936,0.6001320154944502,0.5057424607817388,0.9012807965618485,0.647915328377841,0.7659071538713336,0.7274922267192413,0.5167895762722243,0.20999332423137132,21181,20700,2320,13368
evaluation,mix_topk,Warm B,57569,23501,0.3910187780857086,0.6674946585836127,0.5620816361409405,0.8396663971745884,0.6733892983892983,0.7838571880685649,0.6098247320606577,0.4808768277127874,0.2240649519585038,19733,15374,3768,18694
evaluation,mix_topk,Warm C,57569,23501,0.3655007481575012,0.686706387118067,0.5810710577065717,0.8333687928173269,0.6847183861832674,0.7953206553300336,0.5854713474265664,0.4559168418718505,0.2370106741448766,19585,14120,3916,19948
evaluation,exact_sparsemax,Cold,57569,23501,0.31602129340171814,0.5075127238618006,0.4516186942732332,0.9634058125186162,0.6149604802129451,0.7334281363059267,0.8708332609564176,0.5607472559829201,0.19576391102517618,22641,27492,860,6576
evaluation,exact_sparsemax,Warm A,57569,23501,0.3692253530025482,0.6026159912452883,0.5074945952438146,0.8989830219990639,0.6487540495309454,0.7658926434607913,0.7231322413104275,0.5170004967429984,0.21052144015348492,21127,20503,2374,13565
evaluation,exact_sparsemax,Warm B,57569,23501,0.3754240870475769,0.6596953221351769,0.5538656527249683,0.8553678566869495,0.6723639100259219,0.7843081068044354,0.6304434678385937,0.4795073043008804,0.22536917355797964,20102,16192,3399,17876
evaluation,exact_sparsemax,Warm C,57569,23501,0.3663121461868286,0.6872969827511334,0.5818864103404116,0.8313688779200885,0.6846070289778898,0.7953581076145454,0.5832479285726693,0.45464270697591574,0.23851222787763163,19538,14039,3963,20029
evaluation,full_dgd,Cold,57569,23501,0.3208625316619873,0.5111605204189755,0.453417645287564,0.9611080379558317,0.616154727481041,0.7332484863696467,0.865309454741267,0.5603454382836961,0.19565335174208842,22587,27228,914,6840
evaluation,full_dgd,Warm A,57569,23501,0.36713090538978577,0.6017648387152807,0.506891674856773,0.8997914982341177,0.6484712809347113,0.766108325553605,0.7246434713126857,0.5161796330878382,0.21093369837964832,21146,20571,2355,13497
evaluation,full_dgd,Warm B,57569,23501,0.38386768102645874,0.6653233511091039,0.5596136517233611,0.8456235904855113,0.6735126158643011,0.78467533915966,0.6168597682780663,0.4787949669442442,0.22612113911866502,19873,15639,3628,18429
evaluation,full_dgd,Warm C,57569,23501,0.35026782751083374,0.6790807552675919,0.5723456932289268,0.8459640015318497,0.6827618180881571,0.7955474779958477,0.6033802914763153,0.45402980830685596,0.23925921038374212,19881,14855,3620,19213
