split,variant,item_id,item_idx,phase,base_graph_mean,graph_density_gt_1e_6,graph_row_sum_error,local_delta_norm,last_warm_loss,tuning_seconds,final_training_seconds,device
validation,emerg_exact_topk,1,0,Cold,-0.006896761246025562,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6646538409986533,,cuda
validation,emerg_exact_topk,1,0,Warm A,-0.007214287295937538,0.4444444444444444,5.960464477539063e-08,0.1543443202972412,0.51571124792099,0.6646538409986533,,cuda
validation,emerg_exact_topk,1,0,Warm B,-0.007987369783222675,0.4444444444444444,5.960464477539063e-08,0.24677744507789612,0.4182668626308441,0.6646538409986533,,cuda
validation,emerg_exact_topk,1,0,Warm C,-0.008284056559205055,0.4444444444444444,5.960464477539063e-08,0.21701692044734955,0.5348499417304993,0.6646538409986533,,cuda
validation,emerg_exact_topk,5,4,Cold,-0.006982558872550726,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6646538409986533,,cuda
validation,emerg_exact_topk,5,4,Warm A,-0.006701326463371515,0.4444444444444444,5.960464477539063e-08,0.16534288227558136,0.5583522915840149,0.6646538409986533,,cuda
validation,emerg_exact_topk,5,4,Warm B,-0.006742793135344982,0.4444444444444444,1.1920928955078125e-07,0.2606353163719177,0.6484146118164062,0.6646538409986533,,cuda
validation,emerg_exact_topk,5,4,Warm C,-0.007392212748527527,0.4444444444444444,5.960464477539063e-08,0.37112516164779663,0.5067366361618042,0.6646538409986533,,cuda
validation,emerg_exact_topk,7,6,Cold,-0.006971821188926697,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6646538409986533,,cuda
validation,emerg_exact_topk,7,6,Warm A,-0.007686934433877468,0.4444444444444444,0.0,0.1618930846452713,0.7010439038276672,0.6646538409986533,,cuda
validation,emerg_exact_topk,7,6,Warm B,-0.008959045633673668,0.4444444444444444,1.1920928955078125e-07,0.26221343874931335,0.7074704170227051,0.6646538409986533,,cuda
validation,emerg_exact_topk,7,6,Warm C,-0.008501467294991016,0.4444444444444444,5.960464477539063e-08,0.2637268602848053,0.6384775042533875,0.6646538409986533,,cuda
validation,emerg_exact_topk,11,10,Cold,-0.00694808317348361,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6646538409986533,,cuda
validation,emerg_exact_topk,11,10,Warm A,-0.006850011646747589,0.4444444444444444,5.960464477539063e-08,0.16084830462932587,0.5627806782722473,0.6646538409986533,,cuda
validation,emerg_exact_topk,11,10,Warm B,-0.007141325157135725,0.4444444444444444,5.960464477539063e-08,0.18984608352184296,0.6307944655418396,0.6646538409986533,,cuda
validation,emerg_exact_topk,11,10,Warm C,-0.006136078853160143,0.4444444444444444,0.0,0.26293858885765076,0.573565661907196,0.6646538409986533,,cuda
validation,emerg_exact_topk,17,16,Cold,-0.006885765586048365,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6646538409986533,,cuda
validation,emerg_exact_topk,17,16,Warm A,-0.007583771366626024,0.4444444444444444,1.1920928955078125e-07,0.1468748301267624,0.5369079113006592,0.6646538409986533,,cuda
validation,emerg_exact_topk,17,16,Warm B,-0.008165476843714714,0.4444444444444444,1.1920928955078125e-07,0.27863624691963196,0.4119386672973633,0.6646538409986533,,cuda
validation,emerg_exact_topk,17,16,Warm C,-0.008327623829245567,0.4444444444444444,0.0,0.3614867627620697,0.3483010232448578,0.6646538409986533,,cuda
validation,emerg_exact_topk,41,36,Cold,-0.0068654865026474,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6646538409986533,,cuda
validation,emerg_exact_topk,41,36,Warm A,-0.005808545276522636,0.4444444444444444,5.960464477539063e-08,0.1668395698070526,0.7446925640106201,0.6646538409986533,,cuda
validation,emerg_exact_topk,41,36,Warm B,-0.004989034030586481,0.4444444444444444,1.1920928955078125e-07,0.24367189407348633,0.48465415835380554,0.6646538409986533,,cuda
validation,emerg_exact_topk,41,36,Warm C,-0.004493318498134613,0.4444444444444444,5.960464477539063e-08,0.32887303829193115,0.686601996421814,0.6646538409986533,,cuda
validation,emerg_exact_topk,104,76,Cold,-0.006977355573326349,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6646538409986533,,cuda
validation,emerg_exact_topk,104,76,Warm A,-0.006673653144389391,0.4444444444444444,0.0,0.16487112641334534,0.6574018597602844,0.6646538409986533,,cuda
validation,emerg_exact_topk,104,76,Warm B,-0.005809968803077936,0.4444444444444444,1.1920928955078125e-07,0.20428802073001862,0.5854555368423462,0.6646538409986533,,cuda
validation,emerg_exact_topk,104,76,Warm C,-0.0060022445395588875,0.4444444444444444,1.1920928955078125e-07,0.26195958256721497,0.6070485711097717,0.6646538409986533,,cuda
validation,emerg_exact_topk,107,78,Cold,-0.006977873854339123,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6646538409986533,,cuda
validation,emerg_exact_topk,107,78,Warm A,-0.007037053350359201,0.4444444444444444,1.1920928955078125e-07,0.1526256501674652,0.7461056709289551,0.6646538409986533,,cuda
validation,emerg_exact_topk,107,78,Warm B,-0.007234502583742142,0.4444444444444444,5.960464477539063e-08,0.21135744452476501,0.5490131378173828,0.6646538409986533,,cuda
validation,emerg_exact_topk,107,78,Warm C,-0.008246163837611675,0.4444444444444444,5.960464477539063e-08,0.32955071330070496,0.6018303632736206,0.6646538409986533,,cuda
validation,emerg_exact_topk,110,79,Cold,-0.006896698847413063,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6646538409986533,,cuda
validation,emerg_exact_topk,110,79,Warm A,-0.006587174255400896,0.4444444444444444,5.960464477539063e-08,0.1568884551525116,0.5492939352989197,0.6646538409986533,,cuda
validation,emerg_exact_topk,110,79,Warm B,-0.006589917466044426,0.4444444444444444,5.960464477539063e-08,0.20729337632656097,0.48429355025291443,0.6646538409986533,,cuda
validation,emerg_exact_topk,110,79,Warm C,-0.006543794646859169,0.4444444444444444,5.960464477539063e-08,0.30911630392074585,0.5119747519493103,0.6646538409986533,,cuda
validation,emerg_exact_topk,111,80,Cold,-0.006854065228253603,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6646538409986533,,cuda
validation,emerg_exact_topk,111,80,Warm A,-0.007351506035774946,0.4444444444444444,1.1920928955078125e-07,0.16148057579994202,0.694871187210083,0.6646538409986533,,cuda
validation,emerg_exact_topk,111,80,Warm B,-0.005934574641287327,0.4444444444444444,5.960464477539063e-08,0.2356230467557907,0.36559242010116577,0.6646538409986533,,cuda
validation,emerg_exact_topk,111,80,Warm C,-0.0051978640258312225,0.4444444444444444,1.1920928955078125e-07,0.3512077331542969,0.30566462874412537,0.6646538409986533,,cuda
validation,emerg_exact_topk,158,103,Cold,-0.00702427513897419,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6646538409986533,,cuda
validation,emerg_exact_topk,158,103,Warm A,-0.0067971739917993546,0.4444444444444444,5.960464477539063e-08,0.16663005948066711,0.4713504910469055,0.6646538409986533,,cuda
validation,emerg_exact_topk,158,103,Warm B,-0.007174535188823938,0.4444444444444444,1.1920928955078125e-07,0.2714672386646271,0.6023406386375427,0.6646538409986533,,cuda
validation,emerg_exact_topk,158,103,Warm C,-0.006500029470771551,0.4444444444444444,5.960464477539063e-08,0.35882657766342163,0.5037405490875244,0.6646538409986533,,cuda
validation,emerg_exact_topk,160,105,Cold,-0.0069959149695932865,0.4444444444444444,0.0,0.0,0.0,0.6646538409986533,,cuda
validation,emerg_exact_topk,160,105,Warm A,-0.0072287507355213165,0.4444444444444444,0.0,0.16190886497497559,0.7046050429344177,0.6646538409986533,,cuda
validation,emerg_exact_topk,160,105,Warm B,-0.007203013636171818,0.4444444444444444,5.960464477539063e-08,0.3039182722568512,0.5132819414138794,0.6646538409986533,,cuda
validation,emerg_exact_topk,160,105,Warm C,-0.007357980590313673,0.4444444444444444,5.960464477539063e-08,0.42460665106773376,0.3780798614025116,0.6646538409986533,,cuda
validation,emerg_exact_topk,163,108,Cold,-0.006982544902712107,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6646538409986533,,cuda
