split,variant,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn
evaluation,emerg_exact_topk,Cold,57569,23501,0.3242373764514923,0.5099619586930466,0.45267282958199356,0.9584698523467087,0.6149247212022767,0.7336475042366152,0.8643540794524831,0.5607303586003721,0.19532763557022229,22525,27235,976,6833
evaluation,emerg_exact_topk,Warm A,57569,23501,0.3738073706626892,0.6045093713630599,0.5088824798235622,0.893451342496064,0.6484358111238071,0.7655603260198166,0.7167225416456774,0.519329099796095,0.20912598454196,20997,20264,2504,13804
evaluation,emerg_exact_topk,Warm B,57569,23501,0.3773173987865448,0.6582188330525109,0.5526757925468918,0.8538360069784264,0.6710139111824505,0.7827367814100596,0.6306692838159426,0.48322702931647327,0.22249916096031733,20066,16241,3435,17827
evaluation,emerg_exact_topk,Warm C,57569,23501,0.3701554834842682,0.6838576317115114,0.5785868888427669,0.8303476447810731,0.6819738589501642,0.7934913749919894,0.5858534975420799,0.45887880165281775,0.23429839967033178,19514,14213,3987,19855
evaluation,mix_topk,Cold,57569,23501,0.3243827819824219,0.509805624554882,0.4525757240769401,0.9581294413003701,0.6147650640238076,0.7337663934290476,0.8642324862339106,0.5610051888591184,0.1955175631533598,22517,27236,984,6832
evaluation,mix_topk,Warm A,57569,23501,0.37188637256622314,0.6030155118205979,0.5078100480432631,0.8950257435853793,0.6479775730877053,0.7657589940551819,0.7195018152130487,0.5191997801939527,0.2094056131890352,21034,20387,2467,13681
evaluation,mix_topk,Warm B,57569,23501,0.3688561022281647,0.6548315933922771,0.5492430408595149,0.8614101527594571,0.6707864610083004,0.783219999626595,0.6402404071635777,0.48214441168142913,0.22327086753116715,20244,16614,3257,17454
evaluation,mix_topk,Warm C,57569,23501,0.37137526273727417,0.68594208688704,0.5809321907378101,0.8278796646951193,0.6827624929814711,0.7938150761155872,0.5817540690302072,0.45753420801087263,0.23501954548013143,19456,14035,4045,20033
evaluation,exact_sparsemax,Cold,57569,23501,0.3319385349750519,0.5142003508832879,0.4547297571260593,0.9544274711714396,0.6159803369629395,0.7333684890573231,0.8568152999009884,0.5614247867449386,0.19567209566381913,22430,26896,1071,7172
evaluation,exact_sparsemax,Warm A,57569,23501,0.3719879388809204,0.6034324028557035,0.5081115060080752,0.8942598187311178,0.6480219543029817,0.7655612877599601,0.7184595876252844,0.5192080124006216,0.2096730080848071,21016,20345,2485,13723
evaluation,exact_sparsemax,Warm B,57569,23501,0.3865432143211365,0.6653928329482881,0.5598959805528859,0.8428577507340114,0.6728375142240867,0.7831876470628704,0.6145321266653928,0.48149183602236906,0.22368419611029203,19808,15570,3693,18498
evaluation,exact_sparsemax,Warm C,57569,23501,0.38226819038391113,0.6932203095415935,0.5898738073253309,0.8154972128845581,0.6845743065849869,0.793998188316384,0.5643662387743403,0.4564946939041393,0.23586023543767118,19165,13325,4336,20743
evaluation,full_dgd,Cold,57569,23501,0.3323988914489746,0.5136097552502215,0.45442945679912505,0.9547253308369856,0.6157667238421956,0.7330345454011967,0.8576490819711998,0.562342862277329,0.19532343747407907,22437,26937,1064,7131
evaluation,full_dgd,Warm A,57569,23501,0.36816295981407166,0.6014869113585437,0.5067163282470263,0.8972809667673716,0.647674918606794,0.7656673633262464,0.7228716844134864,0.5187433729579385,0.21007235986502876,21087,20528,2414,13540
evaluation,full_dgd,Warm B,57569,23501,0.38829246163368225,0.6669735447897306,0.5616157590594666,0.8394961916514191,0.6730001705611461,0.7835280693503274,0.6102068821761713,0.48025826152662116,0.2246778573886815,19729,15400,3772,18668
evaluation,full_dgd,Warm C,57569,23501,0.3763793110847473,0.6912227066650454,0.5872952944405477,0.8194544912982427,0.6842180061109926,0.7943244592845862,0.5695947471729577,0.45546447726380684,0.2369693433212377,19258,13533,4243,20535
