split,variant,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn
evaluation,emerg_exact_topk,Cold,57569,23501,0.3176228404045105,0.5108478521426462,0.4531334875767025,0.958384749585124,0.6153320766057427,0.7289047589085578,0.8633987041636992,0.5542444885037203,0.1940372501011392,22523,27182,978,6886
evaluation,emerg_exact_topk,Warm A,57569,23501,0.37375906109809875,0.6082613906790113,0.5115666821051605,0.8929832773073486,0.6504866406298431,0.7646725568079544,0.7125883722142126,0.5135034388353299,0.20920587667673723,20986,20037,2515,14031
evaluation,emerg_exact_topk,Warm B,57569,23501,0.3891502916812897,0.6664350605360524,0.561273950729927,0.8376239308965576,0.6721526983422397,0.7838698742953674,0.6092167659677952,0.47724502419558146,0.22507423582483937,19685,15387,3816,18681
evaluation,emerg_exact_topk,Warm C,57569,23501,0.3937777578830719,0.6986051520783755,0.5971257106759318,0.8044338538785584,0.6854480520657712,0.7954109489903669,0.5499487571436016,0.45348107665638726,0.2385907889801058,18905,12755,4596,21313
evaluation,mix_topk,Cold,57569,23501,0.3205985426902771,0.5126717504212337,0.45403528604303767,0.9570656567805625,0.6158901408836375,0.7286122493909399,0.8604978373777554,0.5542100333422176,0.1937512653510318,22492,27046,1009,7022
evaluation,mix_topk,Warm A,57569,23501,0.37548789381980896,0.6098942138998419,0.5127709073099057,0.8909833624101102,0.6509263864710272,0.7647821926862914,0.7093227257725512,0.5130549222577757,0.2092850447456139,20939,19896,2562,14172
evaluation,mix_topk,Warm B,57569,23501,0.3883059620857239,0.6667303583525855,0.5614865057425404,0.8383473043700268,0.6725379757637822,0.78392481588684,0.6095120637843283,0.4771200462323672,0.22541174941840575,19702,15387,3799,18681
evaluation,mix_topk,Warm C,57569,23501,0.389577180147171,0.6965728082822352,0.5943924648746753,0.808263478149866,0.6850229002127737,0.7953380066210388,0.5551077837030346,0.4531847448338252,0.23891476324545713,18995,12962,4506,21106
evaluation,exact_sparsemax,Cold,57569,23501,0.3156704306602478,0.5079122444371102,0.45168134507606084,0.9602144589591932,0.6143668068771184,0.7286890324757763,0.8678281714116972,0.5552195088841817,0.19318854966314192,22566,27394,935,6674
evaluation,exact_sparsemax,Warm A,57569,23501,0.37126871943473816,0.6070107175736942,0.510647080247663,0.8948980894430024,0.6502488946603592,0.7648586722609267,0.715402386701176,0.5132399657953923,0.209429353570312,21031,20154,2470,13914
evaluation,exact_sparsemax,Warm B,57569,23501,0.39109325408935547,0.6689016658270944,0.5637052341597796,0.835879324284073,0.6733277348369295,0.7843644098202671,0.6053257829734753,0.47633090953097573,0.22588261700901882,19644,15204,3857,18864
evaluation,exact_sparsemax,Warm C,57569,23501,0.37885552644729614,0.6924907502301586,0.5886056604926951,0.8194544912982427,0.6851064586705562,0.79575304245745,0.5683267036078445,0.4523815076528554,0.23972525729126798,19258,13460,4243,20608
evaluation,full_dgd,Cold,57569,23501,0.31708264350891113,0.5079990967360906,0.45170721938520075,0.9597889451512701,0.6143036113078055,0.7285921290377292,0.8673939099167955,0.5558541683298729,0.19307080522632716,22556,27379,945,6689
evaluation,full_dgd,Warm A,57569,23501,0.3716294765472412,0.607948722402682,0.5113318240463497,0.8937917535424025,0.6505109941158254,0.7652753911425891,0.7135611179627924,0.5126427512780088,0.21019292778365137,21005,20074,2496,13994
evaluation,full_dgd,Warm B,57569,23501,0.3938153088092804,0.6717851621532422,0.5667652345335421,0.8318794944895962,0.6741960513837401,0.7848957906092765,0.5991766402056662,0.4750688185002584,0.22739871693618907,19550,14944,3951,19124
evaluation,full_dgd,Warm C,57569,23501,0.3719382584095001,0.6910316316072886,0.5864290900290416,0.8248585166588656,0.6855031207454426,0.7960142985429357,0.5741979190189165,0.450389726120356,0.24142530595162762,19385,13671,4116,20397
