split,variant,item_id,item_idx,phase,base_graph_mean,graph_density_gt_1e_6,graph_row_sum_error,local_delta_norm,last_warm_loss,tuning_seconds,final_training_seconds,device
validation,emerg_exact_topk,1,0,Cold,-0.007483181543648243,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6323188639944419,,cuda
validation,emerg_exact_topk,1,0,Warm A,-0.007022383157163858,0.4444444444444444,5.960464477539063e-08,0.1558261215686798,0.49116086959838867,0.6323188639944419,,cuda
validation,emerg_exact_topk,1,0,Warm B,-0.007479265332221985,0.4444444444444444,1.1920928955078125e-07,0.26734840869903564,0.3800896406173706,0.6323188639944419,,cuda
validation,emerg_exact_topk,1,0,Warm C,-0.007253567222505808,0.4444444444444444,1.1920928955078125e-07,0.24459208548069,0.5048409700393677,0.6323188639944419,,cuda
validation,emerg_exact_topk,5,4,Cold,-0.007664024829864502,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6323188639944419,,cuda
validation,emerg_exact_topk,5,4,Warm A,-0.007630215026438236,0.4444444444444444,5.960464477539063e-08,0.16097402572631836,0.5676470398902893,0.6323188639944419,,cuda
validation,emerg_exact_topk,5,4,Warm B,-0.007551658898591995,0.4444444444444444,0.0,0.2328471839427948,0.6726564764976501,0.6323188639944419,,cuda
validation,emerg_exact_topk,5,4,Warm C,-0.007705600932240486,0.4444444444444444,5.960464477539063e-08,0.3321351408958435,0.4948982298374176,0.6323188639944419,,cuda
validation,emerg_exact_topk,7,6,Cold,-0.007643963675945997,0.4444444444444444,0.0,0.0,0.0,0.6323188639944419,,cuda
validation,emerg_exact_topk,7,6,Warm A,-0.009143213741481304,0.4444444444444444,5.960464477539063e-08,0.16753724217414856,0.7276579737663269,0.6323188639944419,,cuda
validation,emerg_exact_topk,7,6,Warm B,-0.00945414137095213,0.4444444444444444,0.0,0.21950393915176392,0.7036107778549194,0.6323188639944419,,cuda
validation,emerg_exact_topk,7,6,Warm C,-0.011017966084182262,0.4444444444444444,5.960464477539063e-08,0.3103761672973633,0.6898660063743591,0.6323188639944419,,cuda
validation,emerg_exact_topk,11,10,Cold,-0.007664341479539871,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6323188639944419,,cuda
validation,emerg_exact_topk,11,10,Warm A,-0.007686648052185774,0.4444444444444444,5.960464477539063e-08,0.15476803481578827,0.5263376235961914,0.6323188639944419,,cuda
validation,emerg_exact_topk,11,10,Warm B,-0.008793005719780922,0.4444444444444444,5.960464477539063e-08,0.21044626832008362,0.6884703040122986,0.6323188639944419,,cuda
validation,emerg_exact_topk,11,10,Warm C,-0.008912524208426476,0.4444444444444444,1.1920928955078125e-07,0.2819674015045166,0.5788294672966003,0.6323188639944419,,cuda
validation,emerg_exact_topk,17,16,Cold,-0.007614631671458483,0.4444444444444444,0.0,0.0,0.0,0.6323188639944419,,cuda
validation,emerg_exact_topk,17,16,Warm A,-0.008510449901223183,0.4444444444444444,5.960464477539063e-08,0.15852656960487366,0.5945274233818054,0.6323188639944419,,cuda
validation,emerg_exact_topk,17,16,Warm B,-0.008956235833466053,0.4444444444444444,1.1920928955078125e-07,0.2888544201850891,0.37189462780952454,0.6323188639944419,,cuda
validation,emerg_exact_topk,17,16,Warm C,-0.0078115398064255714,0.4444444444444444,1.1920928955078125e-07,0.3694482147693634,0.3701767921447754,0.6323188639944419,,cuda
validation,emerg_exact_topk,41,36,Cold,-0.007802734617143869,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6323188639944419,,cuda
validation,emerg_exact_topk,41,36,Warm A,-0.008796416223049164,0.4444444444444444,1.1920928955078125e-07,0.16012531518936157,0.7218766212463379,0.6323188639944419,,cuda
validation,emerg_exact_topk,41,36,Warm B,-0.009254001080989838,0.4444444444444444,1.1920928955078125e-07,0.27732762694358826,0.5007396340370178,0.6323188639944419,,cuda
validation,emerg_exact_topk,41,36,Warm C,-0.010318795219063759,0.4444444444444444,0.0,0.38684114813804626,0.6971191763877869,0.6323188639944419,,cuda
validation,emerg_exact_topk,104,76,Cold,-0.007683407980948687,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6323188639944419,,cuda
validation,emerg_exact_topk,104,76,Warm A,-0.008073319680988789,0.4444444444444444,5.960464477539063e-08,0.16322028636932373,0.6468834280967712,0.6323188639944419,,cuda
validation,emerg_exact_topk,104,76,Warm B,-0.006403198000043631,0.4444444444444444,5.960464477539063e-08,0.1557607501745224,0.5707818269729614,0.6323188639944419,,cuda
validation,emerg_exact_topk,104,76,Warm C,-0.006035497412085533,0.4444444444444444,5.960464477539063e-08,0.22630038857460022,0.6028357744216919,0.6323188639944419,,cuda
validation,emerg_exact_topk,107,78,Cold,-0.00748866144567728,0.4444444444444444,5.960464477539063e-08,0.0,0.0,0.6323188639944419,,cuda
validation,emerg_exact_topk,107,78,Warm A,-0.008241267874836922,0.4444444444444444,1.1920928955078125e-07,0.16450121998786926,0.7522020936012268,0.6323188639944419,,cuda
validation,emerg_exact_topk,107,78,Warm B,-0.008121166378259659,0.4444444444444444,5.960464477539063e-08,0.2311084270477295,0.5353564023971558,0.6323188639944419,,cuda
validation,emerg_exact_topk,107,78,Warm C,-0.00841872300952673,0.4444444444444444,5.960464477539063e-08,0.33336660265922546,0.5977571606636047,0.6323188639944419,,cuda
validation,emerg_exact_topk,110,79,Cold,-0.007675549015402794,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6323188639944419,,cuda
validation,emerg_exact_topk,110,79,Warm A,-0.007774342782795429,0.4444444444444444,1.1920928955078125e-07,0.16178525984287262,0.4985976219177246,0.6323188639944419,,cuda
validation,emerg_exact_topk,110,79,Warm B,-0.007494780700653791,0.4444444444444444,5.960464477539063e-08,0.28528812527656555,0.5181768536567688,0.6323188639944419,,cuda
validation,emerg_exact_topk,110,79,Warm C,-0.006632829084992409,0.4444444444444444,0.0,0.3732169568538666,0.4668494164943695,0.6323188639944419,,cuda
validation,emerg_exact_topk,111,80,Cold,-0.007703979965299368,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,0.6323188639944419,,cuda
validation,emerg_exact_topk,111,80,Warm A,-0.007605437655001879,0.4444444444444444,5.960464477539063e-08,0.16038964688777924,0.6492129564285278,0.6323188639944419,,cuda
validation,emerg_exact_topk,111,80,Warm B,-0.009063526056706905,0.4444444444444444,5.960464477539063e-08,0.26693588495254517,0.33868488669395447,0.6323188639944419,,cuda
validation,emerg_exact_topk,111,80,Warm C,-0.009901984594762325,0.4444444444444444,5.960464477539063e-08,0.37250077724456787,0.3538856506347656,0.6323188639944419,,cuda
validation,emerg_exact_topk,158,103,Cold,-0.007534228730946779,0.4444444444444444,0.0,0.0,0.0,0.6323188639944419,,cuda
validation,emerg_exact_topk,158,103,Warm A,-0.0059919171035289764,0.4444444444444444,5.960464477539063e-08,0.15970726311206818,0.4192263185977936,0.6323188639944419,,cuda
validation,emerg_exact_topk,158,103,Warm B,-0.0072795916348695755,0.4444444444444444,1.1920928955078125e-07,0.24229338765144348,0.6035884022712708,0.6323188639944419,,cuda
validation,emerg_exact_topk,158,103,Warm C,-0.0078132851049304,0.4444444444444444,5.960464477539063e-08,0.2342560738325119,0.5553462505340576,0.6323188639944419,,cuda
