split,variant,phase,rows,positives,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,score_mean,score_std,tp,fp,fn,tn
evaluation,emerg_exact_topk,Cold,57569,23501,0.3134348690509796,0.5104483315673366,0.4529995181496948,0.9600868048168163,0.6155587990560504,0.7346995361669675,0.8651878615226946,0.5533027056408617,0.19681133030436287,22563,27245,938,6823
evaluation,emerg_exact_topk,Warm A,57569,23501,0.3789818286895752,0.6184231096597127,0.5191205065563145,0.8860899536189949,0.6546883596636014,0.7685198190187905,0.6967986242595842,0.5111215952406887,0.2124972889035373,20824,19290,2677,14778
evaluation,emerg_exact_topk,Warm B,57569,23501,0.3894585967063904,0.6747902516979625,0.5693110949963742,0.8351559508106038,0.6770732716986338,0.7867155110004912,0.5988466014695409,0.47418360674066923,0.22845293751448217,19627,14848,3874,19220
evaluation,emerg_exact_topk,Warm C,57569,23501,0.39052683115005493,0.7029477670273933,0.602190713418918,0.8023913876005276,0.688023351272462,0.7973477443823797,0.5439385780541611,0.44991250787839565,0.2417698842889378,18857,12457,4644,21611
evaluation,mix_topk,Cold,57569,23501,0.31494125723838806,0.5111605204189755,0.453344592556849,0.9594485341049317,0.6157459242469756,0.7346074314375327,0.8639545588771734,0.5531573607724561,0.19677715003392623,22548,27189,953,6879
evaluation,mix_topk,Warm A,57569,23501,0.38789644837379456,0.625128107140996,0.5243964421855146,0.878047742649249,0.6566323527071964,0.7682980948247504,0.683527592975386,0.5112572452632097,0.2123269480112981,20635,18715,2866,15353
evaluation,mix_topk,Warm B,57569,23501,0.3908878564834595,0.6754329587104171,0.570138646161016,0.8329007276286116,0.676914564349074,0.786694969729841,0.5963626257187028,0.4742478967687743,0.22844736877826832,19574,14758,3927,19310
evaluation,mix_topk,Warm C,57569,23501,0.3931434154510498,0.7040247355347496,0.603904039104708,0.7990723798987277,0.6879132553070681,0.7971484430973355,0.5401518178186177,0.45000785835142043,0.24149788326614097,18779,12317,4722,21751
evaluation,exact_sparsemax,Cold,57569,23501,0.3151784837245941,0.5103962201879484,0.4529552346715402,0.9597038423896855,0.6154391901110595,0.734445393836011,0.8649273046257534,0.5539899470747613,0.19648822806415758,22554,27239,947,6829
evaluation,exact_sparsemax,Warm A,57569,23501,0.3835228383541107,0.6217408674807622,0.5216932015392741,0.8826007403940258,0.6557698387606703,0.768409035297347,0.690632111031979,0.5117276830923847,0.21244397236930973,20742,19017,2759,15051
evaluation,exact_sparsemax,Warm B,57569,23501,0.3987586796283722,0.6797755736594348,0.5750874488646469,0.8254967873707502,0.6779068751637983,0.7866566450096276,0.5859750907606525,0.47446808474955243,0.22865455774049545,19400,14334,4101,19734
evaluation,exact_sparsemax,Warm C,57569,23501,0.3866887390613556,0.7015581302437075,0.6000506585612969,0.8064337687757968,0.6881002087682673,0.7973034712369278,0.5486286021991003,0.44971451019156866,0.24207081083091944,18952,12632,4549,21436
evaluation,full_dgd,Cold,57569,23501,0.31940212845802307,0.513244975594504,0.4543416348542689,0.9571507595421471,0.6161895630735517,0.7341568561802848,0.8599940940436693,0.5529916690669201,0.1965059377194681,22494,27015,1007,7053
evaluation,full_dgd,Warm A,57569,23501,0.3824020326137543,0.6215497924230055,0.5215640883699865,0.8820050210629335,0.655503375867685,0.7684892075794296,0.6903368132154458,0.510720360475724,0.2125867241627419,20728,19014,2773,15054
evaluation,full_dgd,Warm B,57569,23501,0.3973535895347595,0.6796539804408622,0.5749015427437743,0.8261350580826348,0.6779927364157006,0.7868089446799426,0.5866177977731071,0.4740343598866364,0.22888167408267154,19415,14356,4086,19712
evaluation,full_dgd,Warm C,57569,23501,0.38671261072158813,0.7015233893241154,0.6001648804616653,0.8054125356367814,0.6878031940987299,0.7973369541575744,0.5478295610484809,0.44988231488442804,0.24217950203946118,18928,12610,4573,21458
