split,item_id,item_idx,phase,base_graph_mean,diffused_graph_mean,diffused_graph_std,diffused_density_gt_1e_6,diffused_row_sum_error,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
validation,1,0,Cold,-0.009604483842849731,0.1111110970377922,0.16293951869010925,0.8271604938271605,2.980232238769531e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,1.8774887570179999,cuda
validation,1,0,Warm A,-0.01278699655085802,0.111111119389534,0.18476502597332,0.7407407407407407,4.76837158203125e-07,0.2302912324666977,0.4820551574230194,cfg02_G3_D32,cfg02_G3_D32,1.8774887570179999,cuda
validation,1,0,Warm B,-0.017133202403783798,0.1111111119389534,0.20465554296970367,0.5679012345679012,4.76837158203125e-07,0.36053842306137085,0.34347105026245117,cfg02_G3_D32,cfg02_G3_D32,1.8774887570179999,cuda
validation,1,0,Warm C,-0.014205386862158775,0.1111111119389534,0.18229059875011444,0.7160493827160493,2.384185791015625e-07,0.34726834297180176,0.5450003743171692,cfg02_G3_D32,cfg02_G3_D32,1.8774887570179999,cuda
validation,5,4,Cold,-0.009201030246913433,0.1111111119389534,0.16113795340061188,0.7777777777777778,3.5762786865234375e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,1.8774887570179999,cuda
validation,5,4,Warm A,-0.009867612272500992,0.11111108958721161,0.16282978653907776,0.6296296296296297,2.384185791015625e-07,0.25099802017211914,0.49466395378112793,cfg02_G3_D32,cfg02_G3_D32,1.8774887570179999,cuda
validation,5,4,Warm B,-0.007551198359578848,0.1111111119389534,0.18316805362701416,0.48148148148148145,1.1920928955078125e-07,0.3781840205192566,0.5257458090782166,cfg02_G3_D32,cfg02_G3_D32,1.8774887570179999,cuda
validation,5,4,Warm C,-0.008472876623272896,0.111111119389534,0.1717461347579956,0.5185185185185185,1.1920928955078125e-07,0.4942203760147095,0.44438067078590393,cfg02_G3_D32,cfg02_G3_D32,1.8774887570179999,cuda
validation,7,6,Cold,-0.009255525656044483,0.111111119389534,0.16145120561122894,0.7777777777777778,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,1.8774887570179999,cuda
validation,7,6,Warm A,-0.009726878255605698,0.1111111119389534,0.16452829539775848,0.7777777777777778,2.980232238769531e-07,0.2340211719274521,0.6828402876853943,cfg02_G3_D32,cfg02_G3_D32,1.8774887570179999,cuda
validation,7,6,Warm B,-0.007729181554168463,0.1111111119389534,0.15977513790130615,0.691358024691358,2.384185791015625e-07,0.3501715064048767,0.6600536704063416,cfg02_G3_D32,cfg02_G3_D32,1.8774887570179999,cuda
validation,7,6,Warm C,-0.006289727054536343,0.1111111119389534,0.1608731597661972,0.6296296296296297,1.1920928955078125e-07,0.45324522256851196,0.634143054485321,cfg02_G3_D32,cfg02_G3_D32,1.8774887570179999,cuda
validation,11,10,Cold,-0.010080750100314617,0.1111111119389534,0.1717033088207245,0.7654320987654321,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,1.8774887570179999,cuda
