seed,split_emerg,phase,rows_emerg,positives_emerg,threshold_emerg,accuracy_emerg,precision_emerg,recall_emerg,f1_emerg,roc_auc_emerg,predicted_positive_rate_emerg,score_mean_emerg,score_std_emerg,tp_emerg,fp_emerg,fn_emerg,tn_emerg,config_name,split_emerg_gd,rows_emerg_gd,positives_emerg_gd,threshold_emerg_gd,accuracy_emerg_gd,precision_emerg_gd,recall_emerg_gd,f1_emerg_gd,roc_auc_emerg_gd,predicted_positive_rate_emerg_gd,score_mean_emerg_gd,score_std_emerg_gd,tp_emerg_gd,fp_emerg_gd,fn_emerg_gd,tn_emerg_gd,f1_delta,roc_auc_delta,accuracy_delta,precision_delta,recall_delta
2025,evaluation,Cold,57569,23501,0.2487368881702423,0.5000434261494902,0.4479981093802312,0.967958810263393,0.6125097606289883,0.7407717554725775,0.8820198370650871,0.5550900591569161,0.2268085844511756,22748,28029,753,6039,cfg02_G2_D32,evaluation,57569,23501,0.26262393593788147,0.5062099393770954,0.4509831237064162,0.9642568401344623,0.6145439260193358,0.7401896522585952,0.8728308638329657,0.5562679448749283,0.22767574312451366,22661,27587,840,6481,0.0020341653903475088,-0.0005821032139822213,0.006166513227605197,0.002985014326184976,-0.0037019701289306983
2025,evaluation,Warm A,57569,23501,0.3293562829494476,0.657749830638017,0.5504382470119522,0.8818348155397643,0.6777975830321662,0.7942094788788799,0.6539978113220657,0.4617598814989385,0.2641085143043915,20724,16926,2777,17142,cfg02_G2_D32,evaluation,57569,23501,0.26217374205589294,0.5062446802966875,0.45101082457815983,0.9644695970384239,0.6146128503057338,0.740385367002312,0.8729698275113342,0.5562133036438304,0.22766617442754286,22666,27590,835,6478,-0.06318473272643244,-0.05382411187656799,-0.1515051503413295,-0.09942742243379238,0.08263478149865966
2025,evaluation,Warm B,57569,23501,0.3603373765945434,0.7029303965675971,0.6005025914873566,0.8134547466065274,0.6909426051756542,0.8013470327296458,0.552988587607914,0.422314424803363,0.2820052417711523,19117,12718,4384,21350,cfg02_G2_D32,evaluation,57569,23501,0.257055401802063,0.5038822977644218,0.4498533259335606,0.9657461384621931,0.613795248333401,0.7403386926290342,0.8763744376313641,0.5561593109498821,0.2275780433998721,22696,27756,805,6312,-0.07714735684225316,-0.061008340100611624,-0.1990480988031753,-0.15064926555379604,0.15229139185566576
2025,evaluation,Warm C,57569,23501,0.3837960064411163,0.7155934617589328,0.6207562512705834,0.7795838474958512,0.6911628784306328,0.8021598636491287,0.5126717504212337,0.4118957169439439,0.2841812733930741,18321,11193,5180,22875,cfg02_G2_D32,evaluation,57569,23501,0.25975900888442993,0.5050808594903508,0.45043398812243035,0.9649802136079316,0.6141804788213628,0.7402726398163707,0.8745505393527767,0.556151308352795,0.2275361789911996,22678,27669,823,6399,-0.07698239960927,-0.06188722383275802,-0.21051260226858204,-0.17032226314815307,0.18539636611208044
7788,evaluation,Cold,57569,23501,0.262217104434967,0.5033611839705397,0.4497492398215061,0.9692353516871622,0.6144011220952973,0.745595717882237,0.8797443068318018,0.5647440483001016,0.2319974662861939,22778,27868,723,6200,cfg02_G2_D32,evaluation,57569,23501,0.29461801052093506,0.5201931595129323,0.4581037392488969,0.9586826092506702,0.6199609256762334,0.7446883366655256,0.8542965832305581,0.5673413656896383,0.2327509396146735,22530,26651,971,7417,0.005559803580936107,-0.0009073812167114115,0.016831975542392574,0.008354499427390805,-0.010552742436492069
7788,evaluation,Warm A,57569,23501,0.3513179123401642,0.6651322760513471,0.5575168205714909,0.8708991106761415,0.6798312628711884,0.7955336083290633,0.6376869495735552,0.4739228488661883,0.2612419616722884,20467,16244,3034,17824,cfg02_G2_D32,evaluation,57569,23501,0.2963898181915283,0.5212353871006965,0.45863803955918603,0.9580443385387856,0.6203162882962311,0.7447511688977214,0.8527332418489117,0.567198895002363,0.23261908593620062,22515,26576,986,7492,-0.05951497457495736,-0.050782439431341864,-0.14389688895065056,-0.09887878101230485,0.08714522786264411
7788,evaluation,Warm B,57569,23501,0.3774585127830505,0.708297868644583,0.608995190432861,0.7974128760478277,0.6905827943913179,0.8007054708680492,0.5345237888446908,0.4305794280739424,0.279629999655296,18740,12032,4761,22036,cfg02_G2_D32,evaluation,57569,23501,0.2927090525627136,0.5191161910055759,0.45756143091938395,0.9595336368665163,0.6196416794899977,0.7448111502573489,0.8560683701297573,0.5671065748157206,0.23258775153941172,22550,26733,951,7335,-0.07094111490132016,-0.05589432061070032,-0.18918167763900706,-0.15143375951347704,0.16212076081868854
7788,evaluation,Warm C,57569,23501,0.3353776931762695,0.7014365370251351,0.5963552000976831,0.8312837751585039,0.694489868467828,0.8049035034404842,0.5690388924594834,0.4201008391862884,0.28339318529361,19536,13223,3965,20845,cfg02_G2_D32,evaluation,57569,23501,0.29481935501098633,0.520349493651097,0.45819098747356435,0.9587677120122547,0.6200586155179768,0.7448087939939972,0.8542097309315777,0.5671663061500356,0.23261042699552736,22532,26644,969,7424,-0.0744312529498512,-0.06009470944648698,-0.18108704337403814,-0.1381642126241187,0.1274839368537508
9999,evaluation,Cold,57569,23501,0.2748320698738098,0.5006513922423527,0.4481948175067151,0.9656184843198162,0.6122239758272294,0.7356175527308506,0.8795011203946569,0.5627151979098705,0.2229711468402611,22693,27939,808,6129,cfg02_G2_D32,evaluation,57569,23501,0.2876807451248169,0.5077037989195574,0.4516193522590964,0.9612356920982086,0.6145183008936222,0.7350770041851484,0.8688703989994615,0.5635188852056783,0.22339387363501623,22590,27430,911,6638,0.0022943250663928216,-0.0005405485457021797,0.007052406677204748,0.003424534752381303,-0.004382792221607645
9999,evaluation,Warm A,57569,23501,0.3514258563518524,0.6644721985790963,0.5570832310336361,0.8689417471596953,0.6789121978789189,0.7911675510104599,0.6367489447445673,0.4754729227134392,0.2606529147720367,20421,16236,3080,17832,cfg02_G2_D32,evaluation,57569,23501,0.29028838872909546,0.5090239538640587,0.45226644222676443,0.9603421131015701,0.6149339945233846,0.7351624572949281,0.8668206847435251,0.5634051176532308,0.22324573818825819,22569,27333,932,6735,-0.06397820335553428,-0.05600509371553175,-0.1554482447150376,-0.10481678880687167,0.09140036594187484
9999,evaluation,Warm B,57569,23501,0.3425651490688324,0.6975455540308152,0.5916603944001204,0.8362197353304115,0.6929966852387334,0.8009963991349894,0.5769598221264917,0.4337403540976526,0.2824348561520403,19652,13563,3849,20505,cfg02_G2_D32,evaluation,57569,23501,0.28968119621276855,0.508589692369157,0.4520515028334568,0.960597421386324,0.6147875816993464,0.7352057281073083,0.8674633917559798,0.5634098504210442,0.2232744452131702,22575,27364,926,6704,-0.07820910353938693,-0.0657906710276811,-0.18895586166165823,-0.13960889156666362,0.12437768605591248
9999,evaluation,Warm C,57569,23501,0.3725842535495758,0.7127273358925811,0.6136445242369838,0.7999234075145738,0.6945101226540563,0.8034456078019598,0.532144035852629,0.4193343185918101,0.2846227491919866,18799,11836,4702,22232,cfg02_G2_D32,evaluation,57569,23501,0.29228731989860535,0.5100835519116191,0.45278965648778335,0.9596612910088932,0.6152775883235576,0.7351912220683121,0.8652052319824906,0.5634031171851853,0.22319722092696356,22553,27256,948,6812,-0.0792325343304987,-0.06825438573364773,-0.20264378398096194,-0.16085486774920044,0.1597378834943194
3407,evaluation,Cold,57569,23501,0.2874848842620849,0.5173270336465806,0.4565261492270864,0.9575762733500702,0.6182842228175012,0.7367053189280947,0.8562594451875141,0.5481659154632693,0.2213880535761025,22504,26790,997,7278,cfg02_G2_D32,evaluation,57569,23501,0.28712740540504456,0.5169969949104553,0.4563219090521702,0.9568954512573933,0.6179549888708746,0.7355386082287176,0.8560336292101652,0.5497845510053951,0.2217954120026667,22488,26793,1013,7275,-0.00032923394662653926,-0.001166710699377016,-0.00033003873612535983,-0.00020424017491621482,-0.000680822092676947
3407,evaluation,Warm A,57569,23501,0.3572084903717041,0.6721325713491636,0.5645044341569524,0.8613250499978724,0.682019575801479,0.794129054920643,0.6228699473675068,0.4668564318783327,0.2599158553536896,20242,15616,3259,18452,cfg02_G2_D32,evaluation,57569,23501,0.2855798006057739,0.5161111014608557,0.45589307411907654,0.9579166843964086,0.6177741798273899,0.735641191554171,0.8577533047299762,0.5496775364419239,0.22164769138011847,22512,26868,989,7200,-0.06424539597408907,-0.05848786336647205,-0.1560214698883079,-0.10861136003787586,0.09659163439853624
3407,evaluation,Warm B,57569,23501,0.3555227518081665,0.7013149438065626,0.5978402532116924,0.8197949023445811,0.6914422093419708,0.8008623562902304,0.5597804373881776,0.4310028809546389,0.2813001953756139,19266,12960,4235,21108,cfg02_G2_D32,evaluation,57569,23501,0.285237580537796,0.5157984331845263,0.4557108140947752,0.9575337219692779,0.6175272018770324,0.7356665371539927,0.8577533047299762,0.5496759984825267,0.22167493192539284,22503,26877,998,7191,-0.0739150074649384,-0.06519581913623773,-0.18551651062203622,-0.14212943911691722,0.1377388196246968
