item_idx,item_id,edge_logit_mean,edge_logit_std,edge_probability_mean,edge_probability_std,stage
1,2,0.034242,0.38754025,0.507793,0.09352532,tuning
2,3,0.015341474,0.35592717,0.50346684,0.0865374,tuning
5,6,0.005876587,0.3278122,0.50121784,0.080059305,tuning
9,10,0.06933958,0.3887441,0.51621693,0.09354658,tuning
15,16,0.02132131,0.33746827,0.5048791,0.08212984,tuning
18,19,0.050961077,0.37835354,0.5120621,0.09149708,tuning
20,21,-0.009929101,0.36060086,0.49730873,0.087685786,tuning
21,22,0.051723547,0.34557152,0.5122713,0.08388071,tuning
23,24,0.03537006,0.35329533,0.508276,0.085752115,tuning
24,25,-0.041202266,0.3279344,0.4898228,0.080182396,tuning
28,29,-0.007949296,0.38683417,0.49770942,0.09382074,tuning
31,32,-0.010935609,0.33240327,0.4971,0.08115513,tuning
32,34,-0.019561576,0.3272546,0.4950492,0.08003974,tuning
34,36,0.011066569,0.3354235,0.5024373,0.0817392,tuning
35,39,0.014179882,0.3290662,0.50320935,0.08031946,tuning
37,42,0.068756886,0.39709,0.51616687,0.095548294,tuning
39,44,0.053977344,0.4064837,0.51260066,0.09781649,tuning
40,45,-0.008864514,0.3417031,0.49759844,0.08328094,tuning
42,47,0.025116554,0.32241356,0.5059016,0.07871879,tuning
43,48,0.07495332,0.36600548,0.5178049,0.08843084,tuning
44,50,0.015789988,0.3316191,0.5036083,0.080913074,tuning
45,52,-0.053564265,0.33064246,0.48681006,0.080853015,tuning
47,58,0.027818795,0.35125765,0.5064014,0.08534159,tuning
48,60,0.01362692,0.3856154,0.5029726,0.09332864,tuning
50,62,0.06881945,0.36321285,0.5162326,0.087709874,tuning
55,69,-0.028734667,0.3229555,0.49285963,0.07904942,tuning
56,70,0.00926551,0.34383357,0.5019578,0.08364639,tuning
59,73,0.046936322,0.34233484,0.5111109,0.08321887,tuning
66,86,0.026250236,0.3893282,0.5059831,0.09408196,tuning
69,89,0.07917888,0.3984906,0.51857847,0.095711775,tuning
73,95,0.057941753,0.3993218,0.51358455,0.096116856,tuning
75,101,-0.05054928,0.33445844,0.48758125,0.08173791,tuning
77,105,0.031362683,0.37667525,0.50721383,0.09108455,tuning
81,112,-0.021547778,0.35660776,0.494492,0.086721264,tuning
86,125,-0.02921367,0.34280035,0.492715,0.083641656,tuning
91,141,0.0025958025,0.35619575,0.5003082,0.086529404,tuning
92,144,-0.04298469,0.33442616,0.48935783,0.08171114,tuning
93,145,0.01463544,0.36803892,0.5031589,0.08925713,tuning
95,150,0.073496625,0.3402404,0.51746625,0.0824234,tuning
96,151,0.008887265,0.32369998,0.501921,0.07902905,tuning
98,153,0.062015124,0.38924205,0.51456153,0.093739614,tuning
106,161,0.042269915,0.35542327,0.5098971,0.086192966,tuning
107,162,-0.042330585,0.28535658,0.48953804,0.07013155,tuning
109,164,0.009943236,0.31600043,0.5022278,0.07719732,tuning
110,165,0.07477364,0.36856735,0.5176463,0.088946156,tuning
112,168,0.060612135,0.3952344,0.5141644,0.095095165,tuning
114,170,0.06963055,0.3715189,0.5164273,0.08962531,tuning
