item_idx,item_id,edge_logit_mean,edge_logit_std,edge_probability_mean,edge_probability_std,stage
1,2,0.04782205,0.34832507,0.5115249,0.08490789,tuning
2,3,-0.0019008467,0.37170708,0.49967104,0.09069625,tuning
5,6,0.0076602837,0.36402744,0.5019662,0.088867106,tuning
9,10,0.055424705,0.35037825,0.5133526,0.08536894,tuning
15,16,0.0073648756,0.3678469,0.50185597,0.08970262,tuning
18,19,0.03750986,0.41899312,0.50907356,0.10145753,tuning
20,21,-0.013591077,0.36764368,0.49675205,0.08967498,tuning
21,22,0.039426062,0.3589572,0.5095241,0.08758633,tuning
23,24,0.015377651,0.37599713,0.503677,0.0915169,tuning
24,25,-0.054690603,0.38722062,0.48704487,0.094216146,tuning
28,29,-0.0020608795,0.36423054,0.49952766,0.08887057,tuning
31,32,-0.021920696,0.38246858,0.4948064,0.09315405,tuning
32,34,-0.037886366,0.38074315,0.49095255,0.09271792,tuning
34,36,0.014452737,0.40121955,0.503457,0.09737596,tuning
35,39,0.0065173153,0.3665507,0.50155234,0.08939978,tuning
37,42,0.028994463,0.36266083,0.5070391,0.088477656,tuning
39,44,0.026237555,0.33738717,0.5063184,0.082482085,tuning
40,45,-0.028274754,0.38056192,0.4932357,0.092696026,tuning
42,47,0.0019319132,0.37552178,0.50056285,0.091541044,tuning
43,48,0.04618154,0.3327378,0.5112785,0.0814045,tuning
44,50,0.046462197,0.3900235,0.5110967,0.09465838,tuning
45,52,-0.0047899466,0.3993271,0.49900088,0.09702498,tuning
47,58,0.024872232,0.39246383,0.5058963,0.0952456,tuning
48,60,0.0146908,0.36467773,0.5035974,0.088970184,tuning
50,62,0.035023477,0.38631454,0.5082834,0.093786396,tuning
55,69,-0.032318752,0.39638722,0.4924059,0.09636344,tuning
56,70,-0.0015455319,0.37617347,0.49966872,0.09167134,tuning
59,73,0.017243262,0.3871151,0.5042387,0.094173536,tuning
66,86,0.020930847,0.37767315,0.5050456,0.09191182,tuning
69,89,0.045334008,0.36638877,0.51086473,0.0891335,tuning
73,95,0.030499497,0.3504075,0.5074065,0.08557583,tuning
75,101,-0.03221705,0.40814546,0.49252257,0.099063136,tuning
77,105,-0.024263656,0.3798876,0.49430963,0.09257983,tuning
81,112,-0.0056775394,0.35334003,0.4986974,0.08635573,tuning
86,125,0.0018597725,0.40520734,0.50057596,0.09840516,tuning
91,141,-0.009229651,0.42627406,0.49780682,0.10306982,tuning
92,144,-0.01851913,0.39006644,0.4956373,0.09488486,tuning
93,145,0.023168687,0.3860062,0.50546354,0.093743645,tuning
95,150,0.0333659,0.4028333,0.50780356,0.09757314,tuning
96,151,-0.01011775,0.3675154,0.4976372,0.08966114,tuning
98,153,0.07445498,0.3534026,0.51799065,0.086031176,tuning
106,161,0.023796985,0.39198154,0.5057138,0.09521641,tuning
107,162,-0.0050476156,0.30161133,0.4988186,0.07418152,tuning
109,164,-0.0061832103,0.33591884,0.49861267,0.082237944,tuning
110,165,0.06257147,0.38493752,0.51497674,0.09334079,tuning
112,168,0.060482994,0.3835839,0.51455224,0.09310952,tuning
114,170,0.05897142,0.34085616,0.5142685,0.08315943,tuning
116,172,0.06804377,0.3600075,0.51641923,0.08755207,tuning
119,175,-0.0052269176,0.394945,0.49868217,0.09589915,tuning
120,176,0.014082097,0.4006949,0.50348866,0.097361505,tuning
122,180,-0.012211073,0.38177246,0.49720606,0.09295399,tuning
124,185,0.06676333,0.36202607,0.5161096,0.08806784,tuning
133,196,0.051951762,0.36822063,0.5124924,0.08958374,tuning
136,203,0.016396532,0.37202412,0.5039122,0.09060848,tuning
137,204,0.05108544,0.38005728,0.51224834,0.09228874,tuning
140,207,-0.004480445,0.3808537,0.4990462,0.09280866,tuning
141,208,0.022182891,0.3546977,0.5053961,0.08661432,tuning
144,216,0.013975118,0.390096,0.5034493,0.09483674,tuning
147,222,0.008444524,0.34947303,0.50200474,0.085393056,tuning
148,223,-0.014096239,0.4158077,0.49686942,0.10080712,tuning
149,224,0.0036645208,0.38324893,0.5008469,0.09326979,tuning
150,225,0.067286715,0.36439943,0.5161369,0.08855542,tuning
153,230,-0.009341012,0.35294154,0.49773115,0.08625185,tuning
155,232,0.021956436,0.41911897,0.50512886,0.10134297,tuning
156,233,-0.011149132,0.37962976,0.497328,0.09241998,tuning
158,235,-0.044216294,0.38433233,0.4895596,0.09360064,tuning
164,247,-0.013953123,0.37002516,0.49678946,0.09024043,tuning
166,249,-0.009824497,0.36699942,0.49766064,0.08947372,tuning
168,253,0.012583404,0.41933495,0.50302106,0.10144481,tuning
170,256,0.06653085,0.37879494,0.5159336,0.09187974,tuning
174,260,0.021624032,0.39358133,0.504769,0.09533456,tuning
175,261,0.024026373,0.37461528,0.5057032,0.091188975,tuning
177,265,0.016574996,0.36054906,0.5039359,0.087904684,tuning
178,266,-0.029598985,0.37064856,0.4929818,0.09035982,tuning
182,272,-0.022211593,0.38040838,0.49475092,0.09268449,tuning
183,273,0.031212403,0.40714762,0.50743586,0.09864503,tuning
187,280,0.00038105747,0.38747725,0.50012094,0.09417448,tuning
189,282,0.028677365,0.39300638,0.5067792,0.09537187,tuning
190,288,-0.025228702,0.35126477,0.49400842,0.08590106,tuning
193,292,0.049766798,0.38379127,0.51188123,0.09312943,tuning
194,293,-0.012228368,0.39364642,0.49709904,0.095663875,tuning
195,296,-0.014475465,0.37437063,0.49670336,0.09123694,tuning
199,303,0.030650953,0.34046683,0.5074483,0.083271205,tuning
202,307,-0.016835444,0.38948435,0.49600595,0.09466097,tuning
203,308,-0.015148302,0.38933575,0.49636072,0.09468123,tuning
205,314,-0.025302112,0.3960891,0.49403736,0.09621435,tuning
207,316,0.07744483,0.3534634,0.5185724,0.08589895,tuning
208,317,0.056017265,0.40064776,0.51329666,0.09692528,tuning
209,318,0.026714,0.4167664,0.50630987,0.10088237,tuning
210,319,0.005766133,0.37612855,0.5014638,0.09160066,tuning
214,327,0.043652263,0.3797684,0.5104918,0.0922414,tuning
216,329,0.053113963,0.36858213,0.51266974,0.08958187,tuning
219,333,0.0057881824,0.38952607,0.50144005,0.09469825,tuning
221,337,0.010542363,0.3851302,0.5023598,0.09354453,tuning
222,338,0.050581343,0.35994282,0.512251,0.087727025,tuning
223,339,0.03420072,0.38823906,0.50819755,0.09425984,tuning
225,342,-0.01610254,0.36713132,0.4960691,0.08954291,tuning
226,344,0.029269941,0.42804372,0.5069783,0.10344227,tuning
227,345,-0.006297682,0.4057664,0.4984471,0.09838051,tuning
229,348,-0.030279763,0.395743,0.49288225,0.096191615,tuning
232,351,0.027520146,0.36265796,0.506646,0.08845594,tuning
234,353,-0.0074505443,0.37683457,0.4982235,0.09172637,tuning
236,355,0.100473404,0.40941474,0.5240557,0.098760664,tuning
237,356,0.014489323,0.40215912,0.50342524,0.09754084,tuning
238,357,-0.01366889,0.36726993,0.4967255,0.089604974,tuning
241,361,0.031530976,0.3684302,0.5075394,0.08967696,tuning
247,367,0.027572764,0.37366867,0.50656015,0.09096191,tuning
248,368,0.03837455,0.35895252,0.50929576,0.087515384,tuning
249,370,0.030577574,0.4055088,0.50741047,0.09838369,tuning
250,371,0.02132885,0.3988249,0.5051448,0.09685876,tuning
251,372,0.0017682338,0.38926044,0.5005346,0.0947089,tuning
252,373,0.040429037,0.3606417,0.50970507,0.0878203,tuning
254,376,0.06024684,0.3808171,0.51437354,0.09234456,tuning
255,377,0.020848222,0.3663584,0.50498784,0.08920998,tuning
258,380,0.017989645,0.3700704,0.5043032,0.09010654,tuning
260,382,0.038849138,0.4000333,0.5092396,0.0969398,tuning
261,383,0.013888996,0.32269016,0.50332093,0.07908967,tuning
265,405,0.0879797,0.39517596,0.52104545,0.09545528,tuning
268,410,0.0114208935,0.39765415,0.50286204,0.09667292,tuning
269,412,0.013032125,0.39588776,0.5030444,0.09607353,tuning
274,417,0.0017612204,0.38372114,0.5005429,0.09338592,tuning
276,420,0.08471264,0.38536793,0.52033603,0.09330281,tuning
281,426,0.03526406,0.3690435,0.50857234,0.0898988,tuning
283,428,0.038015287,0.37510824,0.5089989,0.09120531,tuning
285,431,-0.0036968377,0.36519304,0.49904856,0.08901577,tuning
287,434,0.063970804,0.35739788,0.5153331,0.08687718,tuning
288,435,0.066921145,0.39012924,0.51607805,0.09457598,tuning
292,440,0.016491406,0.39484888,0.50383824,0.09587545,tuning
297,446,0.024717266,0.37305877,0.50578403,0.09071553,tuning
300,450,0.040880546,0.40263546,0.5097453,0.0975788,tuning
303,454,0.021290092,0.40255204,0.50509435,0.09760336,tuning
304,455,0.07241218,0.349923,0.5175203,0.08523216,tuning
306,457,0.07315261,0.40717784,0.51718915,0.09809867,tuning
312,466,0.028793328,0.39346373,0.50693315,0.095511325,tuning
315,471,-0.037575595,0.38197988,0.49106482,0.09300436,tuning
318,475,0.024304833,0.3886519,0.50574666,0.094347626,tuning
321,480,0.038002178,0.37224606,0.509114,0.09056405,tuning
322,481,0.003971564,0.37797138,0.5009647,0.092121206,tuning
