item_idx,item_id,edge_logit_mean,edge_logit_std,edge_probability_mean,edge_probability_std,stage
1,2,0.03746684,0.2709652,0.509157,0.06666132,tuning
2,3,0.043125663,0.327108,0.5104758,0.07999735,tuning
5,6,0.01294915,0.28472698,0.50312334,0.07000225,tuning
9,10,0.05012743,0.28574255,0.5121401,0.07004459,tuning
15,16,0.010131162,0.31776568,0.50238764,0.07774301,tuning
18,19,0.059209075,0.34086826,0.51433074,0.08313651,tuning
20,21,0.006395513,0.28526068,0.50152594,0.07009285,tuning
21,22,0.054905187,0.31572974,0.5132731,0.077142276,tuning
23,24,0.043379344,0.29836255,0.5105215,0.07311826,tuning
24,25,-0.008570526,0.2697685,0.49786323,0.066430576,tuning
28,29,0.02595028,0.2496319,0.50637954,0.061647937,tuning
31,32,0.008033691,0.2780128,0.5019536,0.068423554,tuning
32,34,-0.02736593,0.27416804,0.493323,0.06752157,tuning
34,36,0.01629031,0.31247953,0.50386226,0.07651228,tuning
35,39,0.0113194175,0.2938414,0.50275856,0.072176635,tuning
37,42,0.058966868,0.35311732,0.51419663,0.08591304,tuning
39,44,0.04189444,0.30449414,0.5101651,0.07456151,tuning
40,45,-0.00059322186,0.3126362,0.4998282,0.07659733,tuning
42,47,0.018703444,0.2697545,0.5045641,0.066414095,tuning
43,48,0.052827477,0.31719747,0.5128213,0.07758084,tuning
44,50,0.038867053,0.25408664,0.50953984,0.06265671,tuning
45,52,0.007189373,0.2818847,0.5017412,0.06934797,tuning
47,58,0.025965223,0.27890915,0.5063207,0.06859395,tuning
48,60,0.009389263,0.2878838,0.50230765,0.0707647,tuning
50,62,0.029987015,0.3180091,0.50721395,0.07779343,tuning
55,69,0.00569175,0.29610276,0.5013727,0.072712556,tuning
56,70,0.01837231,0.26334983,0.50448895,0.06489228,tuning
59,73,0.013459425,0.27641818,0.50327945,0.068016015,tuning
66,86,0.02413308,0.31668124,0.50579846,0.07748846,tuning
69,89,0.037076488,0.33861136,0.50887555,0.08255995,tuning
73,95,0.055223305,0.32097876,0.51334774,0.07840667,tuning
75,101,0.00088520267,0.2684942,0.5002279,0.066176936,tuning
77,105,0.0058196443,0.33211803,0.50140387,0.08115418,tuning
81,112,0.005440148,0.27920622,0.50128484,0.0686882,tuning
86,125,0.020900985,0.26114777,0.50512946,0.06440866,tuning
91,141,0.015771411,0.30826446,0.50383264,0.07558671,tuning
92,144,0.015281505,0.29569322,0.50371957,0.07258225,tuning
93,145,0.020727819,0.30002958,0.50497407,0.07355282,tuning
95,150,0.040272437,0.31196707,0.50970817,0.076337874,tuning
96,151,0.0027820347,0.29100594,0.50062746,0.07147594,tuning
98,153,0.0753346,0.33706886,0.518204,0.082098566,tuning
106,161,0.039524093,0.31438068,0.5094669,0.076842934,tuning
107,162,-0.014072438,0.24498135,0.49655852,0.060495064,tuning
109,164,0.012317281,0.28928223,0.5029592,0.07103659,tuning
110,165,0.0412917,0.27520066,0.5100157,0.067591935,tuning
112,168,0.050324157,0.30823818,0.5121959,0.07544881,tuning
114,170,0.0635527,0.31778258,0.51535606,0.0775982,tuning
116,172,0.06842986,0.34041545,0.5164927,0.082862005,tuning
119,175,0.016216652,0.32720557,0.50389177,0.079972886,tuning
120,176,0.017876528,0.26150593,0.50439346,0.06448496,tuning
122,180,0.016025322,0.29391545,0.50392133,0.07218307,tuning
124,185,0.08159197,0.32835642,0.5196967,0.07994311,tuning
133,196,0.05699981,0.27963966,0.5139183,0.068659306,tuning
136,203,0.02445827,0.30263087,0.5059459,0.07423822,tuning
137,204,0.053480174,0.33740816,0.5128608,0.08222342,tuning
140,207,0.056554206,0.34791502,0.513656,0.08475493,tuning
141,208,0.048188686,0.32967213,0.5116813,0.08051889,tuning
144,216,0.03664922,0.33174634,0.50884223,0.08102038,tuning
147,222,0.024827026,0.30084404,0.50598323,0.073740445,tuning
148,223,-0.004584888,0.26032498,0.4988977,0.064230636,tuning
149,224,0.024472743,0.30266774,0.5059449,0.07420436,tuning
150,225,0.042159613,0.35164517,0.5100576,0.085567825,tuning
153,230,0.014414076,0.31552005,0.50341064,0.077199824,tuning
155,232,0.02623733,0.2714663,0.5064027,0.06683212,tuning
156,233,-0.008189242,0.31672657,0.49793217,0.0775614,tuning
158,235,-0.038346626,0.2924248,0.4906593,0.07181503,tuning
164,247,0.004028385,0.26978424,0.50097555,0.06645533,tuning
166,249,-0.0011363146,0.27443817,0.4996985,0.06755892,tuning
168,253,0.01012194,0.28411034,0.5023894,0.06981677,tuning
170,256,0.05851423,0.31953666,0.5142334,0.078180164,tuning
174,260,0.04760174,0.28907877,0.51136535,0.070724234,tuning
175,261,0.03907218,0.33272934,0.5093775,0.08118708,tuning
177,265,0.031194512,0.2751462,0.50757927,0.06764828,tuning
178,266,0.00982372,0.29901603,0.50231695,0.07333819,tuning
182,272,0.029426051,0.31510398,0.50709635,0.077112906,tuning
183,273,0.04976962,0.32373932,0.5120258,0.07908862,tuning
187,280,0.03342198,0.32315677,0.5079802,0.07893178,tuning
189,282,0.03152161,0.34612507,0.5075489,0.08434277,tuning
190,288,0.008320051,0.3117816,0.5020052,0.0764273,tuning
193,292,0.036008045,0.31005418,0.50868434,0.07587486,tuning
194,293,0.008775305,0.26360443,0.5021153,0.0649548,tuning
195,296,0.00059531094,0.2352931,0.5001508,0.05816612,tuning
199,303,0.038011033,0.30777344,0.5092641,0.075422,tuning
202,307,0.0075213877,0.31070757,0.5018187,0.07615124,tuning
203,308,0.00086857006,0.31213838,0.50018305,0.07649799,tuning
205,314,-0.007829573,0.31636584,0.498026,0.077465065,tuning
207,316,0.036334798,0.25763807,0.5088667,0.063434325,tuning
208,317,0.03825924,0.29348728,0.5093305,0.07202207,tuning
209,318,0.041852865,0.29191253,0.5101568,0.07161286,tuning
210,319,0.0061271447,0.28018442,0.5014943,0.06894084,tuning
214,327,0.04349719,0.31087422,0.5105701,0.076130405,tuning
216,329,0.025378138,0.27147108,0.50617135,0.06678393,tuning
219,333,0.023247728,0.29387742,0.505635,0.07214157,tuning
221,337,0.04252498,0.32984203,0.5101636,0.080441944,tuning
222,338,0.065519325,0.3255796,0.51584315,0.079421885,tuning
223,339,0.04400202,0.2947204,0.51071995,0.07229903,tuning
225,342,-0.0028238494,0.25407156,0.4992838,0.06268842,tuning
