item_idx,item_id,edge_logit_mean,edge_logit_std,edge_probability_mean,edge_probability_std,stage
1,2,0.009954801,0.3312856,0.5022179,0.08066908,tuning
2,3,0.002973224,0.3763834,0.50048184,0.09106766,tuning
5,6,-0.012532978,0.29229903,0.49690565,0.07169482,tuning
9,10,-0.004736408,0.28889272,0.49875414,0.07083868,tuning
15,16,0.0025838295,0.30651027,0.50050735,0.07494512,tuning
18,19,-0.0011152641,0.3980028,0.4994577,0.09595861,tuning
20,21,-0.026684778,0.35010847,0.49343076,0.08510378,tuning
21,22,0.0076959413,0.3146188,0.50167626,0.076818526,tuning
23,24,0.0025582504,0.3276898,0.5003919,0.07985109,tuning
24,25,-0.0049322266,0.33754274,0.49880055,0.08228179,tuning
28,29,-0.035922375,0.34349397,0.49138212,0.08379926,tuning
31,32,-0.0025387253,0.3423194,0.49932325,0.083386295,tuning
32,34,-0.054030593,0.38863492,0.48700047,0.09409574,tuning
34,36,0.008535288,0.3744047,0.5017605,0.09052982,tuning
35,39,-0.025257377,0.39766914,0.4937502,0.09607076,tuning
37,42,0.012422,0.328022,0.5027895,0.07985341,tuning
39,44,-0.0032231945,0.28894228,0.4991201,0.07082942,tuning
40,45,-0.048922434,0.4027935,0.48810795,0.097201645,tuning
42,47,-0.009738419,0.3328935,0.4976369,0.08119817,tuning
43,48,0.004207341,0.3140804,0.500851,0.076715626,tuning
44,50,-0.0028390135,0.34593314,0.49931002,0.08426311,tuning
45,52,-0.040388253,0.41977203,0.4902615,0.10103173,tuning
47,58,0.0069749528,0.3817039,0.501459,0.09229643,tuning
48,60,-0.025617817,0.32977563,0.4936773,0.08048578,tuning
50,62,0.01704166,0.32650906,0.5039255,0.079515696,tuning
55,69,-0.04730606,0.398222,0.48857456,0.09618321,tuning
56,70,-0.0186385,0.3204818,0.49538776,0.07829775,tuning
59,73,-0.00627095,0.3365435,0.49835047,0.08199419,tuning
66,86,-0.016723368,0.34325066,0.49576247,0.08352332,tuning
69,89,0.033235032,0.29933697,0.5079098,0.07311715,tuning
73,95,0.016355395,0.27753708,0.5038901,0.06807077,tuning
75,101,-0.052583307,0.4326373,0.48749745,0.10395882,tuning
77,105,-0.011559501,0.3622453,0.49701056,0.08789653,tuning
81,112,-0.02342409,0.313205,0.49421576,0.07659513,tuning
86,125,-0.029422104,0.43603143,0.49291605,0.104647964,tuning
91,141,-0.05062638,0.44321567,0.48766464,0.10609829,tuning
92,144,-0.055887554,0.4139616,0.48653397,0.09970222,tuning
93,145,-0.012049759,0.26023677,0.49695963,0.06404062,tuning
95,150,0.03399926,0.34573138,0.50794387,0.08387966,tuning
96,151,-0.017006865,0.35034814,0.4956883,0.08516014,tuning
98,153,0.018882902,0.33208165,0.5043504,0.08082568,tuning
106,161,0.0048065484,0.33720136,0.5009374,0.082054704,tuning
107,162,-0.033559415,0.3679523,0.49186468,0.08928576,tuning
109,164,-0.021103539,0.32597625,0.49476597,0.079557456,tuning
110,165,0.0027513553,0.29587162,0.5005756,0.0724964,tuning
112,168,0.015070549,0.32639912,0.5034188,0.07952172,tuning
114,170,0.017562171,0.29847655,0.50411654,0.073012404,tuning
116,172,0.017870491,0.28363582,0.50425035,0.069521666,tuning
119,175,-0.006830569,0.35918692,0.49813858,0.08716499,tuning
120,176,-0.0053311703,0.42962566,0.49852833,0.103139974,tuning
122,180,-0.017332815,0.3912707,0.49567,0.09453726,tuning
124,185,0.016906315,0.31789914,0.5039512,0.07756564,tuning
133,196,0.009972542,0.2987657,0.5022859,0.073084645,tuning
136,203,-0.011043776,0.4099511,0.49706158,0.09865767,tuning
137,204,0.006865265,0.2795127,0.5016118,0.0686003,tuning
140,207,0.008434867,0.3412438,0.50179046,0.082989365,tuning
141,208,-0.005238174,0.30163893,0.4986079,0.07386146,tuning
144,216,-0.000659453,0.40643254,0.49958882,0.09786239,tuning
147,222,-0.013770727,0.34809119,0.49646103,0.08461624,tuning
148,223,-0.021458887,0.42720467,0.49480242,0.10271938,tuning
149,224,-0.026927713,0.359924,0.49330118,0.087354824,tuning
150,225,0.016540416,0.3576379,0.50367695,0.08666019,tuning
153,230,-0.014466539,0.3614028,0.49626514,0.08767968,tuning
155,232,0.0076848916,0.41651034,0.50164413,0.10020679,tuning
156,233,-0.0056049502,0.3961336,0.49830422,0.09547603,tuning
158,235,-0.050780322,0.4168601,0.48782858,0.10033012,tuning
164,247,-0.017971376,0.34166825,0.49562857,0.08324329,tuning
166,249,-0.017945733,0.3508176,0.49556577,0.08527253,tuning
168,253,0.004124599,0.350593,0.50076395,0.08515816,tuning
170,256,0.005900606,0.37929052,0.5011581,0.09174232,tuning
174,260,0.0110429125,0.29892078,0.50245124,0.07316756,tuning
175,261,0.010036315,0.38538083,0.502013,0.09295736,tuning
177,265,-0.008647617,0.35460147,0.49763504,0.086052895,tuning
178,266,-0.012894381,0.3233813,0.49666923,0.07890775,tuning
182,272,-0.013762392,0.38304332,0.4964908,0.092640705,tuning
183,273,0.022105765,0.34680176,0.5050752,0.084236234,tuning
187,280,0.0007906829,0.34017283,0.50003165,0.08278948,tuning
189,282,0.009593472,0.3718513,0.5019758,0.089934275,tuning
190,288,-0.029761646,0.30441585,0.49267313,0.074584335,tuning
193,292,0.010409743,0.28816667,0.5024164,0.07058848,tuning
194,293,-0.015617854,0.361674,0.4961593,0.08783101,tuning
195,296,-0.02751625,0.3659168,0.49333653,0.08878562,tuning
199,303,-0.015218079,0.30739024,0.49612352,0.075214796,tuning
202,307,-0.028609905,0.3881606,0.4931228,0.09389357,tuning
203,308,-0.004120668,0.37849134,0.49882257,0.09156268,tuning
205,314,-0.016064191,0.37456873,0.49591637,0.09068446,tuning
207,316,-0.0035185842,0.30590743,0.49900258,0.0748072,tuning
208,317,-0.0045286845,0.3653323,0.4986462,0.088566735,tuning
209,318,0.044369426,0.3759824,0.5103777,0.090753555,tuning
210,319,-0.016880048,0.35378948,0.49585465,0.086078525,tuning
214,327,0.006734219,0.32698148,0.50139785,0.079676636,tuning
216,329,-0.034737643,0.3097056,0.49141455,0.07580951,tuning
219,333,-0.017930849,0.3941013,0.49545723,0.095152855,tuning
221,337,0.025259368,0.3682291,0.50573814,0.08901458,tuning
222,338,-0.0054270877,0.29336688,0.49856174,0.07190789,tuning
223,339,-0.008336323,0.39036438,0.4977167,0.094283625,tuning
225,342,-0.018918952,0.41629705,0.49536785,0.100290015,tuning
226,344,-0.007998727,0.41849312,0.4976971,0.10051105,tuning
227,345,-0.02679606,0.40296376,0.49343497,0.09719766,tuning
229,348,-0.043734398,0.4287787,0.4894617,0.10302682,tuning
232,351,-0.003108441,0.38530648,0.49886847,0.09304418,tuning
234,353,-0.038481943,0.31471324,0.4905691,0.07694202,tuning
236,355,0.03074202,0.3734815,0.50710225,0.09021883,tuning
237,356,-0.010033753,0.33898145,0.49745262,0.08258212,tuning
238,357,-0.038377203,0.40318584,0.49067196,0.097253315,tuning
241,361,0.0056840195,0.35205194,0.5010503,0.08541251,tuning
247,367,-0.0141987605,0.38085717,0.4963292,0.09215175,tuning
248,368,0.00029314475,0.32240373,0.4999698,0.078688085,tuning
249,370,-0.010088127,0.42784876,0.49720076,0.10263881,tuning
250,371,-0.009467032,0.4254197,0.49742046,0.1021123,tuning
251,372,-0.0075197336,0.38486654,0.4979016,0.09299949,tuning
252,373,-0.00052192435,0.31320196,0.49974442,0.07654194,tuning
254,376,0.008680834,0.30242512,0.5019486,0.073959,tuning
255,377,-0.031714246,0.35337085,0.49212688,0.08593312,tuning
258,380,-0.0076880637,0.33664542,0.4979674,0.08198577,tuning
260,382,0.02022306,0.36069444,0.5045669,0.0874232,tuning
261,383,-0.0045888764,0.31207806,0.49870554,0.076274045,tuning
265,405,0.03343675,0.30651668,0.5079659,0.07478997,tuning
268,410,-0.011295561,0.41641697,0.49700773,0.10017172,tuning
269,412,0.0053451103,0.3731575,0.5009534,0.09028404,tuning
274,417,-0.024786938,0.39965087,0.49390486,0.09644153,tuning
276,420,0.028824002,0.3321647,0.5067694,0.08077125,tuning
281,426,-0.012124736,0.32264683,0.49686596,0.078736745,tuning
283,428,0.012557991,0.35360476,0.50276154,0.08579566,tuning
285,431,0.0019297065,0.34116918,0.5002748,0.08295445,tuning
287,434,0.019783147,0.30670914,0.5046051,0.07492441,tuning
288,435,0.02588478,0.35748413,0.5059495,0.0865814,tuning
292,440,0.0016930662,0.37529776,0.5001173,0.09082585,tuning
297,446,-0.009263143,0.37639585,0.49767563,0.09120322,tuning
300,450,0.001562213,0.4132334,0.4999927,0.09933663,tuning
303,454,0.0077562397,0.33994785,0.50165045,0.08269439,tuning
304,455,0.028986454,0.349432,0.5067073,0.08473885,tuning
306,457,0.0028354255,0.30403492,0.5005973,0.074435204,tuning
312,466,0.006528981,0.325118,0.50139815,0.07925701,tuning
315,471,-0.023945274,0.39214188,0.49414647,0.09476479,tuning
318,475,0.007886404,0.36287966,0.501676,0.08794882,tuning
321,480,-0.012556753,0.28645822,0.49692407,0.07032753,tuning
322,481,-0.0025390573,0.34433326,0.49914053,0.08372648,tuning
325,485,0.0018501497,0.3571899,0.50023645,0.08674489,tuning
330,491,0.027859155,0.36851507,0.50625557,0.0890063,tuning
331,492,-0.026101248,0.37479258,0.4934982,0.09082416,tuning
332,493,-0.009819736,0.3103044,0.49748597,0.0758513,tuning
333,494,-0.00614055,0.30889094,0.49838537,0.07553181,tuning
335,500,-0.010622826,0.41837424,0.49710336,0.10053114,tuning
341,507,-0.0023101473,0.30956313,0.49930117,0.07566862,tuning
342,508,0.02959257,0.35461062,0.506784,0.08585457,tuning
343,509,-0.034018673,0.378963,0.49163422,0.09182624,tuning
347,514,-0.030946314,0.42557397,0.49245346,0.10221651,tuning
348,515,-0.00395576,0.3702646,0.49881452,0.08968315,tuning
349,516,0.02671519,0.37462464,0.5060976,0.09051029,tuning
352,519,0.043785147,0.3334734,0.5103466,0.08096178,tuning
353,520,0.0075412276,0.42760605,0.50141513,0.10247332,tuning
357,524,-0.0011820921,0.36651275,0.49940968,0.08877221,tuning
358,527,0.00872978,0.33852404,0.5019658,0.08241865,tuning
360,529,0.0015872113,0.35976958,0.50015134,0.08725139,tuning
361,531,-0.0061373203,0.3726587,0.49825865,0.090261824,tuning
363,533,0.0011358431,0.29153177,0.5001687,0.07144259,tuning
364,534,0.012908955,0.35578504,0.50284374,0.086318396,tuning
365,535,-0.025626624,0.39358073,0.49365944,0.09497445,tuning
366,537,0.019593144,0.38405663,0.5043195,0.09261947,tuning
368,539,0.007837148,0.38212746,0.5016308,0.09238252,tuning
371,542,0.013153631,0.4001571,0.502792,0.0963751,tuning
372,543,-0.014419547,0.34754384,0.49631003,0.0844949,tuning
374,546,0.060985465,0.2998983,0.5146592,0.073105134,tuning
379,551,-0.044542447,0.3634852,0.48921013,0.08835653,tuning
380,552,0.008237322,0.33569905,0.5017451,0.081692606,tuning
381,553,-0.0025936004,0.28928018,0.49927282,0.07093483,tuning
382,555,-0.0056132856,0.2949292,0.49857992,0.07230092,tuning
385,562,-0.028585944,0.4112242,0.49315584,0.09913644,tuning
392,585,-0.016943855,0.4239223,0.49575138,0.10192522,tuning
393,586,-0.015529345,0.3482065,0.49598154,0.08465311,tuning
396,589,-0.004862027,0.29311833,0.49876463,0.07189194,tuning
397,590,-0.00035986264,0.32572493,0.49973747,0.07944406,tuning
399,593,0.022102466,0.34286764,0.5051998,0.08340125,tuning
400,594,0.056189638,0.46592173,0.5113136,0.10971745,tuning
401,595,-0.014066731,0.3286204,0.49643388,0.080186285,tuning
402,596,0.07581198,0.4539925,0.5161523,0.10691982,tuning
403,597,-0.004812626,0.39620185,0.49849945,0.09552915,tuning
405,605,0.019114373,0.35157725,0.5043168,0.085286066,tuning
407,608,-0.021467373,0.37618002,0.49480835,0.09121407,tuning
409,610,-0.007554069,0.28823024,0.4978421,0.07055837,tuning
410,611,0.012016364,0.28341383,0.5028416,0.06950149,tuning
414,616,0.03226882,0.34045568,0.50718015,0.08243379,tuning
416,628,0.019144237,0.34298068,0.5043833,0.08335427,tuning
422,647,0.016758438,0.30871618,0.50391436,0.07543355,tuning
423,648,0.014928265,0.30200988,0.50346094,0.07383659,tuning
425,653,-0.01987767,0.31212658,0.49501398,0.07630579,tuning
428,663,-0.039101265,0.4200695,0.4905604,0.10105378,tuning
429,671,-0.022696014,0.34772515,0.49446902,0.08468045,tuning
430,673,0.002752865,0.3443357,0.5004966,0.08378387,tuning
431,674,0.024453416,0.33729863,0.5053264,0.08180184,tuning
432,678,-0.010138561,0.34510455,0.49745792,0.083984375,tuning
434,688,0.031171517,0.32828102,0.5073629,0.079884075,tuning
