split,item_id,item_idx,phase,graph_sample_count,graph_mean,graph_std_within,graph_between_sample_std,graph_density_gt_0_5,graph_diag_mean,guidance_loss_mean,guidance_loss_last,sampling_seconds
validation,1,0,Cold,4,0.5560622215270996,0.17938850820064545,0.011873787268996239,0.5123456790123457,1.0,0.0,0.0,0.0019445039797574282
validation,1,0,Warm A,4,0.556073009967804,0.1804192215204239,0.01284593902528286,0.4876543209876543,1.0,0.47289419174194336,0.4727135896682739,0.014357404026668519
validation,1,0,Warm B,4,0.5548017621040344,0.17893454432487488,0.00696950126439333,0.49382716049382713,1.0,0.4659404108921687,0.4658445119857788,0.013997146976180375
validation,1,0,Warm C,4,0.5560566782951355,0.17976698279380798,0.012357229366898537,0.49382716049382713,1.0,0.4905126889546712,0.49039721488952637,0.013985263998620212
validation,5,4,Cold,4,0.5531619191169739,0.18116523325443268,0.010903788730502129,0.5,1.0,0.0,0.0,0.0017583349836058915
validation,5,4,Warm A,4,0.5582779049873352,0.17924995720386505,0.009616687893867493,0.4876543209876543,1.0,0.5588687161604563,0.5587139129638672,0.01394769799662754
validation,5,4,Warm B,4,0.5554956793785095,0.17823676764965057,0.008784864097833633,0.5,1.0,0.6404860516389211,0.640361487865448,0.014034722000360489
validation,5,4,Warm C,4,0.5564740300178528,0.17982667684555054,0.010248878039419651,0.48148148148148145,1.0,0.6342372198899587,0.6340895891189575,0.013991690997499973
validation,7,6,Cold,4,0.5591934323310852,0.17898420989513397,0.011318202130496502,0.5246913580246914,1.0,0.0,0.0,0.0017643520259298384
validation,7,6,Warm A,4,0.5572319626808167,0.1773563176393509,0.01020024623721838,0.5,1.0,0.6478541990121206,0.6477932333946228,0.014057649008464068
validation,7,6,Warm B,4,0.5551494359970093,0.17854346334934235,0.010366030037403107,0.48148148148148145,1.0,0.6366758147875468,0.6366056203842163,0.01401019498007372
validation,7,6,Warm C,4,0.5586671233177185,0.1772751808166504,0.01008797250688076,0.47530864197530864,1.0,0.6315835118293762,0.6315362453460693,0.014024846022948623
validation,11,10,Cold,4,0.558992862701416,0.17793478071689606,0.008979023434221745,0.5,1.0,0.0,0.0,0.0018299929797649384
validation,11,10,Warm A,4,0.5576092600822449,0.1788920760154724,0.00847702007740736,0.5,1.0,0.4929194947083791,0.4927385449409485,0.014008936006575823
validation,11,10,Warm B,4,0.557226300239563,0.179610937833786,0.009573064744472504,0.5,1.0,0.5838427245616913,0.5837693810462952,0.014868086960632354
