item_idx,item_id,edge_logit_mean,edge_logit_std,edge_probability_mean,edge_probability_std,stage
1,2,0.018578075,0.29727128,0.5044493,0.072969586,tuning
2,3,0.017676076,0.3731579,0.50419515,0.090753585,tuning
5,6,-0.00013484102,0.33603936,0.4997596,0.082116865,tuning
9,10,0.025568934,0.30217132,0.50604606,0.07405664,tuning
15,16,0.0011787518,0.3889706,0.50005984,0.09432353,tuning
18,19,0.042076427,0.4022469,0.5100027,0.09734994,tuning
20,21,-0.012750088,0.39516574,0.49663708,0.095776916,tuning
21,22,0.028668549,0.395852,0.50656056,0.095749564,tuning
23,24,0.005668656,0.3809172,0.5012047,0.092530206,tuning
24,25,-0.01784279,0.39891705,0.49552584,0.09670427,tuning
28,29,-0.015701912,0.33279967,0.49598306,0.0815416,tuning
31,32,-0.005763139,0.37756717,0.49829328,0.09178464,tuning
32,34,-0.004494981,0.37465698,0.49866593,0.09114601,tuning
34,36,0.004896067,0.41501287,0.50078255,0.10027203,tuning
35,39,-0.027486403,0.35781145,0.49318606,0.087274276,tuning
37,42,0.038631584,0.41589272,0.50911313,0.100420125,tuning
39,44,0.022504704,0.34249702,0.5053686,0.08359216,tuning
40,45,-0.036889546,0.42428455,0.49095023,0.10245608,tuning
42,47,0.009606078,0.37816715,0.5020207,0.091839425,tuning
43,48,0.031823296,0.34750724,0.5076478,0.084749654,tuning
44,50,0.021039957,0.3619716,0.5046827,0.08804976,tuning
45,52,-0.018018449,0.3924526,0.49549887,0.095217876,tuning
47,58,0.005931926,0.38542643,0.50102633,0.09349337,tuning
48,60,-0.009039168,0.32012132,0.49771547,0.07844033,tuning
50,62,0.01848382,0.40630454,0.5040956,0.098185405,tuning
55,69,-0.03506998,0.3850225,0.4913999,0.09355459,tuning
56,70,-0.0072132796,0.37949848,0.4981689,0.09221162,tuning
59,73,0.010841699,0.35407516,0.5024148,0.08631637,tuning
66,86,-0.003191305,0.36216956,0.49907795,0.08820464,tuning
69,89,0.025400085,0.36640808,0.5058776,0.08907411,tuning
