seed,split,phase,items,graph_distance_from_previous_mean,graph_distance_from_cold_mean,mean_absolute_score_change_from_cold,score_correlation_with_cold_mean,local_item_embedding_delta_norm_mean,guidance_gradient_norm_mean,guidance_support_loss_improvement_mean,guidance_improved_fraction,embedding_support_loss_improvement_mean,embedding_improved_fraction
2025,validation,Warm A,284,0.0009568327202455102,0.0009568327202455102,0.1495528454026601,0.8779976472782786,0.2517604683591446,0.0017634621051800365,4.868954420089722e-06,0.5352112676056338,0.19318718128693355,1.0
2025,validation,Warm B,284,0.0009005103542298918,0.0013547699355756417,0.1658770924394714,0.8400771093693167,0.3538723048609747,0.0016280624286808343,8.293388175292753e-06,0.5845070422535211,0.04961340313016529,1.0
2025,validation,Warm C,284,0.0008664856278288349,0.001619260688476317,0.16635829287017107,0.8232058347848462,0.4231772334642813,0.0015502537549047033,3.1716911725594964e-06,0.5316901408450704,0.023556032860782783,1.0
2025,evaluation,Warm A,955,0.0008767732503185175,0.0008767732503185175,0.18944578241576387,0.849590928113232,0.2534970650420139,0.001771093864602575,-3.1958543817410295e-06,0.47539267015706804,0.21828475589644533,1.0
2025,evaluation,Warm B,955,0.000825168123939294,0.0012410091474549894,0.2045788189913122,0.8196144600816874,0.34959357427676935,0.0016260975593976096,-2.2697277094057094e-06,0.4607329842931937,0.045804088595640204,1.0
2025,evaluation,Warm C,955,0.0007924186619222945,0.0014886664580163688,0.2060409785233711,0.8111912937014097,0.4125802304888271,0.0015422743447974202,-2.0426137285082752e-06,0.4607329842931937,0.020991949190956136,1.0
7788,validation,Warm A,284,0.0009160214351755764,0.0009160214351755764,0.15369264040352174,0.8720473096818284,0.2501138777170383,0.0017652373015545823,6.618240559604806e-06,0.5633802816901409,0.1931573626729594,1.0
7788,validation,Warm B,284,0.0008552306131656531,0.001293562621150402,0.16476976537001384,0.8447653613113221,0.3468977898149423,0.0016205924840621048,1.567612651368262e-06,0.4894366197183099,0.047524381586363615,1.0
7788,validation,Warm C,284,0.0008313532116901601,0.0015604471214751806,0.16516864981869578,0.8352575998289156,0.4112086666511818,0.0015543126283205843,4.267188864694514e-06,0.5915492957746479,0.02261052973253626,1.0
7788,evaluation,Warm A,955,0.0009375441422032593,0.0009375441422032593,0.19115739785017768,0.8392007689728861,0.25940749276995034,0.0017780711599611426,-3.165248488880577e-06,0.4680628272251309,0.24071724280636972,1.0
7788,evaluation,Warm B,955,0.0008950123365319953,0.0013295685543303246,0.20950258214280243,0.8000969750715892,0.3624917247064451,0.0016602131934291204,-1.0952787444541593e-06,0.47958115183246075,0.052605715982557436,1.0
7788,evaluation,Warm C,955,0.0008625004605721702,0.001595737438902493,0.21103363951073267,0.7890457501735162,0.4280251661676387,0.0015832030906400482,-4.304766030835856e-06,0.4492146596858639,0.02443748109081653,0.9989528795811519
9999,validation,Warm A,284,0.0009254092983098071,0.0009254092983098071,0.15420105745753562,0.885505282917088,0.2526758922867372,0.0017751156469627213,-3.0897872548707776e-06,0.5,0.18924878978393447,1.0
9999,validation,Warm B,284,0.000882867681277378,0.0013148015730647029,0.16547543534510573,0.8550914462158319,0.3464650920474193,0.0016593921619635229,-1.1291302425760618e-07,0.4964788732394366,0.04765285682720198,1.0
9999,validation,Warm C,284,0.0008542816298948207,0.0015859441191423684,0.16463244942502236,0.8448055585881957,0.41222863455473535,0.0015867252130593729,1.8958579486524556e-06,0.5669014084507042,0.023152055035174732,1.0
9999,evaluation,Warm A,955,0.0008977227743729675,0.0008977227743729675,0.19070850139269263,0.85801394869857,0.256240036716948,0.0017832902655632024,-2.0564070546814286e-06,0.4848167539267016,0.2295671843148339,1.0
9999,evaluation,Warm B,955,0.0008568403707251577,0.0012716755238044715,0.2065199384807136,0.8251589869648661,0.3513373814640245,0.0016640146673810596,3.989025248282867e-07,0.4973821989528796,0.04722161323505,1.0
9999,evaluation,Warm C,955,0.0008282697348762792,0.0015299939404178353,0.20838707566885423,0.8142255693052016,0.4143616249424001,0.0015920710515945641,-1.6113538392551283e-07,0.4952879581151832,0.021472811862748332,1.0
3407,validation,Warm A,284,0.0009194629772690873,0.0009194629772690873,0.15549315823058427,0.8721085014685153,0.25609925027254604,0.0017719846405403166,9.20855033565575e-07,0.5140845070422535,0.19897010994904582,1.0
3407,validation,Warm B,284,0.0008755504884543947,0.0013086627242417717,0.16685637116799473,0.8395770709477702,0.353692558712103,0.0016571814614687523,-4.88117966853397e-07,0.4823943661971831,0.04973050164924541,1.0
3407,validation,Warm C,284,0.0008492834263884554,0.0015757420747114581,0.16651098381622997,0.8239351101029508,0.4205947792236234,0.0015883446374359898,-5.922686885780013e-07,0.5,0.023018136043363894,1.0
3407,evaluation,Warm A,955,0.0009563888417659279,0.0009563888417659279,0.18362535524001608,0.8547936830806407,0.2591646863137864,0.0017818975905309973,-1.2774117954114346e-06,0.5036649214659686,0.21900213299153362,1.0
3407,evaluation,Warm B,955,0.0009091316507787916,0.001353913739187087,0.20012997810129096,0.8232841550740972,0.3606536835900152,0.0016574720167563041,-1.4035440786346714e-06,0.4701570680628272,0.049553486621446166,1.0
3407,evaluation,Warm C,955,0.0008771174702505674,0.001626935490426554,0.20390108352361236,0.8040231836452792,0.4268838447582035,0.001583505910928938,-1.0556653532058156e-06,0.4963350785340314,0.022841342050991757,1.0
4517,validation,Warm A,284,0.0009258346909634165,0.0009258346909634165,0.15863066252557115,0.8758620244613855,0.2523568030184423,0.0017680896243543421,2.7748362594087358e-06,0.5316901408450704,0.19716814757508397,1.0
4517,validation,Warm B,284,0.0008743367412842442,0.0013126125497723812,0.16991720410903366,0.8431488335350398,0.34949506320793866,0.0016415957403065912,3.297773885055327e-06,0.573943661971831,0.04638666622865368,1.0
4517,validation,Warm C,284,0.0008400970558360429,0.001577131360405269,0.1663671085269938,0.8356014514316505,0.41213596979497186,0.0015627338950206066,2.164813414425917e-06,0.5915492957746479,0.022785482429702516,1.0
4517,evaluation,Warm A,955,0.0008854568684814957,0.0008854568684814957,0.19721928632754773,0.8497678420725492,0.25847985477659713,0.0017595668527938468,1.498253245628317e-06,0.53717277486911,0.21812876687233984,1.0
4517,evaluation,Warm B,955,0.0008341898498642234,0.0012509352547062941,0.2111400493796115,0.8216388805789395,0.3529785284509209,0.0016218422591116567,2.0097014713661833e-06,0.5162303664921466,0.04358197703508963,1.0
4517,evaluation,Warm C,955,0.0007986564276354748,0.0014990733340333815,0.2145559866644481,0.8144362755815446,0.4177285952249747,0.001534568931442973,1.7759219514137787e-06,0.5675392670157068,0.020098337850957642,1.0
