seed,split_emerg,phase,rows_emerg,positives_emerg,threshold_emerg,accuracy_emerg,precision_emerg,recall_emerg,f1_emerg,roc_auc_emerg,predicted_positive_rate_emerg,score_mean_emerg,score_std_emerg,tp_emerg,fp_emerg,fn_emerg,tn_emerg,config_name,split_emerg_gd_v2,rows_emerg_gd_v2,positives_emerg_gd_v2,threshold_emerg_gd_v2,accuracy_emerg_gd_v2,precision_emerg_gd_v2,recall_emerg_gd_v2,f1_emerg_gd_v2,roc_auc_emerg_gd_v2,predicted_positive_rate_emerg_gd_v2,score_mean_emerg_gd_v2,score_std_emerg_gd_v2,tp_emerg_gd_v2,fp_emerg_gd_v2,fn_emerg_gd_v2,tn_emerg_gd_v2,f1_delta,roc_auc_delta,accuracy_delta,precision_delta,recall_delta
2025,evaluation,Cold,57569,23501,0.2526672184467315,0.5027358474178811,0.4493037423846823,0.9665546146972468,0.6134463993950606,0.7411206623065215,0.8781809654501554,0.5536445948316827,0.2269646542054929,22715,27841,786,6227,cfg02_G2_D32,evaluation,57569,23501,0.25168392062187195,0.5022668450033873,0.449067942356732,0.9666397174588316,0.6132437101824857,0.7411176446906945,0.8787194497038336,0.5536897827494257,0.2270422366369284,22717,27870,784,6198,-0.00020268921257493577,-3.0176158269945574e-06,-0.0004690024144938798,-0.00023580002795031696,8.510276158479879e-05
2025,evaluation,Warm A,57569,23501,0.3391729593276977,0.6638468620264378,0.5562484748244354,0.8729415769541722,0.6795071378887748,0.7944132160342096,0.6406399277388872,0.4611267425835141,0.2641224190497235,20515,16366,2986,17702,cfg02_G2_D32,evaluation,57569,23501,0.3449418246746063,0.6910490020670847,0.5859114277983224,0.8292413088804732,0.6866565660124732,0.7967449749964299,0.5777588632771109,0.43279149742317413,0.2808791317032727,19488,13773,4013,20295,0.007149428123698343,0.002331758962220376,0.027202140040646916,0.02966295297388699,-0.04370026807369898
2025,evaluation,Warm B,57569,23501,0.3507685363292694,0.6996473796661398,0.5957210678833467,0.8222628824305349,0.6908954396753607,0.8014910370789695,0.5634629748649447,0.4226440865158269,0.2816144139199807,19324,13114,4177,20954,cfg02_G2_D32,evaluation,57569,23501,0.34305059909820557,0.7071514182980424,0.6054018027167704,0.8116675886132505,0.6935228780744969,0.8046731554349882,0.5473084472545988,0.41442818034852963,0.2838773213152651,19075,12433,4426,21635,0.0026274383991361505,0.0031821183560186705,0.007504038631902632,0.009680734833423688,-0.010595293817284412
2025,evaluation,Warm C,57569,23501,0.3664198517799377,0.7114940332470601,0.6126438284518828,0.7974979788094123,0.6929547261198307,0.8025380223715946,0.531397106081398,0.4124524730024134,0.2837493998710516,18742,11850,4759,22218,cfg02_G2_D32,evaluation,57569,23501,0.34846213459968567,0.712223592558495,0.6116226658081133,0.8083485809114506,0.6963582045783618,0.8080212270488272,0.5395264812659591,0.4117724939108835,0.28401384181662326,18997,12063,4504,22005,0.003403478458531173,0.005483204677232623,0.0007295593114349241,-0.001021162643769502,0.010850602102038254
7788,evaluation,Cold,57569,23501,0.2731027901172638,0.5082422831732356,0.4521330599406764,0.96642696055487,0.6160522960913554,0.7454926068487179,0.8725703069360246,0.5655164980757484,0.2321223219718838,22712,27521,789,6547,cfg02_G2_D32,evaluation,57569,23501,0.25764521956443787,0.5008077263805173,0.4485367819028714,0.9711076124420237,0.613643085692775,0.7454886337378133,0.8838263648838784,0.5655495626368533,0.23223787826040576,22822,28059,679,6009,-0.0024092103985803304,-3.973110904609278e-06,-0.0074345567927183165,-0.0035962780378049897,0.0046806518871537195
7788,evaluation,Warm A,57569,23501,0.3428904116153717,0.6604943632857961,0.5530693281820133,0.8771541636526106,0.6783933654747996,0.79545036971964,0.6474317775191509,0.4741243476615829,0.2611299654941438,20614,16658,2887,17410,cfg02_G2_D32,evaluation,57569,23501,0.31886348128318787,0.6848824888394796,0.5771001150747986,0.8535806986936726,0.6886253239731552,0.7990846895480584,0.6037971825114211,0.437861081874708,0.28130763348598736,20060,14700,3441,19368,0.010231958498355676,0.003634319828418442,0.024388125553683415,0.024030786892785372,-0.023573464958937973
7788,evaluation,Warm B,57569,23501,0.379898190498352,0.7091316507147944,0.6103272584754066,0.7951576528658355,0.6905892570077052,0.8009411665234473,0.5318487380360958,0.430877513395777,0.2798747134508262,18687,11931,4814,22137,cfg02_G2_D32,evaluation,57569,23501,0.35614582896232605,0.7105733988778683,0.6112068685160493,0.7997106506106123,0.6928663594470046,0.8037887242108319,0.5341242682693811,0.419365841931377,0.28640728331090987,18794,11955,4707,22113,0.00227710243929935,0.0028475576873846498,0.0014417481630738527,0.0008796100406427421,0.004552997744776799
7788,evaluation,Warm C,57569,23501,0.3605548143386841,0.709513800830308,0.6082540088162014,0.8102633930471044,0.6948747422774463,0.8052230697059714,0.5437996143757925,0.421141254473743,0.2835977309867243,19042,12264,4459,21804,cfg02_G2_D32,evaluation,57569,23501,0.344933420419693,0.7122757039378832,0.6110026562550005,0.8123909620867197,0.6974501351647548,0.8081870041957899,0.5427747572478243,0.4145977728175765,0.28607668135362796,19092,12155,4409,21913,0.0025753928873085696,0.002963934489818576,0.002761903107575181,0.002748647438799101,0.002127569039615307
9999,evaluation,Cold,57569,23501,0.2534204423427582,0.4895516684326634,0.44298033136324,0.9727245649121314,0.6087396479642105,0.7356028018852725,0.8964025777762338,0.5641857617206925,0.2224026196574345,22860,28745,641,5323,cfg02_G2_D32,evaluation,57569,23501,0.26135972142219543,0.4933036877486147,0.44472827252695823,0.9704693417301391,0.6099433033804023,0.7356069586011137,0.890809289721899,0.5641996797464958,0.2224963521835242,22807,28476,694,5592,0.001203655416191718,4.156715841197034e-06,0.003752019315951316,0.0017479411637182363,-0.0022552231819923385
9999,evaluation,Warm A,57569,23501,0.3486303091049194,0.6617102954715212,0.5543495869107403,0.8736649504276414,0.678306546193363,0.7914701400643872,0.6433670899268704,0.4767340520700335,0.2598501566611698,20532,16506,2969,17562,cfg02_G2_D32,evaluation,57569,23501,0.32901445031166077,0.68496934113846,0.5777468625916587,0.8482192247138419,0.6873319081442659,0.7965709044019955,0.5993329743438309,0.441878897880738,0.2830597943287647,19934,14569,3567,19499,0.009025361950902977,0.00510076433760831,0.023259045666938816,0.023397275680918428,-0.02544572571379944
9999,evaluation,Warm B,57569,23501,0.351467877626419,0.7002900866785944,0.5950461004777409,0.8320922513935577,0.6938826201121283,0.8016115787158303,0.5708454202782748,0.4345411330499001,0.2817411298211998,19555,13308,3946,20760,cfg02_G2_D32,evaluation,57569,23501,0.35056957602500916,0.7076551616321284,0.6049130311703834,0.8183481553976426,0.6956270119723659,0.8031577852062753,0.552259028296479,0.42352770434368814,0.28588091750402445,19232,12561,4269,21507,0.0017443918602375597,0.0015462064904450123,0.007365074953534001,0.00986693069264255,-0.013744095995915084
9999,evaluation,Warm C,57569,23501,0.3567126095294952,0.7084020914033594,0.6065781954409804,0.812986681417812,0.6947762686594301,0.8035638381399433,0.5471347426566381,0.4194630442845404,0.2845214099487448,19106,12392,4395,21676,cfg02_G2_D32,evaluation,57569,23501,0.3649632930755615,0.7165314665879206,0.6175527039413382,0.8027317986468661,0.6980702695702048,0.8076525801861836,0.5306328058503709,0.4178340349049378,0.28493360655602196,18865,11683,4636,22385,0.003294000910774697,0.0040887420462403234,0.008129375184561138,0.01097450850035786,-0.010254882770945994
3407,evaluation,Cold,57569,23501,0.278169184923172,0.512498045823273,0.4541269649821091,0.9612782434790008,0.6168443758788758,0.7366848725824457,0.8641108930153382,0.5476340723318575,0.221302138664617,22591,27155,910,6913,cfg02_G2_D32,evaluation,57569,23501,0.29970183968544006,0.5239972902082718,0.4599021703387044,0.9521722479894472,0.620230885430381,0.7366798122055735,0.8451770918376209,0.5477039648983554,0.22147575514346587,22377,26279,1124,7789,0.0033865095515052124,-5.060376872201289e-06,0.01149924438499883,0.005775205356595314,-0.009105995489553598
