split,item_id,item_idx,phase,graph_sample_count,graph_mean,graph_std_within,graph_between_sample_std,graph_density_gt_0_5,graph_diag_mean,graph_distance_from_cold,graph_distance_from_previous_phase,mean_absolute_score_change_from_cold,score_correlation_with_cold,support_loss_before_guidance,support_loss_after_guidance,guidance_loss_mean,guidance_loss_last,raw_guidance_gradient_norm_mean,raw_guidance_gradient_norm_max,warm_start_timestep,embedding_support_loss_before,embedding_support_loss_after,local_item_embedding_delta_norm,sampling_seconds
validation,1,0,Cold,6,0.5631089806556702,0.17130759358406067,0.0028092723805457354,0.6008230452674898,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030765010160394013
validation,1,0,Warm A,6,0.5631700754165649,0.17126613855361938,0.002539093140512705,0.6008230452674898,1.0,0.0009533903794363141,0.0009533903794363141,0.07687205076217651,0.9493389629893672,0.37437257170677185,0.3743553161621094,0.37435186505317686,0.3743553161621094,0.0017244159690259645,0.002003265079110861,22.0,0.49030888080596924,0.35348886251449585,0.2596825361251831,0.05049661500379443
validation,1,0,Warm B,6,0.5633664131164551,0.17120710015296936,0.0022834090050309896,0.6049382716049383,1.0,0.0013613724149763584,0.0009282726678065956,0.14785093069076538,0.9032621971064493,0.36112138628959656,0.3610696792602539,0.36106935441493987,0.3610696494579315,0.001642862018585826,0.0019554072059690952,22.0,0.40399420261383057,0.34895676374435425,0.35643261671066284,0.03546579001704231
validation,1,0,Warm C,6,0.5635395050048828,0.17114707827568054,0.002111339010298252,0.6049382716049383,1.0,0.0018605428049340844,0.0008560013375245035,0.106544628739357,0.9244076602844485,0.40451034903526306,0.4044579863548279,0.40445826649665834,0.4044579863548279,0.0015492220777863015,0.001901570474728942,22.0,0.41704535484313965,0.4029052257537842,0.40262532234191895,0.03543683601310477
validation,5,4,Cold,6,0.566556453704834,0.1747570037841797,0.002799820387735963,0.6049382716049383,1.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028388240025378764
validation,5,4,Warm A,6,0.5666017532348633,0.17464250326156616,0.002520432695746422,0.6049382716049383,1.0,0.0009305282146669924,0.0009305282146669924,0.13775382936000824,0.9040832048167556,0.4705786108970642,0.4704554080963135,0.47045525908470154,0.4704554080963135,0.001697456353576854,0.002199366921558976,22.0,0.6161617040634155,0.44849586486816406,0.18250542879104614,0.035425273003056645
validation,5,4,Warm B,6,0.5665361285209656,0.17469604313373566,0.0023278326261788607,0.6049382716049383,1.0,0.0012674033641815186,0.0008786983089521527,0.20693571865558624,0.7546484313465398,0.4353110194206238,0.4353169798851013,0.4353154540061951,0.4353170096874237,0.001574659626930952,0.0017948271706700325,22.0,0.49232348799705505,0.4178341329097748,0.3322819471359253,0.03594037698348984
validation,5,4,Warm C,6,0.5664722323417664,0.17461003363132477,0.0023516372311860323,0.6049382716049383,1.0,0.0015411326894536614,0.0007655404624529183,0.2045287787914276,0.7197523086206941,0.3691970705986023,0.369236558675766,0.36923532783985136,0.36923664808273315,0.0014209319895599037,0.0018109825905412436,22.0,0.39849984645843506,0.3657466769218445,0.4387434720993042,0.03541427000891417
validation,7,6,Cold,6,0.5666173100471497,0.17086945474147797,0.002638255711644888,0.6172839506172839,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002954081050120294
validation,7,6,Warm A,6,0.5666481256484985,0.17089974880218506,0.002476482419297099,0.6131687242798354,1.0,0.0008881511748768389,0.0008881511748768389,0.09104903787374496,0.8540667821397877,0.6320807933807373,0.6320663690567017,0.6320668399333954,0.6320663690567017,0.0015670613502152264,0.0017930810572579503,22.0,0.7201422452926636,0.6061186194419861,0.2411477118730545,0.035841826000250876
