item_idx,item_id,base_edge_logit_mean,target_edge_logit_mean,residual_edge_logit_mean,residual_edge_logit_std,residual_l2_norm,base_edge_probability_mean,target_edge_probability_mean,stage
1,2,0.055340562,0.070149384,0.014808817,0.02368519,0.16760197,0.51334953,0.51688933,tuning
2,3,0.0728493,0.04586768,-0.02698163,0.016032208,0.1883121,0.5174786,0.5109916,tuning
5,6,0.026129074,0.020821664,-0.005307415,0.013252787,0.08565617,0.50629425,0.50501585,tuning
9,10,0.047368355,0.08109274,0.033724383,0.019655472,0.23420542,0.5113694,0.5195153,tuning
15,16,0.054726873,0.06336787,0.008641006,0.016106844,0.10966999,0.5130933,0.5152638,tuning
18,19,0.08983734,0.08524292,-0.0045944313,0.01832889,0.113375716,0.5214385,0.5204251,tuning
20,21,0.041948058,0.021559648,-0.02038841,0.008994204,0.13370484,0.51000684,0.5050258,tuning
21,22,0.07142954,0.07760121,0.0061716633,0.015226825,0.09858014,0.51712537,0.51854396,tuning
23,24,0.081302986,0.07498965,-0.006313328,0.0076656234,0.059584532,0.51945823,0.5179387,tuning
24,25,0.031012349,0.018410766,-0.012601583,0.011146902,0.10094512,0.5075215,0.50445956,tuning
28,29,0.00873547,0.005616981,-0.00311849,0.03307804,0.19934829,0.5020312,0.50126445,tuning
31,32,0.02635337,0.050332382,0.023979012,0.010403925,0.15683255,0.50628674,0.51210654,tuning
32,34,0.030999104,0.032019313,0.0010202035,0.015063018,0.09058516,0.5073912,0.50762105,tuning
34,36,0.048963133,0.0632219,0.014258772,0.012230162,0.11271211,0.51154137,0.5149451,tuning
35,39,0.049548928,0.052693233,0.0031443138,0.012912767,0.07974049,0.5117917,0.51251274,tuning
37,42,0.07034758,0.06595388,-0.0043937024,0.01395042,0.087755784,0.5169604,0.5159145,tuning
39,44,0.06832496,0.052917745,-0.015407216,0.00819492,0.10470628,0.5165568,0.51278275,tuning
40,45,0.0533376,0.029717393,-0.02362021,0.01991842,0.18538521,0.5126813,0.5070033,tuning
42,47,0.041642625,0.05474345,0.013100824,0.009974687,0.09879542,0.5099448,0.51309186,tuning
43,48,0.07838717,0.08203903,0.0036518557,0.015046475,0.092899784,0.5188739,0.51984173,tuning
44,50,0.017639568,0.06492378,0.047284216,0.011862097,0.2924966,0.5041406,0.51561993,tuning
45,52,0.03086916,0.021591216,-0.009277943,0.011631102,0.089269586,0.507373,0.5051275,tuning
47,58,0.03762946,0.047274668,0.009645209,0.007806503,0.07445116,0.508925,0.51125294,tuning
48,60,0.06265129,0.047517195,-0.015134098,0.010062841,0.109045215,0.5151295,0.5114404,tuning
50,62,0.07070146,0.08405943,0.013357969,0.011899213,0.107335724,0.5167463,0.51994985,tuning
55,69,0.0366742,0.025041126,-0.011633075,0.011273115,0.09719474,0.5087286,0.5059352,tuning
56,70,0.055425122,0.035758335,-0.019666784,0.01612101,0.15257818,0.5134343,0.5086579,tuning
59,73,0.039258342,0.038191844,-0.0010664983,0.011168278,0.0673145,0.50936836,0.5090928,tuning
66,86,0.071011335,0.049932487,-0.021078838,0.01432326,0.1529086,0.5170733,0.5119797,tuning
69,89,0.064486235,0.06845335,0.003967123,0.011592977,0.0735178,0.51548636,0.5163822,tuning
73,95,0.089247294,0.08829799,-0.00094930973,0.009948281,0.05996083,0.5213445,0.52109927,tuning
75,101,0.019100271,0.01754617,-0.0015541042,0.0126524605,0.07648529,0.50463516,0.5042647,tuning
77,105,0.05480429,0.026600474,-0.028203811,0.014599091,0.1905497,0.5132491,0.5064118,tuning
81,112,0.048035987,0.020685408,-0.027350577,0.011182467,0.17728975,0.51157486,0.50491,tuning
86,125,0.031380545,0.049016405,0.017635861,0.014085778,0.1354237,0.5075001,0.51171684,tuning
91,141,0.05125367,0.039541397,-0.011712273,0.0096049225,0.090882055,0.5121619,0.5093287,tuning
92,144,0.041667335,0.03649555,-0.005171789,0.011022759,0.073054425,0.5100131,0.50873643,tuning
93,145,0.06055589,0.054927327,-0.005628558,0.0135495765,0.088032834,0.51457053,0.51316655,tuning
95,150,0.062988944,0.09214295,0.02915401,0.013870232,0.19371171,0.5147686,0.52170104,tuning
96,151,0.054326728,0.041065108,-0.013261623,0.013335524,0.112842575,0.51306224,0.5097901,tuning
98,153,0.085018486,0.08208802,-0.0029304689,0.014618415,0.08945549,0.52040803,0.5197017,tuning
106,161,0.04217246,0.04785909,0.00568663,0.0216124,0.13408808,0.510162,0.511424,tuning
107,162,0.037602797,0.028452912,-0.009149884,0.013058753,0.09567158,0.5090764,0.5068079,tuning
109,164,0.048839096,0.033260684,-0.015578412,0.013928088,0.12538114,0.5117759,0.50797343,tuning
110,165,0.05462541,0.06662205,0.011996638,0.015593225,0.11804426,0.5130765,0.515959,tuning
112,168,0.08027515,0.10075171,0.020476555,0.017617742,0.16207488,0.5192716,0.52418244,tuning
114,170,0.08095959,0.07368661,-0.0072729927,0.014582348,0.097772636,0.5193244,0.5175929,tuning
116,172,0.080087475,0.07019271,-0.009894766,0.01690842,0.11754505,0.5193207,0.5169629,tuning
119,175,0.07023317,0.055374637,-0.014858531,0.011795887,0.11382917,0.51673084,0.51316285,tuning
120,176,0.028328326,0.054265756,0.02593743,0.012876095,0.17374577,0.50654614,0.5127824,tuning
122,180,0.052292123,0.04923068,-0.0030614445,0.014474009,0.088765405,0.5124772,0.5117574,tuning
124,185,0.080937594,0.10070981,0.019772206,0.013274573,0.14289002,0.5194224,0.52414936,tuning
133,196,0.067908354,0.07114902,0.0032406577,0.0075587826,0.04934505,0.5164239,0.5172031,tuning
136,203,0.079081334,0.08117496,0.0020936262,0.013054474,0.079327755,0.51884747,0.51938444,tuning
137,204,0.07383187,0.061803564,-0.012028304,0.021135915,0.14591318,0.5177789,0.514797,tuning
140,207,0.09144033,0.08564522,-0.005795111,0.01918799,0.12026405,0.5218825,0.52052146,tuning
141,208,0.075735554,0.05919585,-0.016539702,0.0101322,0.11637885,0.5182232,0.5142306,tuning
144,216,0.058871944,0.052793622,-0.0060783285,0.010439894,0.07248275,0.51409125,0.51263076,tuning
147,222,0.05592365,0.063796766,0.007873119,0.015541257,0.10453038,0.5133947,0.515204,tuning
148,223,0.017606815,0.00501707,-0.0125897415,0.020233244,0.14298213,0.5042318,0.501241,tuning
149,224,0.06790418,0.055812035,-0.012092141,0.010695113,0.096859656,0.51629746,0.5133651,tuning
150,225,0.09131008,0.090388864,-0.0009212059,0.015863629,0.09534212,0.5217945,0.5216034,tuning
153,230,0.062405102,0.054867785,-0.007537317,0.0073097358,0.06299811,0.51489043,0.51304436,tuning
155,232,0.018193712,0.06568368,0.047489956,0.012051507,0.2939715,0.5042765,0.5157743,tuning
156,233,0.06518099,0.050377052,-0.014803929,0.010503676,0.1089101,0.5155581,0.5119508,tuning
158,235,0.032413382,0.013043972,-0.019369416,0.017919485,0.15832296,0.50775075,0.5030726,tuning
164,247,0.024602758,0.02779652,0.0031937582,0.011987586,0.074434415,0.50587857,0.50665975,tuning
166,249,0.05510928,0.044884305,-0.010224975,0.012140779,0.09523734,0.513211,0.510761,tuning
168,253,0.04536761,0.032256633,-0.013110982,0.013743614,0.11396601,0.510942,0.5077498,tuning
170,256,0.07535644,0.080912694,0.0055562463,0.016900014,0.10673969,0.51813453,0.5195128,tuning
174,260,0.04571335,0.08140783,0.03569448,0.015111691,0.23256941,0.5105857,0.5193206,tuning
