item_idx,item_id,base_edge_logit_mean,target_edge_logit_mean,residual_edge_logit_mean,residual_edge_logit_std,residual_l2_norm,base_edge_probability_mean,target_edge_probability_mean,stage
1,2,0.067077555,0.056592874,-0.010484685,0.015021106,0.109910145,0.51622367,0.5136507,tuning
2,3,0.08032468,0.05993286,-0.020391818,0.009880488,0.13595665,0.5192974,0.5143867,tuning
5,6,0.05321383,0.04005836,-0.013155475,0.0146351345,0.11807257,0.5128911,0.5096856,tuning
9,10,0.06689624,0.079580195,0.012683958,0.01692047,0.1268805,0.5161739,0.51921594,tuning
15,16,0.06506796,0.06640493,0.0013369763,0.0101430835,0.061384913,0.5156431,0.51595265,tuning
18,19,0.09322117,0.099027425,0.005806237,0.01737612,0.10992319,0.52222687,0.5236323,tuning
20,21,0.07039241,0.06675741,-0.003635009,0.01286551,0.08021501,0.51689595,0.51596326,tuning
21,22,0.07195203,0.059460387,-0.012491653,0.01150325,0.10188808,0.5172978,0.51426095,tuning
23,24,0.084940895,0.075886816,-0.00905408,0.012549443,0.09284791,0.52034247,0.51809335,tuning
24,25,0.0553691,0.04232817,-0.013040926,0.015906429,0.12341349,0.51333493,0.510139,tuning
28,29,0.055114947,0.0630993,0.007984359,0.025466051,0.16013029,0.51331943,0.51523757,tuning
31,32,0.0538198,0.06386637,0.010046574,0.012860725,0.09791806,0.51289797,0.5153221,tuning
32,34,0.048960745,0.050305057,0.0013443168,0.022454761,0.13496977,0.5117249,0.51201534,tuning
34,36,0.064625785,0.099345274,0.03471949,0.012718003,0.22185326,0.51534516,0.5236735,tuning
35,39,0.06361111,0.06847652,0.0048654145,0.016744489,0.1046222,0.51520735,0.51639485,tuning
37,42,0.082039565,0.077916354,-0.0041232095,0.010581408,0.0681382,0.51966673,0.51869714,tuning
39,44,0.08152363,0.07647916,-0.00504446,0.014647119,0.09294863,0.5196792,0.518491,tuning
40,45,0.07336983,0.033368215,-0.040001616,0.02003268,0.26842457,0.51750636,0.50782776,tuning
42,47,0.049040332,0.049951553,0.00091122533,0.012475723,0.075053744,0.51184136,0.5120642,tuning
43,48,0.077334456,0.0707966,-0.0065378547,0.018468894,0.11755156,0.51871514,0.51715577,tuning
44,50,0.040760335,0.08330731,0.042546973,0.0058491607,0.2576829,0.5098177,0.52018714,tuning
45,52,0.06934475,0.05043181,-0.018912936,0.012619808,0.13642035,0.5165584,0.511992,tuning
