item_idx,item_id,base_edge_logit_mean,target_edge_logit_mean,residual_edge_logit_mean,residual_edge_logit_std,residual_l2_norm,base_edge_probability_mean,target_edge_probability_mean,stage
1,2,-0.002556911,0.008219955,0.010776863,0.012733711,0.10009184,0.49917853,0.5017822,tuning
2,3,0.029709974,0.003930693,-0.02577928,0.025232654,0.21643773,0.5068126,0.500592,tuning
5,6,-0.025242623,-0.039385106,-0.01414249,0.014158816,0.12007229,0.49371454,0.4903311,tuning
9,10,-0.009058739,0.014322072,0.023380812,0.01842087,0.17859358,0.4976049,0.5032575,tuning
15,16,-0.019744836,-0.02979568,-0.010050844,0.011864232,0.09329556,0.49500716,0.49257538,tuning
18,19,0.043092176,0.032813136,-0.010279041,0.021185176,0.14128317,0.5100354,0.50751513,tuning
20,21,-0.022564504,-0.02959357,-0.0070290617,0.009178101,0.06936302,0.49436346,0.4926426,tuning
21,22,0.025103169,0.020093873,-0.0050092926,0.013993756,0.08917991,0.5057275,0.50451374,tuning
23,24,0.008012662,0.0065173325,-0.0014953305,0.012630155,0.076310195,0.50167495,0.5012954,tuning
24,25,-0.047974426,-0.056365296,-0.008390876,0.017704867,0.11755546,0.4882707,0.4862549,tuning
28,29,-0.05596275,-0.057274327,-0.0013115829,0.02834015,0.1702229,0.48628828,0.48600987,tuning
31,32,-0.046480525,-0.036302105,0.010178434,0.013057347,0.09933485,0.48867348,0.49116966,tuning
32,34,-0.050080504,-0.05875896,-0.008678457,0.022100661,0.14246112,0.48775032,0.48570082,tuning
34,36,-0.028523011,-0.021654474,0.0068685445,0.0098035885,0.07182159,0.4928606,0.49452728,tuning
35,39,-0.03021113,-0.04642228,-0.016211143,0.012942942,0.12446507,0.49252203,0.48858956,tuning
37,42,0.037888587,0.043135222,0.0052466346,0.019084662,0.11875628,0.5088099,0.5100233,tuning
39,44,0.03576161,0.010340847,-0.025420757,0.013659073,0.17314811,0.5083565,0.50218374,tuning
40,45,-0.009472296,-0.03864376,-0.02917147,0.015757948,0.19893304,0.49746758,0.49040297,tuning
42,47,-0.049816564,-0.043804765,0.0060117934,0.01325998,0.087354876,0.4877721,0.48928037,tuning
43,48,0.021203743,0.02442175,0.0032180066,0.013712965,0.084512934,0.5048578,0.5057057,tuning
44,50,-0.06831639,-0.035780564,0.032535832,0.016823139,0.21976702,0.48325947,0.49120882,tuning
45,52,-0.020739095,-0.028851045,-0.008111943,0.013701945,0.09553894,0.49481672,0.4928287,tuning
47,58,-0.036532726,-0.013235977,0.023296751,0.009074575,0.15001038,0.49093628,0.49657652,tuning
48,60,-0.001315871,-0.024632458,-0.023316592,0.0132916635,0.16103397,0.49945328,0.4938706,tuning
