item_idx,item_id,base_edge_logit_mean,target_edge_logit_mean,residual_edge_logit_mean,residual_edge_logit_std,residual_l2_norm,base_edge_probability_mean,target_edge_probability_mean,stage
1,2,0.08438884,0.07885959,-0.005529248,0.02175706,0.13469195,0.520269,0.5188201,tuning
2,3,0.08833197,0.06356303,-0.02476894,0.013304177,0.16869514,0.5211727,0.515175,tuning
5,6,0.034430098,0.032409854,-0.0020202447,0.013187587,0.080048606,0.50828874,0.5078239,tuning
9,10,0.08367277,0.11566407,0.031991288,0.014681465,0.21119554,0.5199973,0.52770615,tuning
15,16,0.05410254,0.053074293,-0.0010282429,0.013045056,0.0785131,0.5127998,0.5125711,tuning
18,19,0.12604615,0.1354276,0.009381449,0.022079928,0.14394185,0.52956784,0.53181744,tuning
20,21,0.04587339,0.025465913,-0.020407476,0.008573371,0.1328113,0.51095706,0.5059877,tuning
21,22,0.081103116,0.07309793,-0.008005171,0.012603383,0.08958465,0.5193512,0.51737696,tuning
23,24,0.09263512,0.08536562,-0.0072695017,0.008344481,0.06640133,0.5219788,0.520165,tuning
24,25,0.04568866,0.0153515935,-0.030337062,0.019086028,0.21504907,0.5110342,0.50366473,tuning
28,29,0.020272128,0.04136657,0.021094443,0.025255442,0.1974367,0.5048592,0.5100316,tuning
31,32,0.029963633,0.04646079,0.01649715,0.008412508,0.111109614,0.50708973,0.51109,tuning
32,34,0.035058945,0.036466014,0.001407068,0.019906215,0.1197353,0.50837487,0.5087213,tuning
34,36,0.05062681,0.06824723,0.017620428,0.012139885,0.12838544,0.511883,0.51611453,tuning
35,39,0.055962402,0.04772242,-0.008239983,0.0148739,0.10202298,0.5134256,0.5113954,tuning
37,42,0.11072803,0.11480493,0.0040768967,0.017241267,0.10630036,0.5262705,0.52718014,tuning
39,44,0.10094932,0.09651679,-0.0044325357,0.010432202,0.068008944,0.52416366,0.5230715,tuning
40,45,0.07159988,0.041038267,-0.030561613,0.018495705,0.21433552,0.5168552,0.50949466,tuning
42,47,0.038392287,0.04786071,0.009468426,0.007830302,0.07372063,0.5091365,0.51145506,tuning
43,48,0.09486232,0.08707433,-0.0077879857,0.01648705,0.10940347,0.52274346,0.5209289,tuning
44,50,0.023580618,0.055543832,0.031963214,0.011177686,0.20316781,0.5055337,0.5133517,tuning
45,52,0.05107011,0.042270917,-0.008799192,0.009827115,0.07914497,0.51218003,0.5100069,tuning
47,58,0.028521154,0.050660744,0.022139592,0.010242219,0.14636369,0.50665474,0.5120396,tuning
48,60,0.08129703,0.062438138,-0.018858897,0.012402097,0.13542864,0.5194822,0.5149246,tuning
50,62,0.058707688,0.072827086,0.0141194,0.0131146675,0.115622975,0.5139077,0.5172796,tuning
55,69,0.060282547,0.05554178,-0.004740779,0.0125811,0.080668,0.51432675,0.5132394,tuning
56,70,0.0847866,0.07154633,-0.013240273,0.008858948,0.09558393,0.52026284,0.5170709,tuning
59,73,0.039679363,0.04728842,0.007609061,0.011782361,0.08415454,0.50943065,0.5112985,tuning
66,86,0.06890795,0.06091466,-0.007993277,0.010070526,0.07714329,0.5165098,0.5145584,tuning
69,89,0.10301444,0.10582242,0.002807984,0.01636284,0.09961216,0.5245174,0.5250638,tuning
73,95,0.1134227,0.09460704,-0.018815663,0.014930358,0.14411806,0.5271008,0.52258575,tuning
75,101,0.023556521,0.011942026,-0.011614495,0.013652227,0.10754568,0.50564665,0.5028546,tuning
77,105,0.07726273,0.051736213,-0.025526516,0.018704548,0.18987542,0.51835716,0.5121844,tuning
81,112,0.07184539,0.047350243,-0.024495153,0.012060271,0.16381897,0.51723915,0.51130843,tuning
86,125,0.049409345,0.059835274,0.010425933,0.012469803,0.09752465,0.5116964,0.51417065,tuning
91,141,0.06413967,0.06471934,0.000579669,0.012497776,0.07506727,0.51523423,0.5153029,tuning
92,144,0.07914703,0.057713084,-0.02143395,0.011104349,0.14483766,0.51861143,0.513466,tuning
93,145,0.08906284,0.08166339,-0.007399453,0.015040541,0.10057292,0.52133775,0.51953983,tuning
95,150,0.042818263,0.06610037,0.023282107,0.016628865,0.17166457,0.51004046,0.51558465,tuning
96,151,0.05429376,0.042664036,-0.011629726,0.0198077,0.13781668,0.5129645,0.5100818,tuning
98,153,0.12040807,0.12655547,0.0061473856,0.014671832,0.095445834,0.5284187,0.5298275,tuning
106,161,0.06340358,0.06048431,-0.002919266,0.013604044,0.08348243,0.51498395,0.51423985,tuning
107,162,0.034542788,0.028388219,-0.006154569,0.017335033,0.11037099,0.50814134,0.50667685,tuning
109,164,0.0541547,0.040904503,-0.013250199,0.013317803,0.11271886,0.51297307,0.5097795,tuning
110,165,0.073135614,0.08085198,0.007716366,0.010981538,0.08052897,0.51748097,0.5193329,tuning
112,168,0.10720431,0.11539265,0.008188326,0.015910523,0.10736369,0.5253638,0.52723676,tuning
114,170,0.10270563,0.10549023,0.0027845916,0.011756975,0.07249341,0.5245004,0.5251272,tuning
116,172,0.12985237,0.12888627,-0.00096612197,0.013726184,0.08256085,0.5305815,0.53040683,tuning
119,175,0.05294923,0.036762048,-0.016187178,0.011679262,0.11976426,0.5124371,0.50852525,tuning
120,176,0.0337231,0.059629407,0.02590631,0.0121662915,0.17172535,0.50806314,0.51434207,tuning
122,180,0.0677937,0.061785083,-0.006008613,0.016550465,0.10564453,0.51616204,0.51476395,tuning
124,185,0.112692274,0.12533374,0.012641468,0.017094504,0.1275658,0.5265475,0.5294272,tuning
133,196,0.11201334,0.11003219,-0.0019811494,0.014218611,0.08613581,0.5265486,0.5260127,tuning
136,203,0.078841954,0.0781078,-0.0007341561,0.011432513,0.06873637,0.5187449,0.51861024,tuning
137,204,0.09998607,0.09346961,-0.006516458,0.011356612,0.07856034,0.5239542,0.5223162,tuning
140,207,0.07578212,0.054762382,-0.021019734,0.01662629,0.16080254,0.5180811,0.5130264,tuning
141,208,0.10537103,0.091947705,-0.013423327,0.015790153,0.12434841,0.52514344,0.5219414,tuning
144,216,0.081344865,0.09962727,0.0182824,0.019323261,0.15960844,0.51939255,0.5238336,tuning
147,222,0.08520848,0.08687832,0.0016698347,0.008882859,0.054230686,0.5202868,0.5206657,tuning
148,223,0.026055027,0.0035667883,-0.022488242,0.028129881,0.21608426,0.50614136,0.5008023,tuning
149,224,0.078479916,0.06729564,-0.011184267,0.016855316,0.121370606,0.5186024,0.5158206,tuning
150,225,0.094594635,0.087347925,-0.007246708,0.017765574,0.11512035,0.522308,0.52049327,tuning
153,230,0.07651508,0.058315568,-0.01819951,0.013655958,0.1365191,0.51817346,0.5137947,tuning
155,232,0.026871592,0.07285242,0.045980826,0.011541907,0.2844438,0.5062525,0.5173567,tuning
156,233,0.060359497,0.041048907,-0.019310592,0.009610873,0.1294204,0.5142747,0.5095582,tuning
158,235,0.040685732,0.016760644,-0.023925086,0.019057225,0.18352425,0.5096442,0.5039174,tuning
164,247,0.025070602,0.02856163,0.0034910266,0.014379713,0.08878447,0.5060247,0.5069055,tuning
166,249,0.04012551,0.02727689,-0.012848624,0.01045681,0.09939594,0.50965226,0.5065569,tuning
168,253,0.060445342,0.06618828,0.0057429466,0.009633017,0.06729006,0.51438904,0.51579803,tuning
170,256,0.10858285,0.115389265,0.006806425,0.013308392,0.0896876,0.52582353,0.5274187,tuning
174,260,0.030423714,0.050898984,0.02047527,0.019788804,0.17085081,0.5066785,0.51169574,tuning
175,261,0.078364715,0.07084158,-0.0075231367,0.012050592,0.08523683,0.51847196,0.5165788,tuning
177,265,0.03259711,0.030131005,-0.0024661086,0.01132087,0.06951818,0.5077239,0.5071177,tuning
178,266,0.062249992,0.02001322,-0.042236768,0.015460952,0.26986566,0.5149449,0.50473,tuning
182,272,0.056471203,0.043948524,-0.012522672,0.009934274,0.09590754,0.5133117,0.5103176,tuning
183,273,0.09687869,0.10062274,0.0037440439,0.01303164,0.081352904,0.52297664,0.52382636,tuning
187,280,0.06459668,0.06305569,-0.0015409982,0.016675742,0.100480765,0.5152104,0.51478773,tuning
189,282,0.09854821,0.09715383,-0.0013943748,0.020630855,0.12406754,0.523185,0.52270985,tuning
190,288,0.068024755,0.032208517,-0.03581624,0.013324928,0.2292877,0.51635516,0.50765973,tuning
193,292,0.10021282,0.12724894,0.027036123,0.02495487,0.22075577,0.5237917,0.53031856,tuning
194,293,0.029381862,0.03844471,0.009062845,0.012986826,0.09501863,0.50691265,0.50908333,tuning
195,296,0.025904283,0.038743384,0.0128390975,0.017328948,0.1294019,0.5061323,0.509308,tuning
199,303,0.10947785,0.09101737,-0.01846047,0.017116752,0.15104897,0.5261361,0.52171487,tuning
202,307,0.02964588,0.033910546,0.0042646662,0.016280511,0.10097885,0.50683,0.5079064,tuning
203,308,0.026938798,0.041615408,0.014676607,0.0076001324,0.09916619,0.5061919,0.50975776,tuning
205,314,0.047032237,0.029500118,-0.01753212,0.012553386,0.12937798,0.51114124,0.5069399,tuning
207,316,0.077128306,0.10223498,0.025106678,0.026475707,0.2189226,0.5184942,0.5244946,tuning
208,317,0.089267105,0.0832681,-0.0059989975,0.010097715,0.070471734,0.5212209,0.51971793,tuning
