split,item_id,item_idx,phase,graph_sample_count,graph_mean,graph_std_within,graph_between_sample_std,graph_density_gt_0_5,graph_diag_mean,graph_distance_from_cold,graph_distance_from_previous_phase,mean_absolute_score_change_from_cold,score_correlation_with_cold,support_loss_before_guidance,support_loss_after_guidance,guidance_loss_mean,guidance_loss_last,raw_guidance_gradient_norm_mean,raw_guidance_gradient_norm_max,warm_start_timestep,embedding_support_loss_before,embedding_support_loss_after,local_item_embedding_delta_norm,sampling_seconds
validation,1,0,Cold,6,0.5575017929077148,0.183631032705307,0.0028587293345481157,0.551440329218107,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003002585028298199
validation,1,0,Warm A,6,0.5575112104415894,0.18367822468280792,0.0025341107975691557,0.5555555555555556,1.0,0.0009867564076557755,0.0009867564076557755,0.14307202398777008,0.9345476195488295,0.39957350492477417,0.39961695671081543,0.3996184289455414,0.39961695671081543,0.0019553942858086277,0.002410069340839982,22.0,0.5157155394554138,0.3849623203277588,0.21267282962799072,0.05024663102813065
validation,1,0,Warm B,6,0.5573131442070007,0.18370333313941956,0.002464480232447386,0.5555555555555556,1.0,0.001285725156776607,0.0007873143185861409,0.21068845689296722,0.8569914392839371,0.36467015743255615,0.36471328139305115,0.36471285820007326,0.36471328139305115,0.0015432175210056205,0.0018933846149593592,22.0,0.39064741134643555,0.36098381876945496,0.3017437160015106,0.03557896998245269
validation,1,0,Warm C,6,0.5572735071182251,0.18374234437942505,0.002323679393157363,0.551440329218107,1.0,0.00166408927179873,0.0009076306014321744,0.16118033230304718,0.9194663846508557,0.4290519654750824,0.4290415644645691,0.429040852189064,0.4290415644645691,0.0016958927658076088,0.002068829257041216,22.0,0.4576455056667328,0.4226437509059906,0.27968454360961914,0.03726688295137137
validation,5,4,Cold,6,0.5572609901428223,0.19048956036567688,0.0025035645812749863,0.5637860082304527,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028372350498102605
validation,5,4,Warm A,6,0.557243824005127,0.19043183326721191,0.002161479089409113,0.5596707818930041,1.0,0.0009207885013893247,0.0009207885013893247,0.1873188316822052,0.80061684517609,0.3808096647262573,0.3808198869228363,0.3808220773935318,0.3808199167251587,0.0018199799427141745,0.0021531509701162577,22.0,0.5671497583389282,0.36204060912132263,0.27069002389907837,0.037337519985157996
validation,5,4,Warm B,6,0.557212769985199,0.19041520357131958,0.001997982384636998,0.5555555555555556,1.0,0.0012645932147279382,0.0007870025583542883,0.23343542218208313,0.76051517311765,0.4385952949523926,0.4385930299758911,0.4385944217443466,0.4385930895805359,0.0014780254879345498,0.001648951438255608,22.0,0.4558440148830414,0.4359978139400482,0.3171287775039673,0.037269459979142994
validation,5,4,Warm C,6,0.5571587085723877,0.19045022130012512,0.0018192364368587732,0.5555555555555556,1.0,0.0014846968697384,0.0008152675582095981,0.22060325741767883,0.7018475753610329,0.4226667881011963,0.4227004051208496,0.42270260453224184,0.4227004647254944,0.0015916536445729434,0.001835096045397222,22.0,0.43642672896385193,0.42229408025741577,0.4086626172065735,0.03736490098526701
validation,7,6,Cold,6,0.5595099329948425,0.18423867225646973,0.0025800454895943403,0.551440329218107,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002817077038343996
validation,7,6,Warm A,6,0.559547483921051,0.18413878977298737,0.0022167693823575974,0.551440329218107,1.0,0.0009469055221416056,0.0009469055221416056,0.0889812633395195,0.8524088815035974,0.6173816919326782,0.6173986196517944,0.6174000561237335,0.6173986196517944,0.0018925757496617735,0.0023209992796182632,22.0,0.7004508972167969,0.6053832173347473,0.21528081595897675,0.037327302037738264
validation,7,6,Warm B,6,0.5594566464424133,0.184064581990242,0.0019705372396856546,0.551440329218107,1.0,0.0014369470300152898,0.0009199450723826885,0.07951980084180832,0.8885222506759273,0.5988137125968933,0.5988383293151855,0.5988389074802398,0.5988383293151855,0.0017272185049174973,0.0020653840620070696,22.0,0.6438049077987671,0.5925071835517883,0.3118657171726227,0.037319105002097785
validation,7,6,Warm C,6,0.5595932602882385,0.18398417532444,0.00180950912181288,0.551440329218107,1.0,0.0017825552495196462,0.0008646511123515666,0.07967769354581833,0.8689149203489993,0.6047018766403198,0.6046732664108276,0.6046729981899261,0.6046732664108276,0.0016466826375108213,0.0021854403894394636,22.0,0.6224896907806396,0.6024129390716553,0.40384340286254883,0.0375443950179033
validation,11,10,Cold,6,0.5602427124977112,0.18272905051708221,0.0023892696481198072,0.5555555555555556,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028308979817666113
validation,11,10,Warm A,6,0.5602577328681946,0.1826850026845932,0.002135526854544878,0.5555555555555556,1.0,0.000865609326865524,0.000865609326865524,0.12272241711616516,0.9163077412517052,0.46940454840660095,0.46936294436454773,0.46936486959457396,0.4693629741668701,0.0016783628845587373,0.002032368676736951,22.0,0.5618947744369507,0.44556936621665955,0.16664664447307587,0.03741980198537931
validation,11,10,Warm B,6,0.560164749622345,0.18274171650409698,0.0020165550522506237,0.551440329218107,1.0,0.0011580773862078786,0.0007555809570476413,0.0966327041387558,0.8131810217419743,0.5002892017364502,0.5003218650817871,0.5003225803375244,0.5003218650817871,0.0014950912911444903,0.0018942768219858408,22.0,0.560082197189331,0.48813101649284363,0.3091069757938385,0.03724931797478348
validation,11,10,Warm C,6,0.5600041151046753,0.1827799677848816,0.0019873175770044327,0.551440329218107,1.0,0.0014378618216142058,0.0007879309705458581,0.14830754697322845,0.7551475792038957,0.4783383309841156,0.478397935628891,0.478399658203125,0.47839802503585815,0.0015376466772674272,0.0019580312073230743,22.0,0.5007085800170898,0.4751952588558197,0.3922257721424103,0.037352860963437706
validation,17,16,Cold,6,0.560184895992279,0.179440438747406,0.0024810312315821648,0.551440329218107,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028158750501461327
