item_idx,item_id,base_edge_logit_mean,target_edge_logit_mean,residual_edge_logit_mean,residual_edge_logit_std,residual_l2_norm,base_edge_probability_mean,target_edge_probability_mean,stage
1,2,0.028619733,0.01724123,-0.011378509,0.015217292,0.11400577,0.50630426,0.5034958,tuning
2,3,0.050029732,0.040319517,-0.009710224,0.014514402,0.10477799,0.51129067,0.50901604,tuning
5,6,0.0031468933,-0.014215302,-0.0173622,0.018422151,0.15188673,0.5002916,0.49614218,tuning
9,10,0.034991458,0.06394842,0.028956963,0.017837105,0.20405893,0.5077562,0.51465493,tuning
15,16,0.020743089,0.023046128,0.0023030345,0.013823467,0.084084004,0.5044295,0.5050156,tuning
18,19,0.05892894,0.059374675,0.00044573285,0.018610863,0.1116972,0.5129242,0.51300645,tuning
20,21,0.0256204,0.011899117,-0.013721289,0.011792058,0.108552985,0.5055119,0.5021879,tuning
21,22,0.061539676,0.061070006,-0.00046966417,0.017991928,0.10798835,0.51416177,0.51403636,tuning
23,24,0.054598823,0.052105043,-0.0024937768,0.017878009,0.10830659,0.5123942,0.51173246,tuning
24,25,-0.009676978,-0.038362436,-0.028685458,0.01954082,0.20825264,0.49735042,0.4904284,tuning
28,29,-0.018408451,-0.014287687,0.0041207615,0.026763821,0.16247518,0.49518272,0.4961683,tuning
31,32,-0.0049361545,0.0075287395,0.012464889,0.0129981525,0.10805422,0.49838755,0.5013448,tuning
32,34,-0.017698593,-0.018849172,-0.0011505851,0.024431162,0.14674944,0.49531037,0.4950298,tuning
34,36,0.02560794,0.030335264,0.0047273315,0.015722899,0.09850918,0.5055737,0.5066395,tuning
35,39,0.024664287,0.016327778,-0.00833651,0.01924377,0.12583132,0.50533414,0.5033426,tuning
37,42,0.07443307,0.09935621,0.024923148,0.012764143,0.1680093,0.5170834,0.52304107,tuning
39,44,0.06506055,0.06948316,0.004422614,0.01200758,0.076776914,0.5147965,0.5157926,tuning
40,45,0.012864558,-0.00642386,-0.019288413,0.014200167,0.14371067,0.50240046,0.49781233,tuning
42,47,-0.005035762,-0.011708535,-0.006672768,0.014233999,0.094322704,0.49834925,0.49675968,tuning
43,48,0.06458108,0.07347941,0.008898329,0.012164327,0.090429194,0.5148943,0.51702243,tuning
44,50,-0.017240614,0.008875374,0.026115987,0.014956407,0.18057299,0.4953977,0.5016911,tuning
45,52,-0.012034916,-0.022523688,-0.010488774,0.01766539,0.12326757,0.49650657,0.49397245,tuning
47,58,-0.00017644961,0.03151526,0.031691715,0.011836522,0.20297992,0.4995436,0.50722194,tuning
48,60,0.026061043,0.00020821889,-0.025852818,0.014921115,0.17909853,0.50571686,0.4995238,tuning
50,62,0.045303125,0.0545277,0.009224575,0.010667938,0.08461866,0.51021326,0.51241064,tuning
55,69,-0.014204164,-0.037305873,-0.023101714,0.014694031,0.16427337,0.49598175,0.4905454,tuning
56,70,0.03634608,0.03246194,-0.0038841409,0.011790815,0.074484594,0.50799054,0.5070559,tuning
59,73,0.023522897,0.021108601,-0.0024143027,0.012429008,0.07596794,0.50516766,0.5045925,tuning
66,86,0.035835057,0.0138378395,-0.02199721,0.007818985,0.1400732,0.5079378,0.5026474,tuning
69,89,0.04394971,0.038463023,-0.005486682,0.009346385,0.06502698,0.50985515,0.50850004,tuning
73,95,0.07956383,0.0805919,0.0010280714,0.011335217,0.06829046,0.5180673,0.5182662,tuning
75,101,-0.021936748,-0.018425787,0.003510966,0.013840382,0.08567257,0.49420664,0.49503073,tuning
77,105,0.048816517,0.03304861,-0.01576791,0.0111508155,0.11587422,0.51123214,0.5074646,tuning
81,112,0.011865739,-0.018682346,-0.030548083,0.013081284,0.19938654,0.50232965,0.49504015,tuning
86,125,-0.013589524,-0.0062745446,0.007314977,0.0117846895,0.08322236,0.49620485,0.49788564,tuning
91,141,0.016412595,0.0032954854,-0.013117111,0.014003121,0.11512279,0.5030741,0.4998571,tuning
92,144,0.004967566,0.002062228,-0.0029053427,0.0113310795,0.070185736,0.50049454,0.49977794,tuning
93,145,0.039936937,0.038383625,-0.001553308,0.010909431,0.06611674,0.50883085,0.5084122,tuning
95,150,0.037504714,0.068637624,0.031132916,0.01770341,0.21488623,0.50835854,0.51574427,tuning
96,151,0.023183167,0.008573159,-0.014610014,0.009006531,0.102978274,0.50517017,0.501625,tuning
98,153,0.06673325,0.087753326,0.021020068,0.014986839,0.154894,0.51509225,0.51998097,tuning
106,161,0.0368583,0.036924273,6.597707e-05,0.01947223,0.116834044,0.50828004,0.50817305,tuning
107,162,-0.019894548,-0.035835057,-0.0159405,0.012852206,0.12285779,0.4949858,0.49113974,tuning
109,164,0.018487211,0.006660888,-0.011826325,0.01690969,0.12380947,0.5039812,0.5010875,tuning
110,165,0.04818466,0.07142289,0.023238225,0.019992013,0.18392675,0.5107944,0.5161874,tuning
112,168,0.066319875,0.084763125,0.018443253,0.01783257,0.15392707,0.5152504,0.5195668,tuning
114,170,0.07550743,0.096484356,0.020976925,0.012424728,0.14628258,0.5172668,0.5222593,tuning
116,172,0.09868999,0.10232714,0.0036371585,0.016473662,0.10122241,0.5227145,0.52356124,tuning
119,175,0.031960677,0.008191746,-0.023768935,0.010316625,0.15546776,0.5070668,0.50139517,tuning
120,176,-0.011302862,0.009398056,0.020700922,0.014797206,0.1526744,0.49663597,0.50148565,tuning
122,180,0.015079326,0.01748333,0.0024040043,0.011988265,0.07336156,0.5028932,0.50350225,tuning
