item_idx,item_id,base_edge_logit_mean,target_edge_logit_mean,residual_edge_logit_mean,residual_edge_logit_std,residual_l2_norm,base_edge_probability_mean,target_edge_probability_mean,stage
1,2,0.056206405,0.071316496,0.015110087,0.023680478,0.16854338,0.51357824,0.5171981,tuning
2,3,0.07410749,0.047096025,-0.02701147,0.01657945,0.19016285,0.51781607,0.5113147,tuning
5,6,0.02785187,0.023025267,-0.004826607,0.0136709595,0.086987846,0.50672334,0.50556195,tuning
9,10,0.04919436,0.0829838,0.03378944,0.020412311,0.2368586,0.5118257,0.51998806,tuning
15,16,0.056508217,0.06585002,0.009341798,0.015919335,0.11074746,0.51354444,0.5158865,tuning
18,19,0.09155154,0.086642295,-0.0049092495,0.01868067,0.115889825,0.5218832,0.52079177,tuning
20,21,0.043565113,0.02439802,-0.0191671,0.008698445,0.12629117,0.51041085,0.50572807,tuning
21,22,0.07376692,0.0805994,0.0068324767,0.015447069,0.101344004,0.51771426,0.5192939,tuning
23,24,0.08336261,0.077097684,-0.0062649306,0.007898741,0.060489845,0.5199767,0.5184662,tuning
24,25,0.03243397,0.019453552,-0.012980419,0.011234818,0.103003144,0.5078771,0.50471807,tuning
28,29,0.011544229,0.007875044,-0.0036691858,0.03307542,0.1996699,0.5027208,0.50181735,tuning
31,32,0.028778762,0.052989885,0.024211131,0.010691816,0.15880106,0.5068841,0.5127585,tuning
32,34,0.032190472,0.03397693,0.0017864598,0.015688179,0.094737396,0.50769,0.50810385,tuning
34,36,0.051454525,0.06588249,0.014427962,0.013136207,0.11707321,0.5121546,0.51559526,tuning
35,39,0.051430963,0.054127026,0.0026960687,0.012634558,0.07751406,0.51226175,0.5128745,tuning
37,42,0.07266006,0.06845305,-0.004207011,0.013662795,0.08577501,0.5175359,0.5165349,tuning
39,44,0.06973388,0.05458652,-0.015147354,0.007824435,0.102293245,0.5169152,0.5132043,tuning
40,45,0.055640593,0.032049526,-0.023591064,0.020062206,0.18580931,0.5132594,0.50758475,tuning
42,47,0.043575667,0.056596756,0.01302109,0.009659785,0.09727779,0.51042837,0.5135587,tuning
43,48,0.07909819,0.08269308,0.0035948928,0.014674385,0.09064983,0.5190721,0.52002203,tuning
44,50,0.019632356,0.066975385,0.047343023,0.012352601,0.293568,0.504637,0.5161359,tuning
45,52,0.032943707,0.02346755,-0.009476157,0.011347361,0.08870268,0.50788534,0.5055884,tuning
47,58,0.03934714,0.04877865,0.009431516,0.007483778,0.07223971,0.50935596,0.51163363,tuning
48,60,0.065416135,0.050139334,-0.015276793,0.010454726,0.111069985,0.51581347,0.5120881,tuning
50,62,0.072883666,0.08617302,0.013289352,0.01231926,0.10872608,0.51729,0.52047026,tuning
55,69,0.03777384,0.026745388,-0.011028447,0.010809852,0.092656694,0.5090141,0.5063648,tuning
56,70,0.056340855,0.03665528,-0.019685574,0.016791979,0.1552473,0.5136759,0.5088933,tuning
59,73,0.04191401,0.040336993,-0.0015770127,0.011668378,0.070646785,0.5100125,0.5096122,tuning
66,86,0.07301368,0.052132867,-0.020880803,0.01473134,0.15332557,0.5175767,0.5125339,tuning
69,89,0.066473596,0.070290655,0.0038170542,0.011761397,0.074191734,0.5159822,0.51683944,tuning
73,95,0.0910209,0.090086035,-0.00093486614,0.009407048,0.056720324,0.52179694,0.5215559,tuning
75,101,0.021207832,0.01957104,-0.0016367893,0.01214309,0.073517434,0.50515044,0.5047579,tuning
77,105,0.05534097,0.027718997,-0.02762198,0.014598026,0.1874533,0.51340055,0.50670034,tuning
81,112,0.04887832,0.021369567,-0.02750875,0.011288495,0.17840911,0.51180005,0.50509495,tuning
86,125,0.033313222,0.05077983,0.017466612,0.014211794,0.13510764,0.50797963,0.51215816,tuning
91,141,0.053568315,0.04276444,-0.010803878,0.010220628,0.08923374,0.51274055,0.51012826,tuning
92,144,0.043868408,0.03897406,-0.004894344,0.0109848995,0.07215548,0.51055795,0.50935006,tuning
93,145,0.06204366,0.057099853,-0.0049438076,0.013548879,0.08653601,0.51495,0.51371354,tuning
95,150,0.06647745,0.09539514,0.028917704,0.013576289,0.19167621,0.5156215,0.52249944,tuning
96,151,0.054517884,0.04087968,-0.013638204,0.014059228,0.117523834,0.5131279,0.509761,tuning
98,153,0.08689409,0.083929814,-0.0029642682,0.014552229,0.08910642,0.52088886,0.5201718,tuning
106,161,0.04465488,0.0506297,0.0059748157,0.021665113,0.13484332,0.5107723,0.5121036,tuning
107,162,0.040384445,0.03133057,-0.009053875,0.013115487,0.09562212,0.5097575,0.5075112,tuning
109,164,0.05010228,0.03417138,-0.015930902,0.013746099,0.12624958,0.51209956,0.5082099,tuning
110,165,0.056920454,0.06914517,0.012224715,0.016098034,0.12128171,0.5136472,0.5165898,tuning
112,168,0.08163574,0.10260856,0.020972826,0.017723478,0.16475229,0.5196315,0.5246709,tuning
114,170,0.08186762,0.0738838,-0.007983832,0.01441729,0.098881714,0.51957303,0.5176605,tuning
116,172,0.08207802,0.0724765,-0.009601525,0.016647225,0.11530611,0.5198259,0.51753396,tuning
119,175,0.07096243,0.056035273,-0.014927155,0.011222401,0.11205106,0.5169373,0.5133476,tuning
120,176,0.030678464,0.057404637,0.026726179,0.011670247,0.17497829,0.5071313,0.51355904,tuning
122,180,0.053582594,0.05111294,-0.0024696519,0.014934142,0.0908218,0.51281166,0.5122403,tuning
124,185,0.08338681,0.10344675,0.020059941,0.012812131,0.14281413,0.52003217,0.5248282,tuning
133,196,0.06919852,0.0724584,0.0032598816,0.007516336,0.04915686,0.51675385,0.5175381,tuning
136,203,0.07979719,0.082312025,0.0025148215,0.012842603,0.07851907,0.5190567,0.5196943,tuning
137,204,0.0753957,0.06322786,-0.012167845,0.021145096,0.14637682,0.5181806,0.51516384,tuning
140,207,0.09400784,0.08857332,-0.0054345247,0.01918552,0.11964221,0.5225175,0.5212467,tuning
141,208,0.07720938,0.06090447,-0.016304918,0.010332506,0.1158188,0.5186084,0.51466966,tuning
144,216,0.059603427,0.053838186,-0.0057652425,0.00954473,0.06690468,0.5142934,0.5129082,tuning
147,222,0.057446256,0.064743094,0.007296837,0.015460707,0.10257672,0.51377594,0.5154464,tuning
148,223,0.020145727,0.007243981,-0.012901751,0.020106249,0.14333802,0.5048541,0.5017823,tuning
149,224,0.06791168,0.056698605,-0.011213068,0.010784021,0.0933435,0.5163421,0.5136238,tuning
150,225,0.09321938,0.09173051,-0.001488856,0.0160133,0.0964942,0.5222876,0.52196026,tuning
153,230,0.06513277,0.058102164,-0.007030598,0.007154918,0.06018636,0.5155709,0.5138516,tuning
155,232,0.019439358,0.06676095,0.04732159,0.011916695,0.29279387,0.5045921,0.51605386,tuning
156,233,0.06873671,0.05368097,-0.015055739,0.0098867845,0.10807061,0.5164206,0.5127566,tuning
158,235,0.03443359,0.014873922,-0.019559667,0.018287878,0.16066416,0.5082483,0.5035249,tuning
164,247,0.027440913,0.030344585,0.002903671,0.01168134,0.072220914,0.50658053,0.50729245,tuning
166,249,0.057930633,0.047289852,-0.010640779,0.012369272,0.09789842,0.5139006,0.5113498,tuning
168,253,0.047267888,0.033412807,-0.013855076,0.014463995,0.12017542,0.5114113,0.50803727,tuning
170,256,0.07702916,0.08221677,0.0051876134,0.016876828,0.105936736,0.51855993,0.51984704,tuning
174,260,0.048277732,0.08453132,0.03625359,0.014570661,0.23443246,0.5112146,0.5200815,tuning
175,261,0.07224388,0.089237876,0.016994007,0.021400757,0.1639646,0.5171288,0.52110124,tuning
177,265,0.05882098,0.051476173,-0.007344807,0.007503068,0.06299777,0.51402307,0.5122235,tuning
178,266,0.05237064,0.021998331,-0.030372305,0.014310738,0.20144944,0.512729,0.50531745,tuning
182,272,0.037199352,0.03506612,-0.0021332325,0.016749231,0.1013072,0.508903,0.50844246,tuning
183,273,0.08537778,0.07252876,-0.012849016,0.017564518,0.13057543,0.52060604,0.5174771,tuning
187,280,0.05331005,0.05910882,0.005798771,0.010562692,0.07229843,0.51271,0.51410776,tuning
189,282,0.08833495,0.08077873,-0.007556213,0.017336192,0.11346821,0.5210386,0.519109,tuning
190,288,0.06018253,0.028639926,-0.031542603,0.0164356,0.2134065,0.5145689,0.50690913,tuning
193,292,0.078793615,0.08278195,0.003988339,0.019115375,0.1171621,0.5187768,0.51970685,tuning
194,293,0.021887597,0.030865673,0.008978076,0.011312671,0.08665429,0.505226,0.50741357,tuning
195,296,0.027490366,0.03958103,0.012090664,0.012070898,0.10250886,0.5066272,0.50958294,tuning
199,303,0.07125283,0.057530746,-0.013722081,0.013960378,0.11745108,0.51725316,0.5139211,tuning
202,307,0.027741741,0.033160847,0.005419098,0.0255532,0.15672898,0.50652957,0.50795287,tuning
203,308,0.044980615,0.03187742,-0.013103192,0.01118305,0.10335934,0.5107247,0.50757354,tuning
205,314,0.054740496,0.046028044,-0.008712447,0.010324364,0.081055366,0.5130831,0.51095057,tuning
207,316,0.05566811,0.07387218,0.01820407,0.023148328,0.17669295,0.5134369,0.51779395,tuning
208,317,0.063831344,0.09006753,0.026236184,0.021018535,0.20170319,0.51536274,0.521668,tuning
209,318,0.044021357,0.08928612,0.045264766,0.008595041,0.2764414,0.5103888,0.5213356,tuning
210,319,0.033510614,0.032468904,-0.0010417122,0.016968809,0.10200453,0.5079911,0.5077909,tuning
214,327,0.06795886,0.06570019,-0.002258671,0.009833694,0.060538527,0.5164503,0.5159215,tuning
216,329,0.061017115,0.051779594,-0.009237511,0.010590926,0.08432067,0.5147459,0.5124746,tuning
219,333,0.06080809,0.06164562,0.0008375292,0.0118513815,0.07128563,0.5144793,0.5146808,tuning
221,337,0.04749114,0.05886205,0.0113709085,0.013164733,0.10437374,0.51128614,0.51396847,tuning
222,338,0.07294738,0.06468704,-0.008260338,0.0075233146,0.06703733,0.5176134,0.5156133,tuning
223,339,0.069109164,0.066369265,-0.002739894,0.017502358,0.106293105,0.5165725,0.51580006,tuning
225,342,0.038930744,0.03703658,-0.0018941624,0.016002027,0.09668247,0.5093297,0.5088174,tuning
226,344,0.06672728,0.057046004,-0.009681289,0.010029823,0.08364023,0.5159916,0.513654,tuning
227,345,0.053785276,0.047909603,-0.0058756806,0.010704029,0.07326387,0.51278836,0.5113849,tuning
229,348,0.023394346,0.017137624,-0.006256719,0.011710497,0.0796628,0.505634,0.5041298,tuning
232,351,0.06583297,0.075344756,0.009511788,0.011763006,0.09076523,0.51588655,0.51818323,tuning
234,353,0.050553083,0.020317644,-0.030235436,0.010312725,0.1916748,0.5122292,0.50484574,tuning
236,355,0.101611435,0.11712459,0.015513148,0.026044942,0.18188976,0.524371,0.5282161,tuning
237,356,0.041951526,0.061747875,0.019796357,0.010646871,0.13486683,0.5101404,0.5149254,tuning
238,357,0.02966404,0.02390606,-0.0057579773,0.016992822,0.10765116,0.5071282,0.50565946,tuning
241,361,0.08120975,0.08916612,0.007956374,0.015941668,0.10690119,0.5194536,0.5213457,tuning
247,367,0.0643038,0.06297634,-0.001327462,0.00985239,0.059648488,0.5154441,0.5151439,tuning
248,368,0.05641905,0.049731605,-0.006687441,0.013058758,0.08802903,0.513617,0.5120113,tuning
249,370,0.08571877,0.064741924,-0.020976849,0.016897215,0.16161555,0.520494,0.51553756,tuning
250,371,0.07298216,0.06827471,-0.0047074575,0.012886333,0.08231549,0.5175479,0.5164271,tuning
251,372,0.08774153,0.068671755,-0.01906978,0.010504954,0.13063069,0.52091616,0.5163604,tuning
252,373,0.054726884,0.062192142,0.0074652582,0.01096124,0.079571605,0.5129602,0.51476276,tuning
254,376,0.07111276,0.08865363,0.017540874,0.019277362,0.15638018,0.5170656,0.5212761,tuning
255,377,0.059815772,0.044393208,-0.015422566,0.013797527,0.124161914,0.51435363,0.51054317,tuning
258,380,0.049056605,0.037839234,-0.011217372,0.0065554893,0.07795472,0.5117844,0.5090365,tuning
260,382,0.0662572,0.060982924,-0.0052742707,0.012141404,0.07942505,0.51606834,0.5147455,tuning
261,383,0.057742104,0.055857617,-0.0018844948,0.013692469,0.08292925,0.5140469,0.51358867,tuning
265,405,0.096367955,0.10834336,0.011975401,0.01063623,0.09610112,0.5232184,0.5261642,tuning
268,410,0.07593669,0.06145101,-0.014485667,0.01437991,0.12246709,0.51822716,0.5147664,tuning
269,412,0.07899671,0.061200578,-0.017796129,0.012578092,0.13075466,0.5187608,0.5145039,tuning
274,417,0.037146017,0.033748966,-0.003397055,0.013597944,0.0840951,0.50901186,0.5081819,tuning
276,420,0.08269402,0.09972144,0.017027434,0.017789202,0.14774983,0.5199304,0.52403265,tuning
281,426,0.067796215,0.062014893,-0.005781332,0.018776124,0.1178762,0.5163786,0.5149275,tuning
283,428,0.052259378,0.058181543,0.0059221606,0.009368324,0.06649924,0.51236856,0.5137824,tuning
285,431,0.058293436,0.05650417,-0.001789265,0.0077455495,0.04769717,0.51394325,0.5134976,tuning
287,434,0.09267169,0.106989324,0.014317635,0.010385877,0.10612729,0.52229047,0.5257513,tuning
288,435,0.08191793,0.08258861,0.00067068567,0.012557801,0.07545419,0.5197494,0.51992214,tuning
292,440,0.046366956,0.06468882,0.018321855,0.020221362,0.1637235,0.5110426,0.5153774,tuning
297,446,0.037471622,0.055839393,0.018367771,0.008238546,0.12078474,0.5088934,0.51337826,tuning
300,450,0.07559766,0.082536966,0.006939304,0.016207412,0.10578294,0.51809174,0.519748,tuning
303,454,0.07716176,0.07346335,-0.0036984074,0.010687244,0.0678545,0.5182847,0.51739424,tuning
304,455,0.08656818,0.09064717,0.004078998,0.023998134,0.14605394,0.52085966,0.5219287,tuning
306,457,0.03798633,0.05790399,0.01991766,0.012859333,0.1422488,0.5090201,0.5138476,tuning
312,466,0.082457066,0.07370813,-0.008748932,0.01033859,0.08126186,0.5198235,0.5177338,tuning
315,471,0.039570034,0.023511052,-0.016058978,0.009151864,0.110902235,0.5095421,0.5056188,tuning
318,475,0.060425717,0.07480564,0.01437991,0.01298397,0.11624608,0.51426196,0.5176561,tuning
321,480,0.040949732,0.056046154,0.0150964195,0.017676152,0.13947235,0.5098899,0.5135672,tuning
322,481,0.0719966,0.05054828,-0.02144831,0.008723969,0.13892788,0.51716065,0.5119607,tuning
325,485,0.09636463,0.08582398,-0.010540634,0.01947479,0.13286611,0.5230627,0.5205603,tuning
330,491,0.090311475,0.09843535,0.008123874,0.022550914,0.14381753,0.5215078,0.52333844,tuning
331,492,0.04012999,0.031693377,-0.008436607,0.009046772,0.07422085,0.5096675,0.50760144,tuning
332,493,0.05650954,0.052557997,-0.003951546,0.008437255,0.05590055,0.5135899,0.51258934,tuning
333,494,0.06842571,0.06497917,-0.0034465438,0.011488403,0.07196551,0.51640266,0.5155299,tuning
335,500,0.08831409,0.10360229,0.0152882,0.017899482,0.14123859,0.5209532,0.524676,tuning
341,507,0.05369917,0.03334611,-0.020353062,0.018107915,0.16345389,0.51292634,0.5080025,tuning
342,508,0.059984725,0.079659015,0.019674294,0.014544283,0.14679955,0.51413697,0.5187919,tuning
343,509,0.053606953,0.03377451,-0.01983244,0.015379477,0.15058136,0.5127797,0.5079614,tuning
347,514,0.061599333,0.055765536,-0.0058337986,0.01197359,0.079914965,0.5146416,0.51323533,tuning
348,515,0.051725432,0.066073805,0.014348363,0.00827957,0.099395,0.5122223,0.51566017,tuning
349,516,0.09497603,0.11222119,0.017245151,0.01732493,0.14666882,0.5227391,0.52686244,tuning
352,519,0.11130232,0.12933598,0.01803367,0.02354945,0.17796752,0.5267208,0.5311114,tuning
353,520,0.08463781,0.072411925,-0.01222589,0.011457947,0.10053481,0.5201684,0.5172637,tuning
357,524,0.08703708,0.08178035,-0.005256716,0.014758199,0.09399868,0.5206863,0.51937264,tuning
358,527,0.03076808,0.07308897,0.04232088,0.010142898,0.2611162,0.5071764,0.5174321,tuning
360,529,0.04184774,0.058205094,0.016357355,0.011728304,0.120764986,0.50987136,0.5137685,tuning
361,531,0.054060943,0.06301772,0.008956775,0.013064052,0.095037654,0.5128811,0.5150043,tuning
363,533,0.081238076,0.075742036,-0.005496038,0.020899503,0.12966049,0.5196468,0.5183295,tuning
364,534,0.048929755,0.06774129,0.018811531,0.01705551,0.15235323,0.5116651,0.51617706,tuning
365,535,0.04843331,0.025138699,-0.023294618,0.014365001,0.16420636,0.5115453,0.50590396,tuning
366,537,0.07530271,0.0658153,-0.00948741,0.011657395,0.090180986,0.51803905,0.5157317,tuning
368,539,0.08237054,0.100367814,0.017997265,0.012937379,0.13298866,0.51950765,0.52377385,tuning
371,542,0.095525004,0.10014418,0.0046191765,0.017840574,0.11057316,0.5227781,0.52386487,tuning
372,543,0.049368985,0.020335654,-0.029033337,0.01380742,0.19289596,0.5119146,0.5047982,tuning
374,546,0.099974155,0.10355676,0.0035826059,0.019765353,0.120524496,0.52415276,0.5250744,tuning
379,551,0.024919942,0.0208116,-0.0041083433,0.013732448,0.08600297,0.50600284,0.5049771,tuning
380,552,0.063111916,0.07295722,0.009845308,0.017882764,0.12248281,0.5151754,0.5175981,tuning
381,553,0.05617323,0.071296,0.015122768,0.01154524,0.11415631,0.5135662,0.51723194,tuning
382,555,0.029857334,0.034244288,0.0043869563,0.011245458,0.07242517,0.5072074,0.5082564,tuning
385,562,0.032758508,0.016670927,-0.01608758,0.018624773,0.14766492,0.5078156,0.5039468,tuning
392,585,0.084315866,0.067071564,-0.017244304,0.025574617,0.18507126,0.52009475,0.516042,tuning
393,586,0.075765006,0.059451435,-0.01631357,0.009741032,0.11400319,0.5181247,0.5141577,tuning
396,589,0.024832219,0.042983994,0.018151777,0.009119228,0.12188233,0.5059215,0.5103724,tuning
397,590,0.062375054,0.074442096,0.012067039,0.015898801,0.11975754,0.5148541,0.51769817,tuning
399,593,0.029092921,0.069433644,0.040340714,0.013833734,0.25588053,0.50674987,0.5165151,tuning
400,594,0.17035028,0.17646995,0.006119658,0.017660297,0.11214325,0.5370611,0.5383408,tuning
401,595,0.054615267,0.07966205,0.02504678,0.016468717,0.17985593,0.51294523,0.5189535,tuning
402,596,0.15968615,0.17588432,0.016198182,0.021543935,0.16172446,0.5349339,0.53836274,tuning
403,597,0.06401081,0.06431404,0.00030322466,0.013300395,0.07982311,0.51522654,0.51527524,tuning
405,605,0.07650918,0.07666617,0.00015699274,0.016606724,0.099644795,0.5184181,0.5184332,tuning
407,608,0.016444704,0.017195977,0.0007512701,0.022616634,0.13577466,0.503912,0.5041262,tuning
409,610,0.0641186,0.041825466,-0.022293143,0.01666323,0.16699491,0.5154717,0.5099727,tuning
410,611,0.069944955,0.07351942,0.0035744691,0.012846113,0.08000488,0.51698375,0.5178845,tuning
414,616,0.105483435,0.09079383,-0.014689608,0.014898508,0.12553486,0.52493227,0.52143365,tuning
416,628,0.050247032,0.06828804,0.018041007,0.009336307,0.12188194,0.5119201,0.5162764,tuning
422,647,0.07153097,0.10438847,0.032857504,0.017430257,0.22316687,0.51713794,0.5250542,tuning
423,648,0.042839184,0.04134184,-0.0014973416,0.020054631,0.120662704,0.5104206,0.5099713,tuning
425,653,0.07503146,0.0607215,-0.014309953,0.015928784,0.12847582,0.51813865,0.51463497,tuning
428,663,0.04860421,0.042679165,-0.0059250453,0.013708444,0.08960465,0.5116588,0.5102176,tuning
429,671,0.02093999,0.018915663,-0.0020243288,0.0146924,0.08898721,0.5050639,0.5045892,tuning
430,673,0.09106589,0.091597706,0.0005318205,0.018576082,0.111502156,0.5219788,0.5221779,tuning
431,674,0.09548795,0.08786238,-0.0076255747,0.014254665,0.096996985,0.52277374,0.52089083,tuning
432,678,0.033189535,0.055128533,0.021939002,0.008420069,0.14099583,0.5078283,0.51317865,tuning
434,688,0.09819452,0.10813382,0.009939302,0.016735772,0.11678838,0.523666,0.5261499,tuning
441,707,0.095656045,0.10069689,0.0050408537,0.017133418,0.10715742,0.52296174,0.52416503,tuning
442,708,0.064265765,0.06977856,0.00551279,0.012268766,0.08070245,0.5154588,0.51680034,tuning
446,719,0.08226257,0.08029506,-0.0019675044,0.013138907,0.07971242,0.51969534,0.519242,tuning
447,720,0.013063852,0.041980717,0.02891687,0.0117766345,0.18733788,0.5030637,0.51013345,tuning
448,724,0.075057626,0.07144093,-0.003616698,0.013151465,0.08183823,0.5180822,0.5171971,tuning
450,728,0.03349334,0.0349368,0.0014434638,0.012454184,0.07522533,0.50798297,0.5083715,tuning
