item_idx,item_id,base_edge_logit_mean,target_edge_logit_mean,residual_edge_logit_mean,residual_edge_logit_std,residual_l2_norm,base_edge_probability_mean,target_edge_probability_mean,stage
1,2,0.064019054,0.054189272,-0.009829788,0.014384518,0.104534246,0.51546884,0.5130503,tuning
2,3,0.076108366,0.055100247,-0.021008115,0.01033449,0.14047468,0.5182519,0.5131931,tuning
5,6,0.049164187,0.03639231,-0.012771878,0.014588881,0.11633756,0.5118941,0.5087824,tuning
9,10,0.062928766,0.07565293,0.01272415,0.01683462,0.126614,0.51519716,0.5182555,tuning
15,16,0.06115446,0.06163494,0.0004804862,0.0098299775,0.059050284,0.5146749,0.51478136,tuning
18,19,0.08891109,0.09469618,0.0057850876,0.017602844,0.11117457,0.521138,0.52254087,tuning
20,21,0.06560848,0.06206848,-0.0035400006,0.012594215,0.07849363,0.51572555,0.5148218,tuning
21,22,0.06811309,0.055311814,-0.012801282,0.011374355,0.102747045,0.5163403,0.51322895,tuning
23,24,0.081058234,0.07173176,-0.00932647,0.013309811,0.09751322,0.51937366,0.5170561,tuning
24,25,0.05163739,0.0382951,-0.013342289,0.016273364,0.12626246,0.51242346,0.50915635,tuning
28,29,0.05147098,0.059896655,0.008425685,0.025094168,0.15882552,0.5124327,0.51446015,tuning
31,32,0.049761698,0.059439864,0.0096781645,0.012884985,0.096689336,0.51190186,0.51423866,tuning
32,34,0.045752864,0.047130007,0.0013771453,0.02245764,0.13499895,0.5109297,0.5112266,tuning
34,36,0.060971856,0.09575163,0.034779776,0.012781249,0.22232355,0.51442957,0.52277184,tuning
35,39,0.05975167,0.06447388,0.0047222152,0.01688079,0.105173066,0.5142588,0.5154141,tuning
37,42,0.0781665,0.074305445,-0.0038610632,0.0109266415,0.06953254,0.5186935,0.51779085,tuning
39,44,0.07736363,0.07178585,-0.0055777663,0.014966647,0.095833346,0.5186541,0.5173403,tuning
40,45,0.06923118,0.029392349,-0.03983884,0.020517107,0.26886997,0.5164781,0.50684184,tuning
42,47,0.04610994,0.046981618,0.0008716744,0.012541988,0.075433455,0.51111627,0.5113273,tuning
43,48,0.074059114,0.06735853,-0.006700582,0.018721588,0.11930734,0.5178953,0.516299,tuning
44,50,0.037697785,0.08014528,0.042447492,0.0055702655,0.2568685,0.5090617,0.5194097,tuning
45,52,0.06497523,0.0464914,-0.01848384,0.012105857,0.13257205,0.51548606,0.51102954,tuning
47,58,0.045348383,0.07924344,0.033895057,0.0067356355,0.20734698,0.5107255,0.51893467,tuning
48,60,0.0663853,0.057852548,-0.008532755,0.009636865,0.077229366,0.51600915,0.5139271,tuning
50,62,0.0663336,0.073860794,0.0075272024,0.010546794,0.077744275,0.5157283,0.51753753,tuning
