item_idx,item_id,base_edge_logit_mean,target_edge_logit_mean,residual_edge_logit_mean,residual_edge_logit_std,residual_l2_norm,base_edge_probability_mean,target_edge_probability_mean,stage
1,2,-0.003847652,0.0072629205,0.01111057,0.012863647,0.10198556,0.49885347,0.50153995,tuning
2,3,0.030106597,0.003303133,-0.026803456,0.025308527,0.22118336,0.5069009,0.5004313,tuning
5,6,-0.02730522,-0.041880682,-0.014575468,0.014266025,0.12237114,0.49319798,0.4897104,tuning
9,10,-0.010859626,0.012692507,0.023552138,0.01828385,0.17889684,0.4971518,0.5028409,tuning
15,16,-0.021152798,-0.031503137,-0.01035034,0.011850441,0.09440471,0.49464905,0.49214256,tuning
18,19,0.04272643,0.032189157,-0.010537274,0.021597771,0.14418711,0.5099625,0.5073799,tuning
20,21,-0.02499971,-0.03253296,-0.0075332564,0.009663917,0.07351928,0.49375904,0.49191952,tuning
21,22,0.023640057,0.018533835,-0.0051062177,0.013596597,0.08714283,0.50536317,0.50412625,tuning
23,24,0.007082304,0.005483853,-0.0015984473,0.011930162,0.07222061,0.50143534,0.5010302,tuning
24,25,-0.050282665,-0.059434637,-0.009151977,0.017969254,0.1209938,0.48770374,0.48550776,tuning
28,29,-0.058750913,-0.060288712,-0.0015378007,0.028335439,0.17026283,0.4856051,0.48526976,tuning
31,32,-0.049815957,-0.039848972,0.009966988,0.012982892,0.09820523,0.48785502,0.49029624,tuning
32,34,-0.052689474,-0.06081291,-0.008123441,0.022275949,0.14226557,0.48710972,0.4851951,tuning
34,36,-0.030805277,-0.023917636,0.006887637,0.010055835,0.07313095,0.4922959,0.49396583,tuning
35,39,-0.03219408,-0.048455685,-0.0162616,0.012529096,0.12317079,0.49203008,0.4880859,tuning
37,42,0.037572168,0.042463105,0.004890943,0.019249318,0.11916573,0.50872856,0.50985366,tuning
39,44,0.034802064,0.009941506,-0.02486056,0.013477875,0.16967387,0.50812876,0.50208753,tuning
40,45,-0.011661447,-0.040259384,-0.028597934,0.01514856,0.194174,0.49692413,0.49000305,tuning
42,47,-0.05309415,-0.046879962,0.0062141824,0.01340218,0.08863657,0.48697472,0.48852867,tuning
43,48,0.020096919,0.022977123,0.002880206,0.012635908,0.07776004,0.5045839,0.5053463,tuning
44,50,-0.07206872,-0.039862514,0.032206208,0.017161936,0.21896069,0.48235306,0.49021694,tuning
45,52,-0.023130808,-0.031078411,-0.007947601,0.014137821,0.09731148,0.4942272,0.49228033,tuning
47,58,-0.037907865,-0.0143912565,0.023516603,0.009381159,0.15191223,0.49058968,0.49628365,tuning
48,60,-0.0030225324,-0.026602434,-0.023579903,0.013126526,0.16192415,0.49902344,0.49337515,tuning
50,62,-0.0038257863,0.014371153,0.01819695,0.0150683345,0.14175548,0.49878395,0.50315845,tuning
55,69,-0.028923899,-0.04187308,-0.012949183,0.015446161,0.12093613,0.49283397,0.4897403,tuning
56,70,0.0039029536,-0.005058026,-0.008960983,0.012061992,0.09015803,0.50071764,0.49850485,tuning
59,73,-0.038952913,-0.03822449,0.0007284273,0.01776087,0.1066548,0.49037898,0.4906079,tuning
66,86,0.0017482755,-0.010204597,-0.011952873,0.009470663,0.091500424,0.5001738,0.49728563,tuning
69,89,0.029565696,0.034475803,0.0049101124,0.016501995,0.103301995,0.5067749,0.5078692,tuning
73,95,0.032436367,0.009946692,-0.022489678,0.01448644,0.16050898,0.5074824,0.50198025,tuning
75,101,-0.050056584,-0.057900216,-0.007843629,0.014901366,0.10103779,0.48782068,0.4859891,tuning
77,105,0.015661227,-0.0050570276,-0.020718256,0.013948218,0.14985579,0.5034259,0.4984737,tuning
81,112,-0.0031528191,-0.026754232,-0.023601413,0.015902728,0.17075492,0.49902365,0.4932896,tuning
86,125,-0.03308789,-0.031130407,0.0019574843,0.013818564,0.08373912,0.4918676,0.49230397,tuning
91,141,-0.018922115,-0.029450072,-0.010527961,0.01035759,0.08861283,0.4952159,0.49268258,tuning
92,144,-0.020233862,-0.031793084,-0.011559221,0.018784424,0.13233642,0.49489722,0.4920753,tuning
93,145,0.009709327,-0.002439799,-0.012149127,0.014333315,0.112736985,0.5020681,0.49908203,tuning
95,150,-0.031104513,0.009634042,0.04073856,0.014139244,0.2587349,0.49218893,0.5020414,tuning
96,151,-0.0052209655,-0.022082346,-0.016861383,0.010181334,0.11818108,0.49845594,0.49436268,tuning
98,153,0.043385893,0.046588376,0.0032024852,0.013825631,0.085150115,0.510207,0.5109874,tuning
106,161,-0.015795568,-0.018404178,-0.0026086122,0.012828042,0.07854353,0.49593127,0.49528039,tuning
107,162,-0.040676847,-0.06548503,-0.024808178,0.020396704,0.19269916,0.4899984,0.48407874,tuning
109,164,-0.01714927,-0.017637393,-0.0004881218,0.015587851,0.093572944,0.49566883,0.49553183,tuning
110,165,0.0015674109,0.0045514964,0.0029840872,0.014601839,0.08942184,0.5000929,0.5007874,tuning
112,168,0.028336078,0.038727157,0.01039108,0.013780201,0.1035532,0.5065563,0.50900424,tuning
114,170,0.030932013,0.03802212,0.0070901047,0.012084526,0.0840654,0.50716376,0.50884384,tuning
116,172,0.04444309,0.036411446,-0.008031644,0.012468184,0.08898688,0.51033425,0.50837886,tuning
119,175,-0.009095386,-0.02929014,-0.020194765,0.011916956,0.1406923,0.49748558,0.49265194,tuning
120,176,-0.04747129,-0.028995574,0.018475717,0.01227634,0.13309464,0.4883489,0.4928449,tuning
122,180,-0.019097712,-0.01259077,0.006506938,0.012127436,0.082576856,0.49520624,0.4967626,tuning
124,185,0.03100726,0.048159096,0.01715184,0.02271067,0.17075878,0.50716496,0.5112547,tuning
133,196,0.02981647,0.032065503,0.0022490423,0.015239316,0.092426285,0.506944,0.50752205,tuning
136,203,0.007894937,0.006323513,-0.0015714241,0.0124736475,0.07543345,0.5016549,0.50127625,tuning
137,204,0.031147186,0.011110044,-0.02003715,0.012564653,0.14190449,0.5072167,0.5023881,tuning
140,207,0.013984599,-0.0029351404,-0.01691974,0.011975815,0.124374904,0.5030193,0.4989009,tuning
141,208,0.041460775,0.024748981,-0.016711794,0.01656763,0.14119397,0.5097064,0.50568515,tuning
144,216,0.019523744,0.02352076,0.003997021,0.019744674,0.12087109,0.5044375,0.5053586,tuning
147,222,-0.014863579,-0.013501603,0.0013619818,0.017738735,0.10674567,0.49612632,0.4963923,tuning
148,223,-0.047128372,-0.041846965,0.0052814167,0.013471402,0.086818166,0.4884845,0.4898101,tuning
149,224,-0.006175017,-0.006459497,-0.00028448517,0.0070695067,0.04245137,0.49821866,0.4981626,tuning
150,225,0.034324825,0.04076603,0.0064412095,0.018124085,0.115407884,0.5078996,0.5094198,tuning
153,230,-0.0038802335,-0.0086003635,-0.004720134,0.01454207,0.091733605,0.49876848,0.49760994,tuning
155,232,-0.048369035,-0.010452423,0.037916612,0.012000271,0.23862173,0.48807102,0.49724403,tuning
156,233,-0.006599225,-0.032346852,-0.02574762,0.013354511,0.17402926,0.49813986,0.4919271,tuning
158,235,-0.026042422,-0.03810755,-0.012065143,0.012920335,0.10606647,0.49350458,0.49062762,tuning
164,247,-0.026752792,-0.020912936,0.0058398494,0.009341186,0.06609855,0.49331415,0.49474034,tuning
166,249,-0.012888186,-0.02162389,-0.008735704,0.014671515,0.102451794,0.49663374,0.49457085,tuning
168,253,-0.0044462318,-0.0021296085,0.0023166216,0.017827291,0.107863076,0.49870047,0.49927372,tuning
170,256,0.03189171,0.041199524,0.0093078185,0.014162789,0.101685405,0.50737435,0.50957084,tuning
174,260,-0.02233971,0.008294252,0.03063396,0.014031434,0.20216711,0.49411795,0.50160605,tuning
175,261,0.0004083357,0.015088396,0.0146800615,0.012941386,0.11741981,0.49973905,0.50324035,tuning
177,265,-0.027801855,-0.026877943,0.000923914,0.010819241,0.065151714,0.493004,0.493224,tuning
178,266,-0.001528504,-0.027195645,-0.02566714,0.01055404,0.16651379,0.49937692,0.4931666,tuning
182,272,-0.033046465,-0.033206422,-0.00015994663,0.01253189,0.07519746,0.49181047,0.4918119,tuning
183,273,0.037888452,0.03529187,-0.0025965725,0.018409872,0.11155251,0.5087729,0.5081067,tuning
187,280,-0.013120029,-0.018656619,-0.005536584,0.0097986795,0.0675281,0.4965573,0.4951868,tuning
189,282,0.014813822,0.014209969,-0.00060385745,0.017765248,0.10665304,0.50320226,0.50298786,tuning
190,288,0.0051938496,-0.036735926,-0.041929778,0.012968499,0.26333702,0.500919,0.49080753,tuning
193,292,0.020269722,0.018656751,-0.0016129724,0.01609,0.097023875,0.5045941,0.5041636,tuning
194,293,-0.049442794,-0.032846943,0.016595863,0.015662102,0.13691628,0.48784202,0.49184847,tuning
195,296,-0.06474864,-0.073061585,-0.008312941,0.022527881,0.14407629,0.484203,0.48230064,tuning
199,303,0.03046909,0.01981591,-0.010653174,0.013726939,0.1042549,0.5070479,0.50446486,tuning
202,307,-0.05163454,-0.04066585,0.0109686935,0.022021255,0.14761071,0.48726553,0.49000466,tuning
203,308,-0.04202513,-0.033554066,0.008471051,0.0115691805,0.08603352,0.48962593,0.49169716,tuning
205,314,-0.025126897,-0.029735697,-0.0046087974,0.011148421,0.07238107,0.49361584,0.4924612,tuning
207,316,0.004226415,0.0147437155,0.010517299,0.0127601465,0.09921521,0.500836,0.50338465,tuning
208,317,0.0065270895,0.023112107,0.016585017,0.013037848,0.126577,0.5013646,0.50533944,tuning
209,318,-0.06008272,-0.007344639,0.052738078,0.009319828,0.32133144,0.48521316,0.49799845,tuning
210,319,-0.03385911,-0.02885689,0.0050022164,0.013240151,0.08492147,0.49157423,0.49279594,tuning
214,327,0.025249563,0.011314984,-0.013934579,0.009414884,0.100902185,0.5058256,0.5024536,tuning
216,329,0.012068108,0.0022697826,-0.009798322,0.010626459,0.0867262,0.5026166,0.5001984,tuning
219,333,-0.012320779,-0.0028946805,0.009426098,0.017465277,0.11907955,0.4968208,0.49905354,tuning
221,337,-0.018075539,-0.013546163,0.004529381,0.0057920455,0.04411656,0.49532187,0.49641752,tuning
222,338,0.021285836,0.013864366,-0.0074214647,0.015023412,0.10053913,0.5048835,0.50307477,tuning
223,339,-0.0048313783,-0.019630171,-0.014798792,0.011320474,0.11179296,0.49865687,0.49505603,tuning
225,342,-0.027918335,-0.014088299,0.013830042,0.016354118,0.12850751,0.49305397,0.4963702,tuning
226,344,0.012905354,0.013962067,0.0010567096,0.0148740895,0.08946947,0.50290036,0.5031219,tuning
227,345,-0.020095322,-0.02770414,-0.007608817,0.015570732,0.10398223,0.49489558,0.49310637,tuning
229,348,-0.022723824,-0.02323478,-0.00051096134,0.0117398985,0.07050608,0.4943195,0.49421263,tuning
232,351,0.01929699,0.0226061,0.0033091074,0.0130724395,0.08090859,0.50440353,0.50518775,tuning
234,353,0.00087047205,-0.027619164,-0.028489633,0.0125772925,0.18685426,0.49994054,0.49306044,tuning
236,355,0.049255326,0.066149026,0.016893692,0.018666064,0.15105455,0.511441,0.5154689,tuning
237,356,-0.03897787,-0.033885848,0.005092037,0.011954435,0.07796245,0.49035963,0.49163204,tuning
238,357,-0.048448734,-0.053071238,-0.0046224934,0.014457847,0.09107297,0.48815647,0.48706082,tuning
241,361,0.0118296845,0.01804368,0.0062139956,0.013631731,0.08988749,0.5025806,0.504073,tuning
247,367,0.002231934,-0.0035779169,-0.0058098533,0.019354891,0.12124844,0.50027573,0.49884456,tuning
248,368,0.004739056,-0.00065026514,-0.005389323,0.011031758,0.07366683,0.5009466,0.4996408,tuning
249,370,0.028020361,0.019675016,-0.008345346,0.014883341,0.10238022,0.5064311,0.5043942,tuning
250,371,0.0069797593,0.00094045117,-0.006039309,0.015863659,0.10184617,0.50134265,0.4998423,tuning
251,372,0.028029038,0.009255051,-0.018773992,0.014651608,0.14288725,0.50636834,0.5018493,tuning
252,373,-0.012349352,0.0037920538,0.01614141,0.012188214,0.12135699,0.4966863,0.5005939,tuning
254,376,0.01900865,0.03464422,0.015635572,0.020090727,0.15274784,0.5042873,0.5079983,tuning
255,377,0.0006311552,-0.010352259,-0.010983421,0.009655288,0.087743744,0.49988243,0.49722344,tuning
258,380,-0.0044807717,0.0026260358,0.007106811,0.016261492,0.10647979,0.4987039,0.50041187,tuning
260,382,0.02774354,0.0252899,-0.0024536394,0.016066175,0.097514726,0.50636566,0.505751,tuning
261,383,0.022362653,0.021517899,-0.0008447499,0.011246367,0.06766829,0.50526386,0.5050137,tuning
265,405,0.053182278,0.067101136,0.013918862,0.018342791,0.13815548,0.51252675,0.51585037,tuning
268,410,0.030227555,0.022112751,-0.008114809,0.016184356,0.10862876,0.50697607,0.5049741,tuning
269,412,0.006080537,-0.009045421,-0.01512596,0.011195437,0.11291046,0.5011271,0.49747574,tuning
274,417,-0.012887211,-0.015822342,-0.0029351285,0.013566133,0.08328012,0.49670234,0.4960225,tuning
276,420,0.03979777,0.05009445,0.010296676,0.019124167,0.13031958,0.5093901,0.511866,tuning
281,426,0.02201621,0.03281113,0.010794916,0.014492853,0.10842799,0.50505376,0.507664,tuning
283,428,-0.01625698,-0.0017691875,0.014487786,0.013594292,0.11920246,0.49575955,0.49922594,tuning
285,431,-0.013640261,-0.017214596,-0.0035743332,0.012926288,0.08046821,0.4964321,0.49554724,tuning
287,434,0.037906438,0.041374043,0.003467599,0.015425635,0.094863474,0.5089462,0.5097382,tuning
288,435,0.03785453,0.035714153,-0.0021403797,0.017333588,0.10479142,0.5088289,0.5082529,tuning
292,440,-0.021544522,0.002577359,0.024121877,0.010587254,0.15805814,0.4945548,0.50040865,tuning
297,446,-0.04405835,-0.03356956,0.010488798,0.01410323,0.10545604,0.48909897,0.491676,tuning
300,450,0.016945967,0.02924888,0.012302915,0.022068199,0.15159558,0.50382257,0.5066987,tuning
303,454,0.005997148,0.0072925505,0.0012954059,0.012387703,0.07473151,0.5010958,0.50139314,tuning
304,455,0.04819022,0.053009715,0.004819493,0.012405554,0.07985306,0.51130474,0.5124929,tuning
306,457,-0.025375953,0.0033359784,0.028711924,0.016372198,0.19831099,0.49355623,0.50052804,tuning
312,466,0.030794693,0.016056197,-0.014738496,0.0131718675,0.11860003,0.50710464,0.5035436,tuning
315,471,-0.03344108,-0.023520842,0.0099202385,0.012681847,0.096605666,0.49174678,0.49411985,tuning
318,475,-0.029404035,-0.021899216,0.007504824,0.009183826,0.071161374,0.49262106,0.49440134,tuning
321,480,-0.008021665,-0.009528053,-0.0015063924,0.012898021,0.07791415,0.49788013,0.49753082,tuning
