item_idx,item_id,base_edge_logit_mean,target_edge_logit_mean,residual_edge_logit_mean,residual_edge_logit_std,residual_l2_norm,base_edge_probability_mean,target_edge_probability_mean,stage
1,2,0.08429316,0.07886697,-0.00542619,0.021576429,0.13348965,0.5202343,0.5188186,tuning
2,3,0.08747798,0.062371485,-0.025106493,0.013404979,0.17076612,0.5209696,0.51489115,tuning
5,6,0.033554856,0.031087492,-0.0024673645,0.012725986,0.07777782,0.50807446,0.5074975,tuning
9,10,0.0821179,0.11442738,0.032309476,0.014747115,0.21309544,0.5196334,0.5274283,tuning
15,16,0.049777884,0.048798926,-0.0009789559,0.013077212,0.07868281,0.511781,0.51156974,tuning
18,19,0.12489227,0.1341828,0.009290525,0.021934727,0.14292675,0.5293011,0.53153443,tuning
20,21,0.04542017,0.024649225,-0.020770945,0.008724282,0.13517259,0.51083946,0.50578,tuning
21,22,0.07843066,0.070566915,-0.007863748,0.012691363,0.08958086,0.5187253,0.5167851,tuning
23,24,0.091076106,0.08391706,-0.0071590394,0.007793721,0.063496314,0.52159953,0.51981854,tuning
24,25,0.045484755,0.014719369,-0.030765384,0.018356288,0.21495266,0.51097566,0.50349593,tuning
28,29,0.019652478,0.04081244,0.021159954,0.025229765,0.19757088,0.50469667,0.5098912,tuning
31,32,0.028872397,0.04430355,0.0154311545,0.008557008,0.105869465,0.5068023,0.5105458,tuning
32,34,0.033625267,0.036021907,0.0023966383,0.019346224,0.116964646,0.50802445,0.50860983,tuning
34,36,0.047974277,0.06540452,0.01743025,0.012530992,0.12880301,0.5112601,0.5154534,tuning
35,39,0.054031227,0.045834225,-0.008197001,0.014602429,0.10047479,0.5129659,0.5109429,tuning
37,42,0.10958477,0.11252609,0.0029413349,0.017231701,0.10488559,0.5260071,0.52664256,tuning
39,44,0.10076025,0.09656947,-0.00419078,0.010853865,0.069808915,0.52411294,0.5230764,tuning
40,45,0.07196379,0.04214041,-0.029823376,0.019418404,0.21352819,0.51692146,0.50973004,tuning
42,47,0.03645398,0.046549045,0.010095066,0.0075539667,0.07565065,0.5086725,0.51114815,tuning
43,48,0.094324686,0.08619075,-0.008133935,0.01667625,0.11132518,0.5226155,0.52071476,tuning
44,50,0.022708256,0.05447014,0.031761892,0.0110843945,0.20184284,0.5053289,0.5131033,tuning
45,52,0.049339578,0.03958796,-0.009751624,0.009668559,0.08239362,0.51175755,0.5093542,tuning
47,58,0.028207421,0.05029037,0.022082947,0.010031989,0.14552906,0.50658184,0.51195264,tuning
48,60,0.08161256,0.06330392,-0.018308636,0.012140192,0.13180764,0.51954937,0.515124,tuning
50,62,0.056108873,0.07077238,0.014663501,0.013067818,0.117848635,0.51329684,0.51680595,tuning
55,69,0.05906382,0.05483923,-0.0042245905,0.012985623,0.08193319,0.51404923,0.51308995,tuning
56,70,0.08328099,0.07069047,-0.0125905145,0.0088248355,0.09225159,0.51989836,0.5168693,tuning
59,73,0.038713653,0.046468172,0.0077545163,0.011770407,0.08457127,0.5091893,0.5110925,tuning
66,86,0.06899941,0.06141408,-0.007585335,0.009675522,0.07376659,0.5165131,0.514663,tuning
69,89,0.1016726,0.10405434,0.002381749,0.016320962,0.098963,0.5242008,0.5246483,tuning
73,95,0.1122301,0.09234179,-0.019888325,0.014855015,0.1489423,0.52682185,0.52203774,tuning
75,101,0.023382258,0.011165325,-0.012216933,0.014041371,0.111673124,0.5055939,0.5026525,tuning
77,105,0.07602012,0.05024807,-0.025772046,0.017835565,0.18805054,0.5180541,0.51181537,tuning
81,112,0.07208334,0.04728514,-0.024798194,0.012532704,0.1667114,0.5172852,0.5112822,tuning
86,125,0.046663173,0.057155624,0.0104924515,0.012999165,0.1002323,0.5110362,0.5135308,tuning
91,141,0.064829,0.06499985,0.00017084501,0.011667047,0.07000978,0.5153827,0.5153542,tuning
92,144,0.07678612,0.055799708,-0.020986414,0.011640614,0.14399168,0.5180596,0.51301163,tuning
93,145,0.08792694,0.08121351,-0.0067134313,0.0148459505,0.09775995,0.5210574,0.5194297,tuning
95,150,0.04121024,0.06401097,0.022800721,0.016113142,0.16751784,0.5096457,0.51508653,tuning
96,151,0.052880544,0.041808456,-0.011072091,0.019740585,0.13580187,0.5126285,0.50987786,tuning
98,153,0.119893394,0.12640113,0.0065077413,0.014790364,0.096952565,0.52829003,0.52978194,tuning
106,161,0.061224844,0.058282096,-0.0029427414,0.013063447,0.08034477,0.51447487,0.51372856,tuning
107,162,0.033290524,0.027592598,-0.005697929,0.016087033,0.102397874,0.5078423,0.50648284,tuning
109,164,0.052515566,0.038936947,-0.013578617,0.0142268,0.11800045,0.5125802,0.5093105,tuning
110,165,0.07033451,0.07756774,0.0072332406,0.010852063,0.07825045,0.5168102,0.51854485,tuning
112,168,0.10548759,0.11361778,0.008130191,0.016681686,0.11134465,0.5249557,0.52681285,tuning
