item_idx,item_id,base_edge_logit_mean,target_edge_logit_mean,residual_edge_logit_mean,residual_edge_logit_std,residual_l2_norm,base_edge_probability_mean,target_edge_probability_mean,stage
1,2,0.028229836,0.016937844,-0.011291992,0.015426344,0.11470538,0.506215,0.5034276,tuning
2,3,0.0480717,0.038325913,-0.009745788,0.014667327,0.10565979,0.51083684,0.5085516,tuning
5,6,0.0018097477,-0.015684566,-0.017494319,0.01828061,0.15181682,0.499984,0.4958026,tuning
9,10,0.034900673,0.06376424,0.028863559,0.017695602,0.20313694,0.507741,0.51462007,tuning
15,16,0.019058527,0.021200355,0.0021418284,0.014022291,0.08510954,0.50404286,0.5045903,tuning
18,19,0.056015033,0.0564364,0.00042136345,0.018336862,0.11005022,0.5122716,0.5123482,tuning
20,21,0.023824444,0.010301335,-0.013523107,0.011531843,0.106634334,0.5050912,0.5018127,tuning
21,22,0.059125915,0.05868997,-0.00043594485,0.01752478,0.10518122,0.5136082,0.5134927,tuning
23,24,0.05281357,0.049981043,-0.0028325256,0.018189864,0.11045451,0.5119881,0.51124305,tuning
24,25,-0.008649783,-0.03768641,-0.029036634,0.018955216,0.20805612,0.4975945,0.49058634,tuning
28,29,-0.018611725,-0.014522195,0.0040895278,0.026738651,0.16229747,0.49513605,0.49611658,tuning
31,32,-0.0067577977,0.0058862567,0.012644051,0.012740888,0.107699946,0.49795538,0.5009613,tuning
32,34,-0.016935263,-0.01804132,-0.0011060513,0.024803346,0.14896798,0.49548796,0.4952222,tuning
34,36,0.025599968,0.030370109,0.0047701453,0.016073013,0.10059552,0.50557065,0.5066467,tuning
35,39,0.023383502,0.014895701,-0.008487802,0.019303152,0.12652099,0.5050304,0.503002,tuning
37,42,0.07198609,0.09708686,0.025100786,0.012788722,0.16902554,0.51652724,0.5225313,tuning
39,44,0.06378861,0.06833076,0.0045421524,0.012050796,0.07727032,0.5144956,0.5155212,tuning
40,45,0.0114323655,-0.0078084404,-0.0192408,0.014758709,0.1454957,0.50207543,0.49749798,tuning
42,47,-0.0065291533,-0.0131033845,-0.0065742363,0.014403513,0.0949976,0.4980005,0.49643075,tuning
43,48,0.0632696,0.07188142,0.008611817,0.011955709,0.08840636,0.51458967,0.51665217,tuning
44,50,-0.017106615,0.009068754,0.026175372,0.014765013,0.1803153,0.49543428,0.50174963,tuning
45,52,-0.012890693,-0.023575203,-0.010684521,0.01767409,0.12391598,0.4963137,0.4937278,tuning
47,58,-0.0012021181,0.030931499,0.032133624,0.011765727,0.20531942,0.49929345,0.507077,tuning
48,60,0.024807757,-0.0010096306,-0.02581739,0.015010424,0.17918319,0.5054176,0.49923006,tuning
50,62,0.044852573,0.054159127,0.00930656,0.010431891,0.083879136,0.5101077,0.51232636,tuning
55,69,-0.0143435635,-0.037688054,-0.023344496,0.014773987,0.16576038,0.49595731,0.4904542,tuning
56,70,0.034304693,0.029771887,-0.0045328042,0.012254019,0.078393005,0.5075304,0.50643706,tuning
59,73,0.023174472,0.020894405,-0.0022800656,0.01241676,0.0757462,0.50509495,0.50455016,tuning
66,86,0.03570413,0.013677502,-0.02202662,0.0075578555,0.13972312,0.5079177,0.5026154,tuning
69,89,0.043087833,0.037364904,-0.005722927,0.009506251,0.066575855,0.50966203,0.50825024,tuning
73,95,0.078425616,0.07953702,0.0011114026,0.011047383,0.06661888,0.51781875,0.5180359,tuning
75,101,-0.022549232,-0.018987587,0.0035616409,0.01393261,0.086283855,0.49406636,0.49490786,tuning
77,105,0.047217023,0.031307545,-0.01590947,0.010581948,0.114643805,0.5108583,0.50705445,tuning
81,112,0.011784493,-0.018592974,-0.030377468,0.013046626,0.19836377,0.50230825,0.49505436,tuning
86,125,-0.014929778,-0.007839009,0.0070907753,0.011819639,0.08270059,0.49589762,0.49752536,tuning
