split,item_id,item_idx,phase,graph_mean,graph_std,graph_density_gt_0_5,graph_diag_mean,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
validation,1,0,Cold,0.5486308932304382,0.18029658496379852,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
validation,1,0,Warm A,0.552209734916687,0.1787143051624298,0.5802469135802469,1.0,0.2494834065437317,0.4209049344062805,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
validation,1,0,Warm B,0.5501440763473511,0.1787033975124359,0.5802469135802469,1.0,0.3901585340499878,0.36572209000587463,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
validation,1,0,Warm C,0.5496934652328491,0.17917318642139435,0.5802469135802469,1.0,0.22845686972141266,0.5595489144325256,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
validation,5,4,Cold,0.5523815155029297,0.17875882983207703,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
validation,5,4,Warm A,0.5605630278587341,0.1779281497001648,0.5555555555555556,1.0,0.22971373796463013,0.4633655548095703,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
validation,5,4,Warm B,0.5675811767578125,0.17650234699249268,0.6296296296296297,1.0,0.3757663667201996,0.4657455086708069,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
validation,5,4,Warm C,0.5699979662895203,0.1786935031414032,0.6049382716049383,1.0,0.468950480222702,0.38563603162765503,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
validation,7,6,Cold,0.5521150827407837,0.17756624519824982,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
validation,7,6,Warm A,0.5468173623085022,0.1799391210079193,0.5061728395061729,1.0,0.21057312190532684,0.6447507739067078,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
validation,7,6,Warm B,0.5461235642433167,0.18134894967079163,0.5061728395061729,1.0,0.3426869809627533,0.6392513513565063,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
validation,7,6,Warm C,0.5442929267883301,0.1850190907716751,0.48148148148148145,1.0,0.4999145567417145,0.6596709489822388,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
validation,11,10,Cold,0.5524285435676575,0.17826566100120544,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
validation,11,10,Warm A,0.5548062920570374,0.176200270652771,0.5802469135802469,1.0,0.2308485060930252,0.49285265803337097,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
validation,11,10,Warm B,0.558391809463501,0.175663024187088,0.5802469135802469,1.0,0.3651081323623657,0.5728679895401001,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
validation,11,10,Warm C,0.556759238243103,0.17572171986103058,0.5802469135802469,1.0,0.5269718766212463,0.5193141102790833,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
validation,17,16,Cold,0.5500079989433289,0.17875437438488007,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
validation,17,16,Warm A,0.5477531552314758,0.1786544919013977,0.5308641975308642,1.0,0.22005358338356018,0.3746615946292877,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
validation,17,16,Warm B,0.5498417019844055,0.17846181988716125,0.5555555555555556,1.0,0.4226103127002716,0.2706543803215027,cfg02_G2_D32,cfg02_G2_D32,1.2902014100109227,cuda
