split,item_id,item_idx,phase,graph_mean,graph_std,graph_density_gt_0_5,graph_diag_mean,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
validation,1,0,Cold,0.5491812825202942,0.18004460632801056,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9705302979564294,cuda
validation,1,0,Warm A,0.552444338798523,0.17855629324913025,0.6049382716049383,1.0,0.2427656501531601,0.42473670840263367,cfg02_G2_D32,cfg02_G2_D32,0.9705302979564294,cuda
validation,1,0,Warm B,0.5493844151496887,0.1788836270570755,0.5555555555555556,1.0,0.36220285296440125,0.36315688490867615,cfg02_G2_D32,cfg02_G2_D32,0.9705302979564294,cuda
validation,1,0,Warm C,0.5489925146102905,0.17902158200740814,0.5555555555555556,1.0,0.2455756515264511,0.5589169263839722,cfg02_G2_D32,cfg02_G2_D32,0.9705302979564294,cuda
validation,5,4,Cold,0.5528963208198547,0.17825856804847717,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9705302979564294,cuda
validation,5,4,Warm A,0.5610597133636475,0.1773102730512619,0.5802469135802469,1.0,0.22626255452632904,0.46445760130882263,cfg02_G2_D32,cfg02_G2_D32,0.9705302979564294,cuda
validation,5,4,Warm B,0.5677192807197571,0.17596273124217987,0.6296296296296297,1.0,0.3672148883342743,0.46532589197158813,cfg02_G2_D32,cfg02_G2_D32,0.9705302979564294,cuda
validation,5,4,Warm C,0.5708635449409485,0.17885537445545197,0.6296296296296297,1.0,0.45314037799835205,0.3843246400356293,cfg02_G2_D32,cfg02_G2_D32,0.9705302979564294,cuda
validation,7,6,Cold,0.5525921583175659,0.17705929279327393,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9705302979564294,cuda
validation,7,6,Warm A,0.546887993812561,0.17948266863822937,0.5061728395061729,1.0,0.2174757421016693,0.6438154578208923,cfg02_G2_D32,cfg02_G2_D32,0.9705302979564294,cuda
validation,7,6,Warm B,0.546535313129425,0.1806972771883011,0.5308641975308642,1.0,0.3568542003631592,0.6389902234077454,cfg02_G2_D32,cfg02_G2_D32,0.9705302979564294,cuda
validation,7,6,Warm C,0.5445685386657715,0.18378722667694092,0.48148148148148145,1.0,0.5198495388031006,0.6712438464164734,cfg02_G2_D32,cfg02_G2_D32,0.9705302979564294,cuda
validation,11,10,Cold,0.5530245900154114,0.17776687443256378,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9705302979564294,cuda
validation,11,10,Warm A,0.5554354786872864,0.17565517127513885,0.6049382716049383,1.0,0.23345400393009186,0.48562464118003845,cfg02_G2_D32,cfg02_G2_D32,0.9705302979564294,cuda
