split,item_id,item_idx,phase,graph_mean,graph_std,graph_density_gt_0_5,graph_diag_mean,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
validation,1,0,Cold,0.5574061870574951,0.18332792818546295,0.5555555555555556,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9938815040513873,cuda
validation,1,0,Warm A,0.5575609803199768,0.18108782172203064,0.5555555555555556,1.0,0.23115962743759155,0.4217955768108368,cfg02_G2_D32,cfg02_G2_D32,0.9938815040513873,cuda
validation,1,0,Warm B,0.5557393431663513,0.18152999877929688,0.5802469135802469,1.0,0.34604454040527344,0.3505544662475586,cfg02_G2_D32,cfg02_G2_D32,0.9938815040513873,cuda
validation,1,0,Warm C,0.5558306574821472,0.18208234012126923,0.5555555555555556,1.0,0.25289037823677063,0.5606064796447754,cfg02_G2_D32,cfg02_G2_D32,0.9938815040513873,cuda
validation,5,4,Cold,0.557256817817688,0.1899678260087967,0.5802469135802469,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9938815040513873,cuda
validation,5,4,Warm A,0.5644090175628662,0.1894342303276062,0.5555555555555556,1.0,0.2183401882648468,0.4407365024089813,cfg02_G2_D32,cfg02_G2_D32,0.9938815040513873,cuda
validation,5,4,Warm B,0.5738845467567444,0.1857975572347641,0.6049382716049383,1.0,0.3732733428478241,0.48748794198036194,cfg02_G2_D32,cfg02_G2_D32,0.9938815040513873,cuda
validation,5,4,Warm C,0.5732712745666504,0.1849689483642578,0.5555555555555556,1.0,0.4938599467277527,0.44065818190574646,cfg02_G2_D32,cfg02_G2_D32,0.9938815040513873,cuda
validation,7,6,Cold,0.5587688684463501,0.1839420646429062,0.5555555555555556,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9938815040513873,cuda
validation,7,6,Warm A,0.549024760723114,0.1869248002767563,0.5061728395061729,1.0,0.19851770997047424,0.641842246055603,cfg02_G2_D32,cfg02_G2_D32,0.9938815040513873,cuda
validation,7,6,Warm B,0.5529085397720337,0.18603147566318512,0.5308641975308642,1.0,0.2506374418735504,0.5879845023155212,cfg02_G2_D32,cfg02_G2_D32,0.9938815040513873,cuda
validation,7,6,Warm C,0.5566636323928833,0.18443262577056885,0.5308641975308642,1.0,0.3578477203845978,0.6006593704223633,cfg02_G2_D32,cfg02_G2_D32,0.9938815040513873,cuda
