split,item_id,item_idx,phase,graph_mean,graph_std,graph_density_gt_0_5,graph_diag_mean,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
validation,1,0,Cold,0.5644499063491821,0.1703886240720749,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,1,0,Warm A,0.5664742588996887,0.16922278702259064,0.6049382716049383,1.0,0.23446884751319885,0.42760157585144043,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,1,0,Warm B,0.5674311518669128,0.1701250523328781,0.6296296296296297,1.0,0.4121057391166687,0.33884191513061523,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,1,0,Warm C,0.5670480728149414,0.1696079522371292,0.6296296296296297,1.0,0.26824986934661865,0.5507067441940308,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,5,4,Cold,0.567229688167572,0.17402510344982147,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,5,4,Warm A,0.5695379972457886,0.17315556108951569,0.6296296296296297,1.0,0.21243348717689514,0.4748326241970062,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,5,4,Warm B,0.574755847454071,0.17257508635520935,0.654320987654321,1.0,0.339089572429657,0.4664803445339203,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,5,4,Warm C,0.5781952738761902,0.17003804445266724,0.6790123456790124,1.0,0.44850361347198486,0.3011901378631592,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,7,6,Cold,0.5673537850379944,0.16999219357967377,0.6296296296296297,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,7,6,Warm A,0.5605788826942444,0.17233458161354065,0.6049382716049383,1.0,0.2372666597366333,0.6776966452598572,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,7,6,Warm B,0.5634598135948181,0.17328162491321564,0.6049382716049383,1.0,0.3646799921989441,0.6003866195678711,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,7,6,Warm C,0.5606898069381714,0.1747131049633026,0.6049382716049383,1.0,0.5602535605430603,0.6628971099853516,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,11,10,Cold,0.5676656365394592,0.17160972952842712,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,11,10,Warm A,0.570469319820404,0.1714603155851364,0.6296296296296297,1.0,0.22882825136184692,0.48625293374061584,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,11,10,Warm B,0.5724284052848816,0.17207574844360352,0.654320987654321,1.0,0.25181031227111816,0.5576737523078918,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,11,10,Warm C,0.5743167996406555,0.17484265565872192,0.6296296296296297,1.0,0.37131011486053467,0.49853917956352234,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,17,16,Cold,0.5669267177581787,0.1704186052083969,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,17,16,Warm A,0.5662165880203247,0.1718728393316269,0.6049382716049383,1.0,0.2117612361907959,0.43977949023246765,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,17,16,Warm B,0.5698127150535583,0.1705179661512375,0.6049382716049383,1.0,0.4037122428417206,0.3045406937599182,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,17,16,Warm C,0.5702580809593201,0.17063008248806,0.6296296296296297,1.0,0.5096933841705322,0.2869766354560852,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,41,36,Cold,0.5710747838020325,0.17092379927635193,0.6296296296296297,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,41,36,Warm A,0.5676825642585754,0.17244930565357208,0.6049382716049383,1.0,0.21324223279953003,0.5620087385177612,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,41,36,Warm B,0.5662342309951782,0.17280156910419464,0.6049382716049383,1.0,0.3985287845134735,0.39065369963645935,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,41,36,Warm C,0.5603168606758118,0.174359992146492,0.5802469135802469,1.0,0.40918198227882385,0.6090454459190369,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,104,76,Cold,0.5669207572937012,0.1730787754058838,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,104,76,Warm A,0.5686793327331543,0.1731630265712738,0.6049382716049383,1.0,0.20137958228588104,0.6188425421714783,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,104,76,Warm B,0.570147693157196,0.17323076725006104,0.6296296296296297,1.0,0.27215173840522766,0.5443997383117676,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,104,76,Warm C,0.5643684267997742,0.17334993183612823,0.5802469135802469,1.0,0.2782439887523651,0.642858624458313,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,107,78,Cold,0.5647267699241638,0.1692247986793518,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,107,78,Warm A,0.5604586601257324,0.16981510818004608,0.6049382716049383,1.0,0.1984063982963562,0.6700286269187927,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,107,78,Warm B,0.5663959980010986,0.16858214139938354,0.6296296296296297,1.0,0.16583764553070068,0.5150338411331177,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,107,78,Warm C,0.5627859234809875,0.17019160091876984,0.6049382716049383,1.0,0.26360151171684265,0.5958294868469238,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,110,79,Cold,0.5681880712509155,0.1696864813566208,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,110,79,Warm A,0.5667024850845337,0.17038479447364807,0.6049382716049383,1.0,0.21819902956485748,0.4232322871685028,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,110,79,Warm B,0.5737546682357788,0.16756397485733032,0.6296296296296297,1.0,0.3958714008331299,0.357047975063324,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,110,79,Warm C,0.5808573365211487,0.16511014103889465,0.6790123456790124,1.0,0.6172847151756287,0.376774400472641,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,111,80,Cold,0.5729672312736511,0.17104089260101318,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,111,80,Warm A,0.5653379559516907,0.17210546135902405,0.5802469135802469,1.0,0.22092922031879425,0.7214867472648621,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,111,80,Warm B,0.5690444111824036,0.17050816118717194,0.5802469135802469,1.0,0.18332043290138245,0.2602745294570923,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,111,80,Warm C,0.571309506893158,0.17098286747932434,0.5802469135802469,1.0,0.31861117482185364,0.25862523913383484,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,158,103,Cold,0.567410945892334,0.16856522858142853,0.6296296296296297,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,158,103,Warm A,0.5759500861167908,0.1657339632511139,0.654320987654321,1.0,0.2404310554265976,0.3301289975643158,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,158,103,Warm B,0.5809588432312012,0.16600295901298523,0.6790123456790124,1.0,0.347610741853714,0.41718265414237976,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,158,103,Warm C,0.5719283819198608,0.16676457226276398,0.654320987654321,1.0,0.22069166600704193,0.5914162397384644,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
validation,160,105,Cold,0.5667005777359009,0.16775670647621155,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9881735150120221,cuda
