split,item_id,item_idx,phase,graph_mean,graph_std,graph_density_gt_0_5,graph_diag_mean,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
validation,1,0,Cold,0.5670670866966248,0.169051393866539,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,1,0,Warm A,0.5704681277275085,0.16690996289253235,0.6296296296296297,1.0,0.2333718240261078,0.4759024679660797,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,1,0,Warm B,0.5742049813270569,0.1643783152103424,0.6296296296296297,1.0,0.45607614517211914,0.29279983043670654,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,1,0,Warm C,0.5735388994216919,0.16651040315628052,0.6296296296296297,1.0,0.41008996963500977,0.47121986746788025,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,5,4,Cold,0.5709966421127319,0.1737024039030075,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,5,4,Warm A,0.5755581259727478,0.17372170090675354,0.6296296296296297,1.0,0.22989754378795624,0.43864020705223083,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,5,4,Warm B,0.5799007415771484,0.17451079189777374,0.654320987654321,1.0,0.418616384267807,0.4395621418952942,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,5,4,Warm C,0.5832479000091553,0.17157277464866638,0.6790123456790124,1.0,0.5167493224143982,0.33421042561531067,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,7,6,Cold,0.5698070526123047,0.17223232984542847,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,7,6,Warm A,0.5653769373893738,0.1732058972120285,0.5802469135802469,1.0,0.22711537778377533,0.659730076789856,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,7,6,Warm B,0.5687075257301331,0.17149704694747925,0.6049382716049383,1.0,0.22550241649150848,0.5545195937156677,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,7,6,Warm C,0.5700356364250183,0.1715313047170639,0.6049382716049383,1.0,0.34767210483551025,0.6110870838165283,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,11,10,Cold,0.569733202457428,0.17253713309764862,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,11,10,Warm A,0.5711114406585693,0.17188404500484467,0.6296296296296297,1.0,0.2290203720331192,0.47923001646995544,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,11,10,Warm B,0.5710241198539734,0.17186033725738525,0.6049382716049383,1.0,0.2091657668352127,0.5968536734580994,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,11,10,Warm C,0.5728774070739746,0.16984595358371735,0.6296296296296297,1.0,0.34702396392822266,0.5144292712211609,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,17,16,Cold,0.5683939456939697,0.1720895618200302,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,17,16,Warm A,0.5692146420478821,0.17229782044887543,0.6296296296296297,1.0,0.22465799748897552,0.4227880537509918,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,17,16,Warm B,0.5732332468032837,0.17062696814537048,0.6296296296296297,1.0,0.4151134192943573,0.2463071346282959,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,17,16,Warm C,0.5729753971099854,0.1709578037261963,0.6296296296296297,1.0,0.41262686252593994,0.29796573519706726,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,41,36,Cold,0.5712898969650269,0.17347228527069092,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,41,36,Warm A,0.568315863609314,0.1736559122800827,0.6049382716049383,1.0,0.22029954195022583,0.6084580421447754,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,41,36,Warm B,0.5711560845375061,0.17193998396396637,0.6049382716049383,1.0,0.34330520033836365,0.33501145243644714,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,41,36,Warm C,0.5662581920623779,0.17437127232551575,0.5802469135802469,1.0,0.3253794014453888,0.6790329217910767,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,104,76,Cold,0.5707308053970337,0.1736573427915573,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,104,76,Warm A,0.5714274048805237,0.1732008457183838,0.6049382716049383,1.0,0.2050156444311142,0.610617458820343,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,104,76,Warm B,0.576331615447998,0.1702004373073578,0.6296296296296297,1.0,0.3294682800769806,0.5183734893798828,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,104,76,Warm C,0.576458752155304,0.16908228397369385,0.6296296296296297,1.0,0.45332035422325134,0.5276473760604858,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,107,78,Cold,0.5673266649246216,0.16731521487236023,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,107,78,Warm A,0.5655384659767151,0.16949868202209473,0.6049382716049383,1.0,0.21968011558055878,0.6227506995201111,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,107,78,Warm B,0.5659723281860352,0.1704297810792923,0.6049382716049383,1.0,0.2890787422657013,0.5504618883132935,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,107,78,Warm C,0.564953625202179,0.17221444845199585,0.5555555555555556,1.0,0.3978944718837738,0.5740571618080139,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,110,79,Cold,0.5698809027671814,0.17220032215118408,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,110,79,Warm A,0.5708823204040527,0.1712827980518341,0.6049382716049383,1.0,0.23394738137722015,0.37747660279273987,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,110,79,Warm B,0.5740233063697815,0.17103102803230286,0.6049382716049383,1.0,0.3198314607143402,0.41953715682029724,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,110,79,Warm C,0.5790014266967773,0.16968213021755219,0.6296296296296297,1.0,0.5175847411155701,0.39457613229751587,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,111,80,Cold,0.5661236047744751,0.1722038984298706,0.5308641975308642,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,111,80,Warm A,0.5616321563720703,0.17283552885055542,0.5555555555555556,1.0,0.23737379908561707,0.6517121195793152,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,111,80,Warm B,0.565405011177063,0.17083801329135895,0.5555555555555556,1.0,0.20293623208999634,0.26218244433403015,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,111,80,Warm C,0.5703835487365723,0.16825804114341736,0.5802469135802469,1.0,0.3866315484046936,0.27004194259643555,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,158,103,Cold,0.568368673324585,0.16682010889053345,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,158,103,Warm A,0.5734385848045349,0.16518889367580414,0.6296296296296297,1.0,0.22880494594573975,0.3277944028377533,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,158,103,Warm B,0.5756190419197083,0.16637668013572693,0.6790123456790124,1.0,0.3013174533843994,0.4262070655822754,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,158,103,Warm C,0.5729337930679321,0.16652315855026245,0.6296296296296297,1.0,0.2617223560810089,0.517866313457489,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,160,105,Cold,0.5697539448738098,0.16947723925113678,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,160,105,Warm A,0.5714965462684631,0.17048437893390656,0.6049382716049383,1.0,0.22600507736206055,0.4224070608615875,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,160,105,Warm B,0.5749409794807434,0.17032566666603088,0.654320987654321,1.0,0.3993549942970276,0.2724142074584961,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,160,105,Warm C,0.5763590931892395,0.1688508838415146,0.654320987654321,1.0,0.44494450092315674,0.3242904543876648,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,163,108,Cold,0.5697926878929138,0.1698373705148697,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,163,108,Warm A,0.5686426162719727,0.17046065628528595,0.6296296296296297,1.0,0.21541064977645874,0.7304031252861023,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,163,108,Warm B,0.5700027942657471,0.169523224234581,0.6049382716049383,1.0,0.19562122225761414,0.5034772753715515,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,163,108,Warm C,0.5726331472396851,0.16903890669345856,0.6296296296296297,1.0,0.31991782784461975,0.5422744154930115,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,173,117,Cold,0.5698606967926025,0.169223815202713,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,173,117,Warm A,0.5726632475852966,0.17002011835575104,0.6296296296296297,1.0,0.2189032882452011,0.31812039017677307,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,173,117,Warm B,0.5777022242546082,0.17028623819351196,0.7037037037037037,1.0,0.3912752568721771,0.2399434596300125,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,173,117,Warm C,0.5821785926818848,0.16958026587963104,0.7037037037037037,1.0,0.4814192056655884,0.20998652279376984,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,186,125,Cold,0.5715840458869934,0.17356650531291962,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,186,125,Warm A,0.5772901773452759,0.173312246799469,0.6296296296296297,1.0,0.21375343203544617,0.4586922824382782,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,186,125,Warm B,0.5808201432228088,0.174656942486763,0.6296296296296297,1.0,0.36756226420402527,0.3520236313343048,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,186,125,Warm C,0.5837569236755371,0.17536550760269165,0.7037037037037037,1.0,0.4977255165576935,0.22210116684436798,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,193,130,Cold,0.5694183707237244,0.17412731051445007,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,193,130,Warm A,0.5684741139411926,0.17570117115974426,0.5802469135802469,1.0,0.222254678606987,0.5567544102668762,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,193,130,Warm B,0.5691475868225098,0.17752282321453094,0.5802469135802469,1.0,0.4158053398132324,0.32612696290016174,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,193,130,Warm C,0.5719625949859619,0.17816577851772308,0.5555555555555556,1.0,0.44633081555366516,0.3470306694507599,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,194,131,Cold,0.5687981247901917,0.17347779870033264,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,194,131,Warm A,0.5672451257705688,0.17318126559257507,0.6296296296296297,1.0,0.23132646083831787,0.6332628130912781,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,194,131,Warm B,0.5699782371520996,0.17271317541599274,0.6296296296296297,1.0,0.15614283084869385,0.5234665274620056,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,194,131,Warm C,0.5670632123947144,0.17385900020599365,0.5802469135802469,1.0,0.24881096184253693,0.6906315684318542,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,198,134,Cold,0.570415735244751,0.17053024470806122,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,198,134,Warm A,0.5649345517158508,0.17210370302200317,0.6049382716049383,1.0,0.2237367331981659,0.6354468464851379,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,198,134,Warm B,0.5630452036857605,0.17404967546463013,0.5802469135802469,1.0,0.3558558225631714,0.6855328679084778,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,198,134,Warm C,0.5695885419845581,0.17277538776397705,0.6296296296296297,1.0,0.25614193081855774,0.4246804416179657,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,231,154,Cold,0.5705520510673523,0.1733291894197464,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,231,154,Warm A,0.5670642256736755,0.1757756769657135,0.6049382716049383,1.0,0.21937328577041626,0.6721360087394714,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,231,154,Warm B,0.5656858682632446,0.1759842336177826,0.5802469135802469,1.0,0.3313542902469635,0.614130437374115,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,231,154,Warm C,0.5670037865638733,0.17729629576206207,0.5555555555555556,1.0,0.42538803815841675,0.5833798050880432,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,236,159,Cold,0.569839596748352,0.17174847424030304,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,236,159,Warm A,0.5709553360939026,0.17110919952392578,0.6049382716049383,1.0,0.22179599106311798,0.5375035405158997,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,236,159,Warm B,0.5766491889953613,0.16914379596710205,0.6049382716049383,1.0,0.3777213990688324,0.43601399660110474,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,236,159,Warm C,0.574294924736023,0.17135334014892578,0.6049382716049383,1.0,0.31907954812049866,0.6005833148956299,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,237,160,Cold,0.5700665712356567,0.17202915251255035,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,237,160,Warm A,0.5768332481384277,0.17045004665851593,0.6296296296296297,1.0,0.22911520302295685,0.47632166743278503,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,237,160,Warm B,0.5804470777511597,0.17091864347457886,0.654320987654321,1.0,0.3942316770553589,0.3993006646633148,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,237,160,Warm C,0.5793575048446655,0.1692904829978943,0.654320987654321,1.0,0.42786267399787903,0.465737909078598,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,246,163,Cold,0.566327691078186,0.1682259738445282,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,246,163,Warm A,0.5625583529472351,0.16924123466014862,0.6049382716049383,1.0,0.23226650059223175,0.642444908618927,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,246,163,Warm B,0.5672141313552856,0.16666686534881592,0.6049382716049383,1.0,0.2680304944515228,0.2089015543460846,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,246,163,Warm C,0.565662145614624,0.1680101752281189,0.6049382716049383,1.0,0.2330133020877838,0.4108503460884094,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,252,167,Cold,0.5704136490821838,0.17176735401153564,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,252,167,Warm A,0.5760108232498169,0.16989676654338837,0.6296296296296297,1.0,0.22803466022014618,0.49263325333595276,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,252,167,Warm B,0.5815914273262024,0.16974978148937225,0.6296296296296297,1.0,0.3993991017341614,0.39137524366378784,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,252,167,Warm C,0.5818182826042175,0.16862651705741882,0.6296296296296297,1.0,0.4350534975528717,0.4671812653541565,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,276,185,Cold,0.5706196427345276,0.17215895652770996,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,276,185,Warm A,0.5769755244255066,0.17214606702327728,0.5802469135802469,1.0,0.23398812115192413,0.3531257212162018,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,276,185,Warm B,0.5806114077568054,0.17240242660045624,0.654320987654321,1.0,0.40332743525505066,0.41086918115615845,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,276,185,Warm C,0.5785994529724121,0.1728409230709076,0.6296296296296297,1.0,0.4227399528026581,0.43844324350357056,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
validation,281,188,Cold,0.5694242119789124,0.17396490275859833,0.6049382716049383,1.0,0.0,0.0,cfg02_G2_D32,cfg02_G2_D32,0.9942884820047766,cuda
