split,item_id,item_idx,phase,base_graph_mean,fused_graph_mean,fused_graph_std,fused_density_gt_1e_6,fused_diag_mean,sparse_branch_density_gt_1e_6,sparse_branch_row_sum_error,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
validation,1,0,Cold,-0.05087725445628166,0.5010255575180054,0.2044200301170349,1.0,1.0,0.2962962962962963,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,1,0,Warm A,-0.06025043502449989,0.49848631024360657,0.2020624428987503,1.0,1.0,0.30864197530864196,1.1920928955078125e-07,0.23253728449344635,0.49811798334121704,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,1,0,Warm B,-0.04990541934967041,0.5016081929206848,0.20574308931827545,1.0,1.0,0.2716049382716049,1.1920928955078125e-07,0.20992200076580048,0.3969862461090088,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,1,0,Warm C,-0.06090438365936279,0.4985620081424713,0.20288564264774323,1.0,1.0,0.2962962962962963,0.0,0.34761208295822144,0.5181061625480652,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,5,4,Cold,-0.02284022979438305,0.5063360929489136,0.1941172331571579,1.0,1.0,0.345679012345679,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,5,4,Warm A,0.0028511572163552046,0.5126218199729919,0.19157247245311737,1.0,1.0,0.3950617283950617,1.1920928955078125e-07,0.24707436561584473,0.46412163972854614,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,5,4,Warm B,0.03748109191656113,0.5211737155914307,0.18750400841236115,1.0,1.0,0.37037037037037035,1.7881393432617188e-07,0.4560939371585846,0.4378613531589508,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,5,4,Warm C,0.054627496749162674,0.5248755216598511,0.18800947070121765,1.0,1.0,0.37037037037037035,1.7881393432617188e-07,0.6443796753883362,0.33214208483695984,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,7,6,Cold,-0.019533809274435043,0.507161557674408,0.19038517773151398,1.0,1.0,0.37037037037037035,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,7,6,Warm A,-0.03769567608833313,0.5020212531089783,0.18802832067012787,1.0,1.0,0.4074074074074074,1.1920928955078125e-07,0.23882059752941132,0.6664409041404724,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,7,6,Warm B,-0.04723450914025307,0.49924787878990173,0.18734051287174225,1.0,1.0,0.4444444444444444,5.960464477539063e-08,0.40164995193481445,0.6293610334396362,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,7,6,Warm C,-0.04041663929820061,0.5004957318305969,0.18726429343223572,1.0,1.0,0.41975308641975306,2.384185791015625e-07,0.4125252664089203,0.6362758278846741,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,11,10,Cold,-0.0212815273553133,0.5072384476661682,0.19326971471309662,1.0,1.0,0.345679012345679,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,11,10,Warm A,-0.025940049439668655,0.5071029663085938,0.19650910794734955,1.0,1.0,0.32098765432098764,1.1920928955078125e-07,0.22622127830982208,0.4757622182369232,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,11,10,Warm B,-0.025122687220573425,0.5075743794441223,0.1956380009651184,1.0,1.0,0.32098765432098764,1.1920928955078125e-07,0.27691298723220825,0.5591467022895813,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,11,10,Warm C,-0.016563594341278076,0.5098788142204285,0.19774705171585083,1.0,1.0,0.2716049382716049,1.1920928955078125e-07,0.3787226378917694,0.5229590535163879,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,17,16,Cold,-0.028115050867199898,0.5062717795372009,0.19359102845191956,1.0,1.0,0.35802469135802467,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,17,16,Warm A,-0.025175759568810463,0.507710874080658,0.19498543441295624,1.0,1.0,0.32098765432098764,1.7881393432617188e-07,0.2463899850845337,0.4502131938934326,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,17,16,Warm B,-0.01445002295076847,0.5102654695510864,0.1980820894241333,1.0,1.0,0.25925925925925924,1.1920928955078125e-07,0.4789928197860718,0.31679144501686096,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,17,16,Warm C,-0.013120436109602451,0.5106633901596069,0.1965043544769287,1.0,1.0,0.2716049382716049,5.960464477539063e-08,0.5095924735069275,0.31660303473472595,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,41,36,Cold,-0.003744009882211685,0.5112890601158142,0.19133822619915009,1.0,1.0,0.38271604938271603,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
validation,41,36,Warm A,-0.03332335129380226,0.5041038393974304,0.19370101392269135,1.0,1.0,0.35802469135802467,1.1920928955078125e-07,0.24886107444763184,0.7883689999580383,cfg02_G3_D32,cfg02_G3_D32,2.234317305032164,cuda
