split,item_id,item_idx,phase,base_graph_mean,fused_graph_mean,fused_graph_std,fused_density_gt_1e_6,fused_diag_mean,sparse_branch_density_gt_1e_6,sparse_branch_row_sum_error,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
validation,1,0,Cold,-0.14508964121341705,0.4829261600971222,0.20691053569316864,1.0,1.0,0.3333333333333333,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,1,0,Warm A,-0.15464697778224945,0.4801567792892456,0.20677752792835236,1.0,1.0,0.345679012345679,1.1920928955078125e-07,0.2235202193260193,0.4498704969882965,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,1,0,Warm B,-0.15520597994327545,0.4810140132904053,0.21019822359085083,1.0,1.0,0.2962962962962963,0.0,0.17717818915843964,0.3567143678665161,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,1,0,Warm C,-0.1639949232339859,0.4782617390155792,0.2081916183233261,1.0,1.0,0.345679012345679,1.1920928955078125e-07,0.30513423681259155,0.637156069278717,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,5,4,Cold,-0.07883507758378983,0.4979182481765747,0.19271308183670044,1.0,1.0,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,5,4,Warm A,-0.04625275731086731,0.5059449672698975,0.18875901401042938,1.0,1.0,0.3950617283950617,1.1920928955078125e-07,0.24915464222431183,0.4461958110332489,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,5,4,Warm B,-0.012039942666888237,0.5142729878425598,0.18480204045772552,1.0,1.0,0.37037037037037035,1.1920928955078125e-07,0.45993703603744507,0.4490872025489807,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,5,4,Warm C,0.007610923144966364,0.5188905000686646,0.1842377632856369,1.0,1.0,0.37037037037037035,1.1920928955078125e-07,0.6593803763389587,0.39726385474205017,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,7,6,Cold,-0.09021103382110596,0.4953817129135132,0.19444453716278076,1.0,1.0,0.41975308641975306,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
validation,7,6,Warm A,-0.10774067044258118,0.4903046786785126,0.19616912305355072,1.0,1.0,0.41975308641975306,1.1920928955078125e-07,0.22119155526161194,0.6642632484436035,cfg02_G3_D32,cfg02_G3_D32,2.275473106012214,cuda
