split,item_id,item_idx,phase,base_graph_mean,fused_graph_mean,fused_graph_std,fused_density_gt_1e_6,fused_diag_mean,sparse_branch_density_gt_1e_6,sparse_branch_row_sum_error,local_delta_norm,last_warm_loss,config_name,selected_config_name,final_training_seconds,device
validation,1,0,Cold,-0.04008352756500244,0.5064339637756348,0.20117230713367462,1.0,1.0,0.2716049382716049,5.960464477539063e-08,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,1,0,Warm A,-0.051404353231191635,0.5036112666130066,0.20156225562095642,1.0,1.0,0.3333333333333333,1.1920928955078125e-07,0.23001247644424438,0.48871588706970215,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,1,0,Warm B,-0.024629715830087662,0.5095635056495667,0.203547403216362,1.0,1.0,0.24691358024691357,0.0,0.23826830089092255,0.33907565474510193,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,1,0,Warm C,-0.05507870763540268,0.5027678608894348,0.2004568725824356,1.0,1.0,0.30864197530864196,1.1920928955078125e-07,0.2966330051422119,0.6123208403587341,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,5,4,Cold,-0.062260545790195465,0.5007503032684326,0.1931893676519394,1.0,1.0,0.4074074074074074,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,5,4,Warm A,-0.04819115996360779,0.504803478717804,0.19413326680660248,1.0,1.0,0.30864197530864196,1.1920928955078125e-07,0.24729029834270477,0.4234253466129303,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,5,4,Warm B,-0.046004921197891235,0.5056101679801941,0.19360646605491638,1.0,1.0,0.35802469135802467,1.1920928955078125e-07,0.38622012734413147,0.4904722273349762,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,5,4,Warm C,-0.032476846128702164,0.508246123790741,0.19230476021766663,1.0,1.0,0.3333333333333333,1.1920928955078125e-07,0.4619171619415283,0.402290403842926,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,7,6,Cold,-0.05366550385951996,0.5021414756774902,0.1901690810918808,1.0,1.0,0.41975308641975306,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,7,6,Warm A,-0.0618983618915081,0.49991559982299805,0.1923002004623413,1.0,1.0,0.3950617283950617,1.1920928955078125e-07,0.22247382998466492,0.6466590762138367,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,7,6,Warm B,-0.06500260531902313,0.4983140528202057,0.19152796268463135,1.0,1.0,0.41975308641975306,1.1920928955078125e-07,0.3215305507183075,0.6109921336174011,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,7,6,Warm C,-0.06759263575077057,0.4973120093345642,0.19380943477153778,1.0,1.0,0.43209876543209874,1.1920928955078125e-07,0.3935060203075409,0.6171815991401672,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,11,10,Cold,-0.05583899840712547,0.5019321441650391,0.19132596254348755,1.0,1.0,0.41975308641975306,1.7881393432617188e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,11,10,Warm A,-0.057579487562179565,0.5024904012680054,0.1956094652414322,1.0,1.0,0.345679012345679,1.1920928955078125e-07,0.23268720507621765,0.5246268510818481,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,11,10,Warm B,-0.06989183276891708,0.49986833333969116,0.19475868344306946,1.0,1.0,0.38271604938271603,2.384185791015625e-07,0.3447386920452118,0.5989511609077454,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,11,10,Warm C,-0.056853484362363815,0.5028793215751648,0.19977299869060516,1.0,1.0,0.3333333333333333,1.1920928955078125e-07,0.4572029113769531,0.5266916155815125,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,17,16,Cold,-0.04775775969028473,0.5040375590324402,0.19283907115459442,1.0,1.0,0.3950617283950617,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,17,16,Warm A,-0.014392178505659103,0.5122573375701904,0.19308248162269592,1.0,1.0,0.30864197530864196,1.1920928955078125e-07,0.2487037181854248,0.3836844861507416,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,17,16,Warm B,0.00871691107749939,0.5171688199043274,0.19554075598716736,1.0,1.0,0.2716049382716049,5.960464477539063e-08,0.4637654423713684,0.27302369475364685,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,17,16,Warm C,0.0036124440375715494,0.5164073705673218,0.1988622546195984,1.0,1.0,0.25925925925925924,5.960464477539063e-08,0.48776790499687195,0.3001061975955963,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,41,36,Cold,-0.05459990352392197,0.5023276209831238,0.18988348543643951,1.0,1.0,0.4444444444444444,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,41,36,Warm A,-0.06172347441315651,0.4996879994869232,0.1897778958082199,1.0,1.0,0.4691358024691358,1.7881393432617188e-07,0.25934675335884094,0.8827745318412781,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,41,36,Warm B,-0.05562442168593407,0.5009462237358093,0.19124585390090942,1.0,1.0,0.4567901234567901,1.7881393432617188e-07,0.46007323265075684,0.5634467005729675,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,41,36,Warm C,-0.057524994015693665,0.49910327792167664,0.18920062482357025,1.0,1.0,0.4567901234567901,1.1920928955078125e-07,0.6074773669242859,0.6332698464393616,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,104,76,Cold,-0.06292571127414703,0.5004794001579285,0.19370920956134796,1.0,1.0,0.41975308641975306,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,104,76,Warm A,-0.055315759032964706,0.5029518008232117,0.1945779025554657,1.0,1.0,0.35802469135802467,2.384185791015625e-07,0.2353067845106125,0.5818460583686829,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,104,76,Warm B,-0.05760157108306885,0.5027810335159302,0.19569243490695953,1.0,1.0,0.37037037037037035,2.384185791015625e-07,0.32617583870887756,0.5770023465156555,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,104,76,Warm C,-0.05306810140609741,0.5039753317832947,0.1947658360004425,1.0,1.0,0.38271604938271603,2.384185791015625e-07,0.38392728567123413,0.5378140807151794,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,107,78,Cold,-0.052400924265384674,0.5029724836349487,0.19402678310871124,1.0,1.0,0.37037037037037035,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,107,78,Warm A,-0.0752158835530281,0.4961800277233124,0.19328346848487854,1.0,1.0,0.43209876543209874,1.7881393432617188e-07,0.24700988829135895,0.7156222462654114,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,107,78,Warm B,-0.07609180361032486,0.4964773952960968,0.19314442574977875,1.0,1.0,0.4444444444444444,1.1920928955078125e-07,0.31551697850227356,0.5572271347045898,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,107,78,Warm C,-0.08833140879869461,0.49262577295303345,0.1929270625114441,1.0,1.0,0.4444444444444444,1.1920928955078125e-07,0.5186530947685242,0.621399462223053,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,110,79,Cold,-0.04843262583017349,0.5033482909202576,0.18837085366249084,1.0,1.0,0.4567901234567901,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,110,79,Warm A,-0.02792038954794407,0.5088836550712585,0.18711256980895996,1.0,1.0,0.4444444444444444,2.384185791015625e-07,0.23761716485023499,0.4769453704357147,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,110,79,Warm B,-0.005478641018271446,0.5144585371017456,0.18899428844451904,1.0,1.0,0.37037037037037035,1.1920928955078125e-07,0.3989817798137665,0.4187527298927307,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,110,79,Warm C,-0.013081553392112255,0.5125330686569214,0.19094401597976685,1.0,1.0,0.345679012345679,1.1920928955078125e-07,0.41600313782691956,0.4411555230617523,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,111,80,Cold,-0.01570158824324608,0.5121709108352661,0.18955838680267334,1.0,1.0,0.35802469135802467,1.7881393432617188e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,111,80,Warm A,-0.03716927394270897,0.506723940372467,0.1894207000732422,1.0,1.0,0.4074074074074074,1.7881393432617188e-07,0.2627005875110626,0.6902082562446594,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,111,80,Warm B,-0.008246882818639278,0.5140770673751831,0.19149215519428253,1.0,1.0,0.32098765432098764,2.384185791015625e-07,0.0851619765162468,0.2781277298927307,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,111,80,Warm C,0.01055736280977726,0.5181527137756348,0.19254279136657715,1.0,1.0,0.2839506172839506,5.960464477539063e-08,0.25317928194999695,0.26815396547317505,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,158,103,Cold,-0.04943009838461876,0.5031632781028748,0.18794505298137665,1.0,1.0,0.4567901234567901,2.384185791015625e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,158,103,Warm A,-0.03244776278734207,0.5081450939178467,0.1886589676141739,1.0,1.0,0.4074074074074074,2.384185791015625e-07,0.2568860948085785,0.349391907453537,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,158,103,Warm B,-0.028783997520804405,0.5084480047225952,0.1869334727525711,1.0,1.0,0.4444444444444444,1.1920928955078125e-07,0.3510361611843109,0.4591341018676758,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,158,103,Warm C,-0.02313375473022461,0.5101321935653687,0.187460258603096,1.0,1.0,0.41975308641975306,1.1920928955078125e-07,0.4070080816745758,0.47047725319862366,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,160,105,Cold,-0.04852427542209625,0.5033535361289978,0.18780986964702606,1.0,1.0,0.49382716049382713,1.1920928955078125e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,160,105,Warm A,-0.05913932994008064,0.5012679100036621,0.19080306589603424,1.0,1.0,0.4691358024691358,2.384185791015625e-07,0.2492915391921997,0.4081450402736664,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,160,105,Warm B,-0.06229821592569351,0.5004035830497742,0.19335699081420898,1.0,1.0,0.4444444444444444,1.1920928955078125e-07,0.47959214448928833,0.29592761397361755,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,160,105,Warm C,-0.04705166071653366,0.5047332644462585,0.19082193076610565,1.0,1.0,0.4691358024691358,2.384185791015625e-07,0.39957395195961,0.2177901268005371,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,163,108,Cold,-0.04678194969892502,0.5037835240364075,0.18778131902217865,1.0,1.0,0.48148148148148145,1.7881393432617188e-07,0.0,0.0,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
validation,163,108,Warm A,-0.05170825123786926,0.5015093684196472,0.1880127340555191,1.0,1.0,0.49382716049382713,2.384185791015625e-07,0.24620598554611206,0.645265519618988,cfg02_G3_D32,cfg02_G3_D32,2.2475399800459854,cuda
