item_id,interaction_count,cohort,item_idx
1,2077,old_validation,0
2,701,old_train,1
3,478,old_train,2
4,170,new,3
5,296,old_validation,4
6,940,old_train,5
7,458,old_validation,6
8,68,new,7
9,102,new,8
10,888,old_train,9
11,1033,old_validation,10
12,160,new,11
13,99,new,12
14,153,new,13
15,146,new,14
16,682,old_train,15
17,835,old_validation,16
18,157,new,17
19,389,old_train,18
20,160,new,19
21,1356,old_train,20
22,378,old_train,21
23,126,new,22
24,624,old_train,23
25,980,old_train,24
26,100,new,25
27,61,new,26
28,179,new,27
29,403,old_train,28
30,74,new,29
31,141,new,30
32,1511,old_train,31
33,4,excluded_rated,
34,1751,old_train,32
35,70,new,33
36,928,old_train,34
37,8,excluded_rated,
38,28,excluded_rated,
39,1362,old_train,35
40,30,excluded_rated,
41,242,old_validation,36
42,221,old_train,37
43,166,new,38
44,311,old_train,39
45,544,old_train,40
46,166,new,41
47,1137,old_train,42
48,382,old_train,43
49,27,excluded_rated,
50,1783,old_train,44
51,0,unrated,
52,431,old_train,45
53,8,excluded_rated,
54,41,excluded_rated,
55,45,excluded_rated,
56,9,excluded_rated,
57,99,new,46
58,501,old_train,47
59,8,excluded_rated,
60,357,old_train,48
61,67,new,49
62,541,old_train,50
63,111,new,51
64,79,new,52
65,143,new,53
66,97,new,54
67,4,excluded_rated,
68,60,excluded_rated,
69,319,old_train,55
70,914,old_train,56
71,96,new,57
72,93,new,58
73,224,old_train,59
74,120,new,60
75,12,excluded_rated,
76,178,new,61
77,34,excluded_rated,
78,50,excluded_rated,
79,114,new,62
80,52,excluded_rated,
81,166,new,63
82,89,new,64
83,33,excluded_rated,
84,21,excluded_rated,
85,194,new,65
86,236,old_train,66
87,76,new,67
88,192,new,68
89,229,old_train,69
90,6,excluded_rated,
92,88,new,70
93,89,new,71
94,182,new,72
95,638,old_train,73
96,13,excluded_rated,
97,44,excluded_rated,
98,6,excluded_rated,
99,50,excluded_rated,
100,128,new,74
101,253,old_train,75
102,60,excluded_rated,
103,33,excluded_rated,
104,682,old_validation,76
105,387,old_train,77
106,12,excluded_rated,
107,256,old_validation,78
108,7,excluded_rated,
109,0,unrated,
110,2443,old_validation,79
111,1240,old_validation,80
112,570,old_train,81
113,53,excluded_rated,
114,11,excluded_rated,
115,0,unrated,
116,41,excluded_rated,
117,79,new,82
118,68,new,83
119,13,excluded_rated,
120,3,excluded_rated,
121,37,excluded_rated,
122,194,new,84
123,115,new,85
124,14,excluded_rated,
125,318,old_train,86
126,99,new,87
127,1,excluded_rated,
128,12,excluded_rated,
129,13,excluded_rated,
130,2,excluded_rated,
131,16,excluded_rated,
132,91,new,88
133,1,excluded_rated,
134,2,excluded_rated,
135,133,new,89
136,8,excluded_rated,
137,13,excluded_rated,
138,2,excluded_rated,
139,1,excluded_rated,
140,139,new,90
141,682,old_train,91
142,1,excluded_rated,
143,0,unrated,
144,433,old_train,92
145,362,old_train,93
146,18,excluded_rated,
147,181,new,94
148,23,excluded_rated,
149,47,excluded_rated,
150,1251,old_train,95
151,554,old_train,96
152,69,new,97
153,777,old_train,98
154,168,new,99
155,87,new,100
156,66,new,101
157,187,new,102
158,259,old_validation,103
159,116,new,104
160,565,old_validation,105
161,760,old_train,106
162,491,old_train,107
163,540,old_validation,108
164,379,old_train,109
165,825,old_train,110
166,61,new,111
167,5,excluded_rated,
168,362,old_train,112
169,113,new,113
170,321,old_train,114
171,93,new,115
172,458,old_train,116
173,564,old_validation,117
174,81,new,118
175,220,old_train,119
176,205,old_train,120
177,139,new,121
178,19,excluded_rated,
179,48,excluded_rated,
180,451,old_train,122
181,93,new,123
182,49,excluded_rated,
183,29,excluded_rated,
184,26,excluded_rated,
185,569,old_train,124
186,211,old_validation,125
187,105,new,126
188,190,new,127
189,15,excluded_rated,
190,100,new,128
191,75,new,129
192,2,excluded_rated,
193,217,old_validation,130
194,213,old_validation,131
195,164,new,132
196,550,old_train,133
197,17,excluded_rated,
198,605,old_validation,134
199,117,new,135
200,12,excluded_rated,
201,33,excluded_rated,
202,30,excluded_rated,
203,203,old_train,136
204,203,old_train,137
205,85,new,138
206,82,new,139
207,219,old_train,140
208,651,old_train,141
209,52,excluded_rated,
210,41,excluded_rated,
211,34,excluded_rated,
212,14,excluded_rated,
213,123,new,142
214,28,excluded_rated,
215,160,new,143
216,355,old_train,144
217,64,new,145
218,195,new,146
219,22,excluded_rated,
220,28,excluded_rated,
222,329,old_train,147
223,1412,old_train,148
224,386,old_train,149
225,254,old_train,150
226,1,excluded_rated,
227,129,new,151
228,13,excluded_rated,
229,108,new,152
230,349,old_train,153
231,660,old_validation,154
232,346,old_train,155
233,235,old_train,156
234,147,new,157
235,927,old_train,158
236,326,old_validation,159
237,257,old_validation,160
238,32,excluded_rated,
239,168,new,161
240,45,excluded_rated,
241,29,excluded_rated,
242,80,new,162
243,10,excluded_rated,
244,10,excluded_rated,
245,11,excluded_rated,
246,716,old_validation,163
247,477,old_train,164
248,138,new,165
249,261,old_train,166
250,30,excluded_rated,
251,18,excluded_rated,
252,367,old_validation,167
253,738,old_train,168
254,38,excluded_rated,
255,66,new,169
256,218,old_train,170
257,114,new,171
258,144,new,172
259,102,new,173
260,2991,old_train,174
261,285,old_train,175
262,172,new,176
263,28,excluded_rated,
264,5,excluded_rated,
265,772,old_train,177
266,705,old_train,178
267,140,new,179
268,54,excluded_rated,
269,55,excluded_rated,
270,79,new,180
271,63,new,181
272,383,old_train,182
273,244,old_train,183
274,24,excluded_rated,
275,80,new,184
276,228,old_validation,185
277,170,new,186
278,40,excluded_rated,
279,46,excluded_rated,
280,212,old_train,187
281,233,old_validation,188
282,215,old_train,189
283,18,excluded_rated,
284,0,unrated,
285,0,unrated,
286,1,excluded_rated,
287,21,excluded_rated,
288,700,old_train,190
289,158,new,191
290,168,new,192
291,48,excluded_rated,
292,733,old_train,193
293,923,old_train,194
294,42,excluded_rated,
295,29,excluded_rated,
296,2171,old_train,195
297,28,excluded_rated,
298,23,excluded_rated,
299,143,new,196
300,705,old_validation,197
301,43,excluded_rated,
302,86,new,198
303,418,old_train,199
304,35,excluded_rated,
305,127,new,200
306,334,old_validation,201
307,243,old_train,202
308,202,old_train,203
309,48,excluded_rated,
310,6,excluded_rated,
311,1,excluded_rated,
312,112,new,204
313,54,excluded_rated,
314,300,old_train,205
315,153,new,206
316,1116,old_train,207
317,641,old_train,208
318,2227,old_train,209
319,273,old_train,210
320,32,excluded_rated,
321,61,new,211
322,209,old_validation,212
324,33,excluded_rated,
325,49,excluded_rated,
326,61,new,213
327,358,old_train,214
328,144,new,215
329,990,old_train,216
330,149,new,217
331,21,excluded_rated,
332,161,new,218
333,410,old_train,219
334,114,new,220
335,41,excluded_rated,
336,19,excluded_rated,
337,693,old_train,221
338,221,old_train,222
339,673,old_train,223
340,84,new,224
341,31,excluded_rated,
342,518,old_train,225
343,42,excluded_rated,
344,766,old_train,226
345,469,old_train,227
346,120,new,228
347,46,excluded_rated,
348,455,old_train,229
349,1059,old_validation,230
350,515,old_validation,231
351,257,old_train,232
352,119,new,233
353,734,old_train,234
354,67,new,235
355,267,old_train,236
356,2194,old_train,237
357,1233,old_train,238
358,141,new,239
359,19,excluded_rated,
360,127,new,240
361,268,old_train,241
362,239,old_validation,242
363,62,new,243
364,1121,old_validation,244
365,71,new,245
366,251,old_validation,246
367,1179,old_train,247
368,802,old_train,248
369,58,excluded_rated,
370,412,old_train,249
371,212,old_train,250
372,428,old_train,251
373,258,old_train,252
374,183,new,253
375,17,excluded_rated,
376,350,old_train,254
377,1650,old_train,255
378,140,new,256
379,436,old_validation,257
380,1400,old_train,258
381,211,old_validation,259
382,272,old_train,260
383,270,old_train,261
384,40,excluded_rated,
385,10,excluded_rated,
386,30,excluded_rated,
387,102,new,262
388,97,new,263
389,20,excluded_rated,
390,59,excluded_rated,
391,40,excluded_rated,
392,25,excluded_rated,
393,105,new,264
394,18,excluded_rated,
395,0,unrated,
396,1,excluded_rated,
397,12,excluded_rated,
398,1,excluded_rated,
399,0,unrated,
400,0,unrated,
401,2,excluded_rated,
402,1,excluded_rated,
403,0,unrated,
404,4,excluded_rated,
405,203,old_train,265
406,8,excluded_rated,
407,193,new,266
408,72,new,267
409,49,excluded_rated,
410,463,old_train,268
411,13,excluded_rated,
412,295,old_train,269
413,245,old_validation,270
414,90,new,271
415,179,new,272
416,89,new,273
417,208,old_train,274
418,29,excluded_rated,
419,156,new,275
420,352,old_train,276
421,94,new,277
422,57,excluded_rated,
423,221,old_validation,278
424,75,new,279
425,105,new,280
426,269,old_train,281
427,166,new,282
428,263,old_train,283
429,187,new,284
430,24,excluded_rated,
431,369,old_train,285
432,392,old_validation,286
433,48,excluded_rated,
434,686,old_train,287
435,533,old_train,288
436,141,new,289
437,64,new,290
438,152,new,291
439,2,excluded_rated,
440,948,old_train,292
441,643,old_validation,293
442,640,old_validation,294
443,31,excluded_rated,
444,81,new,295
445,100,new,296
446,254,old_train,297
447,31,excluded_rated,
448,228,old_validation,298
449,71,new,299
450,228,old_train,300
451,106,new,301
452,38,excluded_rated,
453,67,new,302
454,824,old_train,303
455,285,old_train,304
456,93,new,305
457,1995,old_train,306
458,87,new,307
459,143,new,308
460,38,excluded_rated,
461,86,new,309
462,28,excluded_rated,
463,47,excluded_rated,
464,216,old_validation,310
465,105,new,311
466,573,old_train,312
467,54,excluded_rated,
468,350,old_validation,313
469,69,new,314
470,38,excluded_rated,
471,599,old_train,315
472,44,excluded_rated,
473,151,new,316
474,972,old_validation,317
475,312,old_train,318
476,35,excluded_rated,
477,195,new,319
478,24,excluded_rated,
479,133,new,320
480,2672,old_train,321
481,294,old_train,322
482,176,new,323
483,74,new,324
484,29,excluded_rated,
485,500,old_train,325
486,64,new,326
487,62,new,327
488,39,excluded_rated,
489,97,new,328
490,185,new,329
491,212,old_train,330
492,335,old_train,331
493,298,old_train,332
494,416,old_train,333
495,42,excluded_rated,
496,37,excluded_rated,
497,667,old_validation,334
498,47,excluded_rated,
499,49,excluded_rated,
500,838,old_train,335
501,94,new,336
502,155,new,337
503,13,excluded_rated,
504,178,new,338
505,69,new,339
506,114,new,340
507,308,old_train,341
508,561,old_train,342
509,608,old_train,343
510,42,excluded_rated,
511,152,new,344
512,179,new,345
513,67,new,346
514,346,old_train,347
515,450,old_train,348
516,248,old_train,349
517,382,old_validation,350
518,149,new,351
519,202,old_train,352
520,374,old_train,353
521,117,new,354
522,83,new,355
523,117,new,356
524,476,old_train,357
525,21,excluded_rated,
526,8,excluded_rated,
527,2304,old_train,358
528,68,new,359
529,720,old_train,360
530,2,excluded_rated,
531,338,old_train,361
532,389,old_validation,362
533,203,old_train,363
534,286,old_train,364
535,301,old_train,365
536,55,excluded_rated,
537,207,old_train,366
538,315,old_validation,367
539,986,old_train,368
540,169,new,369
541,1800,old_validation,370
542,206,old_train,371
543,682,old_train,372
544,129,new,373
545,1,excluded_rated,
546,350,old_train,374
547,124,new,375
548,137,new,376
549,157,new,377
550,178,new,378
551,996,old_train,379
552,529,old_train,380
553,553,old_train,381
554,26,excluded_rated,
555,658,old_train,382
556,132,new,383
557,2,excluded_rated,
558,135,new,384
559,5,excluded_rated,
560,8,excluded_rated,
561,13,excluded_rated,
562,478,old_train,385
563,17,excluded_rated,
564,45,excluded_rated,
565,61,new,386
566,13,excluded_rated,
567,14,excluded_rated,
568,35,excluded_rated,
569,100,new,387
570,23,excluded_rated,
571,34,excluded_rated,
572,2,excluded_rated,
573,21,excluded_rated,
574,175,new,388
575,107,new,389
576,1,excluded_rated,
577,55,excluded_rated,
578,2,excluded_rated,
579,1,excluded_rated,
580,62,new,390
581,141,new,391
582,2,excluded_rated,
583,28,excluded_rated,
584,1,excluded_rated,
585,418,old_train,392
586,675,old_train,393
587,1124,old_validation,394
588,1351,old_validation,395
589,2649,old_train,396
590,1451,old_train,397
591,2,excluded_rated,
592,1431,old_validation,398
593,2578,old_train,399
594,763,old_train,400
595,1060,old_train,401
596,498,old_train,402
597,1046,old_train,403
598,8,excluded_rated,
599,264,old_validation,404
600,30,excluded_rated,
601,1,excluded_rated,
602,41,excluded_rated,
603,58,excluded_rated,
604,0,unrated,
605,226,old_train,405
606,93,new,406
607,2,excluded_rated,
608,2513,old_train,407
609,67,new,408
610,618,old_train,409
611,216,old_train,410
612,79,new,411
613,82,new,412
614,9,excluded_rated,
615,67,new,413
616,278,old_train,414
617,17,excluded_rated,
618,9,excluded_rated,
619,32,excluded_rated,
620,0,unrated,
621,42,excluded_rated,
623,3,excluded_rated,
624,1,excluded_rated,
625,0,unrated,
626,19,excluded_rated,
627,121,new,415
628,485,old_train,416
629,0,unrated,
630,7,excluded_rated,
631,75,new,417
632,13,excluded_rated,
633,20,excluded_rated,
634,3,excluded_rated,
635,77,new,418
636,0,unrated,
637,140,new,419
638,19,excluded_rated,
639,78,new,420
640,71,new,421
641,1,excluded_rated,
642,1,excluded_rated,
643,3,excluded_rated,
644,1,excluded_rated,
645,20,excluded_rated,
647,441,old_train,422
648,1527,old_train,423
649,16,excluded_rated,
650,89,new,424
651,1,excluded_rated,
652,9,excluded_rated,
653,612,old_train,425
654,0,unrated,
655,1,excluded_rated,
656,39,excluded_rated,
657,2,excluded_rated,
658,1,excluded_rated,
659,25,excluded_rated,
660,2,excluded_rated,
661,525,old_validation,426
662,128,new,427
663,264,old_train,428
664,8,excluded_rated,
665,35,excluded_rated,
666,3,excluded_rated,
667,47,excluded_rated,
668,47,excluded_rated,
669,23,excluded_rated,
670,56,excluded_rated,
671,456,old_train,429
672,2,excluded_rated,
673,563,old_train,430
674,386,old_train,431
675,0,unrated,
676,0,unrated,
678,306,old_train,432
679,2,excluded_rated,
680,64,new,433
681,15,excluded_rated,
682,4,excluded_rated,
683,0,unrated,
684,1,excluded_rated,
685,30,excluded_rated,
687,3,excluded_rated,
688,213,old_train,434
690,2,excluded_rated,
691,121,new,435
692,106,new,436
693,0,unrated,
694,141,new,437
695,135,new,438
696,4,excluded_rated,
697,85,new,439
