item_id,title,genres,release_year,release_year_parse_status,item_idx
1,Toy Story (1995),Animation|Children's|Comedy,1995,parsed,0
2,Jumanji (1995),Adventure|Children's|Fantasy,1995,parsed,1
3,Grumpier Old Men (1995),Comedy|Romance,1995,parsed,2
4,Waiting to Exhale (1995),Comedy|Drama,1995,parsed,3
5,Father of the Bride Part II (1995),Comedy,1995,parsed,4
6,Heat (1995),Action|Crime|Thriller,1995,parsed,5
7,Sabrina (1995),Comedy|Romance,1995,parsed,6
8,Tom and Huck (1995),Adventure|Children's,1995,parsed,7
9,Sudden Death (1995),Action,1995,parsed,8
10,GoldenEye (1995),Action|Adventure|Thriller,1995,parsed,9
11,"American President, The (1995)",Comedy|Drama|Romance,1995,parsed,10
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,parsed,11
13,Balto (1995),Animation|Children's,1995,parsed,12
14,Nixon (1995),Drama,1995,parsed,13
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,parsed,14
16,Casino (1995),Drama|Thriller,1995,parsed,15
17,Sense and Sensibility (1995),Drama|Romance,1995,parsed,16
18,Four Rooms (1995),Thriller,1995,parsed,17
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,parsed,18
20,Money Train (1995),Action,1995,parsed,19
21,Get Shorty (1995),Action|Comedy|Drama,1995,parsed,20
22,Copycat (1995),Crime|Drama|Thriller,1995,parsed,21
23,Assassins (1995),Thriller,1995,parsed,22
24,Powder (1995),Drama|Sci-Fi,1995,parsed,23
25,Leaving Las Vegas (1995),Drama|Romance,1995,parsed,24
26,Othello (1995),Drama,1995,parsed,25
27,Now and Then (1995),Drama,1995,parsed,26
28,Persuasion (1995),Romance,1995,parsed,27
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,1995,parsed,28
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,1995,parsed,29
31,Dangerous Minds (1995),Drama,1995,parsed,30
32,Twelve Monkeys (1995),Drama|Sci-Fi,1995,parsed,31
34,Babe (1995),Children's|Comedy|Drama,1995,parsed,32
35,Carrington (1995),Drama|Romance,1995,parsed,33
36,Dead Man Walking (1995),Drama,1995,parsed,34
39,Clueless (1995),Comedy|Romance,1995,parsed,35
41,Richard III (1995),Drama|War,1995,parsed,36
42,Dead Presidents (1995),Action|Crime|Drama,1995,parsed,37
43,Restoration (1995),Drama,1995,parsed,38
44,Mortal Kombat (1995),Action|Adventure,1995,parsed,39
45,To Die For (1995),Comedy|Drama,1995,parsed,40
46,How to Make an American Quilt (1995),Drama|Romance,1995,parsed,41
47,Seven (Se7en) (1995),Crime|Thriller,1995,parsed,42
48,Pocahontas (1995),Animation|Children's|Musical|Romance,1995,parsed,43
