family,model_label,phase,seed_count,target_seed_count_observed,target_seed_count_met,f1_mean,f1_std,f1_sem,f1_report,roc_auc_mean,roc_auc_std,roc_auc_sem,roc_auc_report
emerg,EmerG,Cold,5,5,True,0.6136261879359902,0.0034841757319753,0.0015581707564503,0.6136 +/- 0.0035,0.7380108556930798,0.005552631722075,0.0024832123969163,0.7380 +/- 0.0056
emerg,EmerG,Warm A,5,5,True,0.6784999141624655,0.0021004378264549,0.000939344352493,0.6785 +/- 0.0021,0.792929784945861,0.0025225675950524,0.001128126524075,0.7929 +/- 0.0025
emerg,EmerG,Warm B,5,5,True,0.690820599300069,0.0014601042114113,0.0006529784541899,0.6908 +/- 0.0015,0.8010034730459985,0.0003782986057133,0.0001691802796336,0.8010 +/- 0.0004
emerg,EmerG,Warm C,5,5,True,0.6939257255696952,0.0016748550102844,0.0007490179310904,0.6939 +/- 0.0017,0.8036955810518446,0.001221308302732,0.0005461856772787,0.8037 +/- 0.0012
dgd,DGD,Cold,5,5,True,0.6131152373029196,0.0032250299688743,0.0014422772479754,0.6131 +/- 0.0032,0.7319744381010729,0.0021891744333627,0.0009790285695207,0.7320 +/- 0.0022
dgd,DGD,Warm A,5,5,True,0.6687625364884614,0.002221243445702,0.0009933702678331,0.6688 +/- 0.0022,0.7814261156973792,0.0025200908769328,0.0011270189020597,0.7814 +/- 0.0025
dgd,DGD,Warm B,5,5,True,0.6878580889911152,0.0007265540225925,0.0003249248367685,0.6879 +/- 0.0007,0.7962291810175157,0.0015564680014504,0.0006960736512092,0.7962 +/- 0.0016
dgd,DGD,Warm C,5,5,True,0.6921071473775052,0.0013310253773376,0.0005952526447008,0.6921 +/- 0.0013,0.8016717609167759,0.0017508460667398,0.0007830021646736,0.8017 +/- 0.0018
dgd_ablation,DGD-Ablation:selected,Cold,5,5,True,0.6157066934984842,0.0008897674971405,0.0003979161215552,0.6157 +/- 0.0009,0.7323608829018324,0.0021673741300236,0.0009692791774814,0.7324 +/- 0.0022
dgd_ablation,DGD-Ablation:selected,Warm A,5,5,True,0.6507600440386736,0.0030754277446622,0.0013753730993907,0.6508 +/- 0.0031,0.7663307821689701,0.0012550782397316,0.0005612880522241,0.7663 +/- 0.0013
dgd_ablation,DGD-Ablation:selected,Warm B,5,5,True,0.6743433079814972,0.0021137233244286,0.0009452858078098,0.6743 +/- 0.0021,0.7848560441373678,0.0012209239589986,0.0005460137935358,0.7849 +/- 0.0012
dgd_ablation,DGD-Ablation:selected,Warm C,5,5,True,0.6850831294285352,0.0017884275789685,0.0007998091278818,0.6851 +/- 0.0018,0.7957591545034143,0.0010716578010103,0.0004792599383354,0.7958 +/- 0.0011
lightgcn,LightGCN,Cold,5,5,True,0.5797673528166194,1.4443651933951345e-05,6.459397513532302e-06,0.5798 +/- 0.0000,0.4968371712785304,0.0084689416413473,0.0037874258415062,0.4968 +/- 0.0085
lightgcn,LightGCN,Warm A,5,5,True,0.579756697084162,2.9662190533468236e-05,1.3265334878877144e-05,0.5798 +/- 0.0000,0.4916664383470585,0.0105125220517323,0.0047013427845277,0.4917 +/- 0.0105
lightgcn,LightGCN,Warm B,5,5,True,0.5797479010996511,2.8239674929758443e-05,1.2629166561087296e-05,0.5797 +/- 0.0000,0.4896019246133918,0.0112791674594852,0.0050441970338025,0.4896 +/- 0.0113
lightgcn,LightGCN,Warm C,5,5,True,0.5797443960665489,3.933191334303611e-05,1.7589766384031947e-05,0.5797 +/- 0.0000,0.4889704692667894,0.0117192274244153,0.0052409978329545,0.4890 +/- 0.0117
