phase,metric,comparison,seed_count,mean_delta,std_delta,min_delta,max_delta
Cold,f1,DGD - EmerG,5,-0.000510950633070606,0.004265129426670653,-0.005534843751000329,0.005973333710751372
Cold,f1,DGD - DGD-Ablation:selected,5,-0.0025914561955646676,0.0032798478362926443,-0.007399439112551476,0.0011197837076289963
Cold,f1,DGD - LightGCN,5,0.033347884486300175,0.0032266417392313148,0.028585373438079098,0.0375581538048273
Warm A,f1,DGD - EmerG,5,-0.009737377674004,0.0017213969662158298,-0.010754991624938759,-0.006691538791526286
Warm A,f1,DGD - DGD-Ablation:selected,5,0.018002492449787754,0.004400471406851209,0.010527441041634167,0.0222529605454882
Warm A,f1,DGD - LightGCN,5,0.08900583940429933,0.0022401242874806344,0.08624541538210173,0.091095248462423
Warm B,f1,DGD - EmerG,5,-0.0029625103089537586,0.0016586427758397547,-0.00475042919486468,-0.0013881723845300398
Warm B,f1,DGD - DGD-Ablation:selected,5,0.013514781009618138,0.0024971886646556088,0.009348260452981316,0.015485327949549488
Warm B,f1,DGD - LightGCN,5,0.10811018789146418,0.0007211231462134324,0.10739535750888984,0.10905218879078615
Warm C,f1,DGD - EmerG,5,-0.0018185781921899792,0.0018012666394417985,-0.004230310591458508,-0.00017692842152639
Warm C,f1,DGD - DGD-Ablation:selected,5,0.007024017948970074,0.0024601232885730503,0.005130818752767552,0.011275085720340638
Warm C,f1,DGD - LightGCN,5,0.1123627513109563,0.0013395387753468203,0.11118020172723342,0.11431935809659388
Cold,roc_auc,DGD - EmerG,5,-0.006036417592006816,0.003965333374565875,-0.011405977683122237,-0.001359866215101424
Cold,roc_auc,DGD - DGD-Ablation:selected,5,-0.0003864448007595778,0.00371273982833287,-0.004497829457413172,0.004795012782325969
Cold,roc_auc,DGD - LightGCN,5,0.23513726682254257,0.007805909369669586,0.2269205160041129,0.24534828837258116
Warm A,roc_auc,DGD - EmerG,5,-0.011503669248481807,0.0017822527255829067,-0.013143682248810462,-0.008927939294082754
Warm A,roc_auc,DGD - DGD-Ablation:selected,5,0.015095333528409239,0.002856508996623679,0.012009282271216781,0.019076823313052715
Warm A,roc_auc,DGD - LightGCN,5,0.2897596773503207,0.010093005144679243,0.2783489987563177,0.3015221393805076
Warm B,roc_auc,DGD - EmerG,5,-0.004774292028482674,0.0016555047549342969,-0.006626449541613955,-0.002200710002038031
Warm B,roc_auc,DGD - DGD-Ablation:selected,5,0.011373136880148049,0.0017385478691945124,0.009323984509698735,0.013997109843469357
Warm B,roc_auc,DGD - LightGCN,5,0.30662725640412397,0.01104076217989024,0.29374754447132634,0.3202920626706649
Warm C,roc_auc,DGD - EmerG,5,-0.0020238201350685882,0.001345041639159607,-0.003938477642891458,-0.0004669835433072089
Warm C,roc_auc,DGD - DGD-Ablation:selected,5,0.00591260641336191,0.0015595837000692702,0.004979555727712803,0.008603788525742617
Warm C,roc_auc,DGD - LightGCN,5,0.3127012916499867,0.011294657326428897,0.29905435289159565,0.3262681710370862
